"","qseqid","sseqid","evalue","bitscore","staxids","sscinames","scomnames","sskingdoms"
"87217","TRINITY_DN3648_c0_g1_i1","gi|357196854|emb|HE610746.1|",4.85e-53,219,"173654","Hematodinium sp.","Hematodinium sp.","Eukaryota"
"87218","TRINITY_DN3648_c0_g1_i1","gi|357196854|emb|HE610746.1|",1.59e-46,197,"173654","Hematodinium sp.","Hematodinium sp.","Eukaryota"
"87219","TRINITY_DN3648_c0_g1_i9","gi|357196849|emb|HE610741.1|",1.86e-55,226,"173654","Hematodinium sp.","Hematodinium sp.","Eukaryota"
"87220","TRINITY_DN3648_c0_g1_i9","gi|357196849|emb|HE610741.1|",9e-47,197,"173654","Hematodinium sp.","Hematodinium sp.","Eukaryota"
"87221","TRINITY_DN3648_c0_g1_i9","gi|357196849|emb|HE610741.1|",4.66e-44,188,"173654","Hematodinium sp.","Hematodinium sp.","Eukaryota"
"87222","TRINITY_DN3648_c0_g1_i9","gi|357196849|emb|HE610741.1|",4.66e-44,188,"173654","Hematodinium sp.","Hematodinium sp.","Eukaryota"
"87223","TRINITY_DN3648_c0_g1_i7","gi|357196868|emb|HE610760.1|",1.6e-51,214,"173654","Hematodinium sp.","Hematodinium sp.","Eukaryota"
"87224","TRINITY_DN3648_c0_g1_i7","gi|357196868|emb|HE610760.1|",2.9e-48,203,"173654","Hematodinium sp.","Hematodinium sp.","Eukaryota"
"87225","TRINITY_DN3648_c0_g1_i8","gi|357196826|emb|HE610721.1|",0,1041,"173654","Hematodinium sp.","Hematodinium sp.","Eukaryota"
"87226","TRINITY_DN3648_c0_g1_i3","gi|357196873|emb|HE610765.1|",6.21e-102,381,"173654","Hematodinium sp.","Hematodinium sp.","Eukaryota"
"87227","TRINITY_DN3648_c0_g1_i3","gi|357196873|emb|HE610765.1|",1.46e-46,197,"173654","Hematodinium sp.","Hematodinium sp.","Eukaryota"
"87498","TRINITY_DN16977_c0_g1_i3","gi|818211081|gb|KP739886.1|",0,2881,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"87499","TRINITY_DN16977_c0_g1_i1","gi|818211081|gb|KP739886.1|",0,1694,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"87500","TRINITY_DN16977_c0_g1_i1","gi|818211081|gb|KP739886.1|",1.43e-40,179,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"87501","TRINITY_DN16977_c0_g1_i4","gi|818211081|gb|KP739886.1|",0,2924,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"87502","TRINITY_DN16977_c0_g1_i4","gi|818211081|gb|KP739886.1|",0,1613,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"87503","TRINITY_DN16977_c0_g1_i2","gi|818211081|gb|KP739886.1|",0,1788,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"87504","TRINITY_DN16977_c0_g2_i1","gi|818211081|gb|KP739886.1|",4.34e-154,554,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"87647","TRINITY_DN49581_c0_g1_i1","gi|357196826|emb|HE610721.1|",5.47e-179,637,"173654","Hematodinium sp.","Hematodinium sp.","Eukaryota"
"88040","TRINITY_DN48784_c0_g1_i1","gi|426273203|gb|JX839702.1|",1.78e-29,141,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"150710","TRINITY_DN3142_c0_g1_i5","gi|818211083|gb|KP739887.1|",6.94e-45,192,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"150711","TRINITY_DN3142_c0_g1_i1","gi|818211083|gb|KP739887.1|",2.07e-33,156,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"150712","TRINITY_DN3142_c0_g1_i4","gi|818211083|gb|KP739887.1|",2.21e-32,152,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"150905","TRINITY_DN36276_c0_g1_i1","gi|818211113|gb|KP739902.1|",0,2585,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"150906","TRINITY_DN36276_c0_g1_i1","gi|818211113|gb|KP739902.1|",7.26e-72,284,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"150907","TRINITY_DN36276_c0_g1_i1","gi|818211113|gb|KP739902.1|",5.23e-42,185,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"150908","TRINITY_DN36276_c0_g1_i2","gi|818211113|gb|KP739902.1|",0,2585,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"150909","TRINITY_DN36276_c0_g1_i2","gi|818211113|gb|KP739902.1|",9.01e-90,343,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"150910","TRINITY_DN36276_c0_g1_i2","gi|818211113|gb|KP739902.1|",5.34e-42,185,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"150911","TRINITY_DN36276_c0_g1_i3","gi|818211113|gb|KP739902.1|",0,3240,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"150912","TRINITY_DN36276_c0_g1_i3","gi|818211113|gb|KP739902.1|",5.9e-42,185,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"150913","TRINITY_DN36276_c0_g1_i4","gi|818211113|gb|KP739902.1|",0,2439,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"150914","TRINITY_DN36276_c0_g1_i4","gi|818211113|gb|KP739902.1|",6.08e-79,307,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"150915","TRINITY_DN36276_c0_g1_i4","gi|818211113|gb|KP739902.1|",5e-42,185,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"152780","TRINITY_DN8061_c0_g2_i1","gi|818211103|gb|KP739897.1|",1.25e-109,407,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"152781","TRINITY_DN8061_c0_g1_i2","gi|818211103|gb|KP739897.1|",3.94e-108,405,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"152782","TRINITY_DN8061_c0_g1_i8","gi|818211103|gb|KP739897.1|",2.93e-108,405,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"153102","TRINITY_DN51945_c0_g1_i1","gi|818211103|gb|KP739897.1|",3.63e-74,289,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"153158","TRINITY_DN16587_c0_g1_i5","gi|818211083|gb|KP739887.1|",2.28e-84,327,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"153159","TRINITY_DN16587_c0_g1_i4","gi|818211083|gb|KP739887.1|",2.25e-29,143,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"153368","TRINITY_DN49059_c0_g1_i1","gi|818211085|gb|KP739888.1|",2.53e-157,565,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"153378","TRINITY_DN24712_c0_g1_i2","gi|818211085|gb|KP739888.1|",0,3398,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"153379","TRINITY_DN24712_c0_g1_i2","gi|818211085|gb|KP739888.1|",7.07e-35,161,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"153380","TRINITY_DN24712_c0_g1_i1","gi|818211085|gb|KP739888.1|",0,3216,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"153535","TRINITY_DN50078_c0_g1_i1","gi|818211083|gb|KP739887.1|",1.68e-29,141,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"153989","TRINITY_DN9273_c0_g1_i3","gi|426273175|gb|JX839688.1|",3.86e-41,181,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"153990","TRINITY_DN9273_c0_g1_i2","gi|426273175|gb|JX839688.1|",4.66e-41,181,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"153991","TRINITY_DN9273_c0_g1_i6","gi|426273175|gb|JX839688.1|",3.81e-41,181,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"153992","TRINITY_DN9273_c0_g1_i5","gi|426273175|gb|JX839688.1|",4.05e-41,181,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"154027","TRINITY_DN8330_c0_g1_i3","gi|818211083|gb|KP739887.1|",1.22e-35,163,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"154570","TRINITY_DN7455_c2_g1_i1","gi|818211085|gb|KP739888.1|",8.23e-83,320,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"154571","TRINITY_DN7455_c2_g1_i5","gi|818211085|gb|KP739888.1|",1.27e-82,320,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"154572","TRINITY_DN7455_c2_g1_i3","gi|818211085|gb|KP739888.1|",1.28e-82,320,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"154597","TRINITY_DN7468_c0_g2_i3","gi|818211091|gb|KP739891.1|",7.57e-103,385,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"154598","TRINITY_DN7468_c0_g2_i3","gi|818211091|gb|KP739891.1|",1.28e-74,291,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"154599","TRINITY_DN7468_c0_g2_i5","gi|818211091|gb|KP739891.1|",0,3404,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"154600","TRINITY_DN7468_c0_g2_i5","gi|818211091|gb|KP739891.1|",0,2125,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"154601","TRINITY_DN7468_c0_g2_i2","gi|818211091|gb|KP739891.1|",0,1434,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"154602","TRINITY_DN7468_c0_g2_i1","gi|818211091|gb|KP739891.1|",4.06e-170,609,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"154603","TRINITY_DN7468_c0_g2_i4","gi|818211091|gb|KP739891.1|",0,3429,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"154604","TRINITY_DN7468_c0_g2_i4","gi|818211091|gb|KP739891.1|",0,2125,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"154610","TRINITY_DN7462_c0_g1_i3","gi|426273171|gb|JX839686.1|",0,1002,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"154611","TRINITY_DN7462_c0_g1_i1","gi|426273171|gb|JX839686.1|",0,1002,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"154661","TRINITY_DN7456_c0_g1_i1","gi|426273177|gb|JX839689.1|",0,1501,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"154721","TRINITY_DN13181_c0_g1_i1","gi|818211083|gb|KP739887.1|",2.65e-35,163,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"154722","TRINITY_DN13181_c0_g1_i2","gi|818211083|gb|KP739887.1|",2.56e-35,163,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"154825","TRINITY_DN6547_c0_g2_i2","gi|818211083|gb|KP739887.1|",1.03e-67,269,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"154920","TRINITY_DN54976_c0_g1_i1","gi|818211089|gb|KP739890.1|",1.57e-34,158,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"154921","TRINITY_DN54976_c0_g1_i1","gi|818211089|gb|KP739890.1|",4.2e-29,140,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"155063","TRINITY_DN36871_c0_g1_i1","gi|818211083|gb|KP739887.1|",6.66e-68,268,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"155064","TRINITY_DN36871_c0_g1_i1","gi|818211083|gb|KP739887.1|",7.12e-55,224,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"155065","TRINITY_DN36871_c0_g1_i1","gi|818211083|gb|KP739887.1|",1.29e-32,150,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"155312","TRINITY_DN3743_c0_g1_i6","gi|818211093|gb|KP739892.1|",1.32e-21,118,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"155313","TRINITY_DN3743_c0_g1_i3","gi|818211093|gb|KP739892.1|",1.28e-21,118,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"155735","TRINITY_DN2866_c0_g1_i4","gi|426273183|gb|JX839692.1|",0,1750,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"155736","TRINITY_DN2866_c0_g1_i1","gi|426273183|gb|JX839692.1|",0,1750,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"155737","TRINITY_DN2866_c0_g1_i2","gi|426273183|gb|JX839692.1|",0,1750,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"155738","TRINITY_DN2866_c0_g1_i3","gi|426273183|gb|JX839692.1|",0,1750,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"155739","TRINITY_DN2866_c0_g1_i5","gi|426273183|gb|JX839692.1|",0,1644,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"156098","TRINITY_DN52305_c0_g1_i1","gi|818211089|gb|KP739890.1|",0,724,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"156113","TRINITY_DN59573_c0_g1_i1","gi|818211083|gb|KP739887.1|",0,863,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"156114","TRINITY_DN59573_c0_g1_i1","gi|818211083|gb|KP739887.1|",6.29e-47,199,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"156134","TRINITY_DN59697_c0_g1_i1","gi|818211095|gb|KP739893.1|",0,2271,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"156154","TRINITY_DN51438_c0_g1_i1","gi|357196834|emb|HE610726.1|",2.42e-85,325,"173654","Hematodinium sp.","Hematodinium sp.","Eukaryota"
"156304","TRINITY_DN7731_c0_g2_i1","gi|818211093|gb|KP739892.1|",8.12e-24,122,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"156310","TRINITY_DN7776_c0_g1_i4","gi|426273173|gb|JX839687.1|",0,1617,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"156311","TRINITY_DN7776_c0_g1_i3","gi|426273173|gb|JX839687.1|",8.51e-39,172,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"156312","TRINITY_DN7776_c0_g1_i2","gi|426273173|gb|JX839687.1|",0,1746,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"156313","TRINITY_DN7776_c0_g1_i5","gi|426273173|gb|JX839687.1|",0,1746,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"156518","TRINITY_DN16179_c0_g1_i1","gi|356483028|emb|HE609031.1|",0,1379,"333350","Hematodinium sp. ex Nephrops norvegicus","Hematodinium sp. ex Nephrops norvegicus","Eukaryota"
"157309","TRINITY_DN9971_c1_g1_i1","gi|818211083|gb|KP739887.1|",0,2104,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"157453","TRINITY_DN3232_c1_g2_i1","gi|426273181|gb|JX839691.1|",0,1184,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"157454","TRINITY_DN3232_c1_g2_i3","gi|426273181|gb|JX839691.1|",0,1184,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"157455","TRINITY_DN3232_c1_g2_i5","gi|426273181|gb|JX839691.1|",0,1184,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"157456","TRINITY_DN3232_c1_g2_i9","gi|426273181|gb|JX839691.1|",0,1184,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"157457","TRINITY_DN3232_c1_g2_i7","gi|426273181|gb|JX839691.1|",0,1184,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"157458","TRINITY_DN3232_c1_g2_i6","gi|426273181|gb|JX839691.1|",0,1184,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"157459","TRINITY_DN3232_c1_g2_i2","gi|426273181|gb|JX839691.1|",0,1184,"1263730","Hematodinium sp. SG-2012","Hematodinium sp. SG-2012","Eukaryota"
"157689","TRINITY_DN2363_c0_g1_i9","gi|818211083|gb|KP739887.1|",3.85e-36,165,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"157690","TRINITY_DN2363_c0_g1_i12","gi|818211083|gb|KP739887.1|",3.82e-36,165,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"157845","TRINITY_DN12967_c0_g1_i1","gi|818211083|gb|KP739887.1|",9.9e-30,143,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"158358","TRINITY_DN36431_c0_g1_i1","gi|818211081|gb|KP739886.1|",9.12e-137,497,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"158359","TRINITY_DN36431_c0_g2_i1","gi|818211081|gb|KP739886.1|",0,693,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
"158911","TRINITY_DN52950_c0_g1_i1","gi|818211085|gb|KP739888.1|",0,1090,"1649283","Hematodinium sp. SG-2015","Hematodinium sp. SG-2015","Eukaryota"
