Trinity_protein	sseqid.x	evalue.x
TRINITY_DN21475_c1_g1_i1	sp|P0C6F1|DYH2_MOUSE	8.34e-33
TRINITY_DN5625_c2_g1_i3	sp|Q9TRY9|BGAL_CANLF	0
TRINITY_DN5625_c2_g1_i4	sp|Q9TRY9|BGAL_CANLF	0
TRINITY_DN5625_c2_g1_i5	sp|Q9TRY9|BGAL_CANLF	0
TRINITY_DN5625_c2_g1_i2	sp|Q9TRY9|BGAL_CANLF	0
TRINITY_DN5625_c1_g1_i1	sp|Q5R8E8|GSTM2_PONAB	3.94e-65
TRINITY_DN5625_c1_g1_i2	sp|P08010|GSTM2_RAT	1.16e-69
TRINITY_DN5693_c0_g1_i1	sp|B1WBD7|UBP20_XENLA	8.36e-150
TRINITY_DN5693_c0_g1_i1	sp|B1WBD7|UBP20_XENLA	2.6e-41
TRINITY_DN5693_c0_g1_i3	sp|A5PN09|UBP20_DANRE	1.14e-150
TRINITY_DN5693_c0_g1_i3	sp|A5PN09|UBP20_DANRE	1.61e-49
TRINITY_DN5693_c0_g1_i3	sp|A5PN09|UBP20_DANRE	0.034
TRINITY_DN5603_c0_g1_i1	sp|Q6NYB7|RAB1A_RAT	1.81e-127
TRINITY_DN5603_c0_g1_i2	sp|Q6NYB7|RAB1A_RAT	1.75e-127
TRINITY_DN5610_c0_g1_i1	sp|B2UQ30|OBG_AKKM8	1.8e-46
TRINITY_DN5607_c0_g1_i1	sp|Q2TBL6|TALDO_BOVIN	6.2e-136
TRINITY_DN5607_c0_g1_i2	sp|Q2TBL6|TALDO_BOVIN	1.77e-136
TRINITY_DN5630_c0_g1_i4	sp|Q2SHM3|PHNW_HAHCH	1.9e-106
TRINITY_DN5630_c0_g1_i5	sp|Q2SHM3|PHNW_HAHCH	4.05e-102
TRINITY_DN5614_c0_g1_i3	sp|Q09522|DIM1_CAEEL	1.34e-88
TRINITY_DN5614_c0_g1_i1	sp|Q09522|DIM1_CAEEL	1.31e-88
TRINITY_DN5614_c0_g1_i2	sp|Q09522|DIM1_CAEEL	1.23e-88
TRINITY_DN5665_c0_g1_i6	sp|Q27180|T1B_PARTE	5.1
TRINITY_DN5665_c0_g1_i1	sp|Q27180|T1B_PARTE	3.5
TRINITY_DN5665_c0_g1_i8	sp|Q04CM2|RLMH_LACDB	5.2
TRINITY_DN5665_c0_g1_i5	sp|Q27180|T1B_PARTE	4.2
TRINITY_DN5665_c0_g1_i9	sp|Q27180|T1B_PARTE	4.3
TRINITY_DN5665_c0_g1_i13	sp|Q04CM2|RLMH_LACDB	6.1
TRINITY_DN5665_c0_g1_i11	sp|Q27180|T1B_PARTE	5.5
TRINITY_DN5665_c0_g1_i15	sp|Q04CM2|RLMH_LACDB	5.1
TRINITY_DN5665_c0_g1_i10	sp|Q27180|T1B_PARTE	5.1
TRINITY_DN5665_c0_g1_i14	sp|Q04CM2|RLMH_LACDB	5.8
TRINITY_DN5665_c0_g1_i12	sp|Q27180|T1B_PARTE	4.9
TRINITY_DN5608_c0_g1_i2	sp|Q80U87|UBP8_MOUSE	6.07e-53
TRINITY_DN5697_c0_g2_i1	sp|Q6NRT6|DJC10_XENLA	1.33e-15
TRINITY_DN5697_c0_g2_i1	sp|Q6NRT6|DJC10_XENLA	0.012
TRINITY_DN5697_c0_g2_i1	sp|Q6NRT6|DJC10_XENLA	0.1
TRINITY_DN5697_c0_g2_i1	sp|Q6NRT6|DJC10_XENLA	0.73
TRINITY_DN5697_c0_g2_i4	sp|Q6NRT6|DJC10_XENLA	1.03e-15
TRINITY_DN5697_c0_g2_i4	sp|Q6NRT6|DJC10_XENLA	0.01
TRINITY_DN5697_c0_g2_i4	sp|Q6NRT6|DJC10_XENLA	0.088
TRINITY_DN5697_c0_g2_i4	sp|Q6NRT6|DJC10_XENLA	0.63
TRINITY_DN5697_c0_g2_i3	sp|Q6NRT6|DJC10_XENLA	1.28e-15
TRINITY_DN5697_c0_g2_i3	sp|Q6NRT6|DJC10_XENLA	0.012
TRINITY_DN5697_c0_g2_i3	sp|Q6NRT6|DJC10_XENLA	0.1
TRINITY_DN5697_c0_g2_i3	sp|Q6NRT6|DJC10_XENLA	0.71
TRINITY_DN5670_c0_g2_i1	sp|Q60714|S27A1_MOUSE	0
TRINITY_DN5695_c0_g1_i3	sp|Q54XM0|CAPTB_DICDI	9.11e-29
TRINITY_DN5649_c0_g1_i1	sp|P62832|RL23_RAT	3.08e-90
TRINITY_DN5617_c0_g1_i9	sp|Q71S21|INVSB_XENLA	2.8e-18
TRINITY_DN5617_c0_g1_i9	sp|Q71S21|INVSB_XENLA	1.16e-10
TRINITY_DN5617_c0_g1_i9	sp|Q71S21|INVSB_XENLA	1.52e-08
TRINITY_DN5617_c0_g1_i2	sp|Q71S21|INVSB_XENLA	1.28e-18
TRINITY_DN5617_c0_g1_i2	sp|Q71S21|INVSB_XENLA	6.44e-11
TRINITY_DN5617_c0_g1_i2	sp|Q71S21|INVSB_XENLA	8.8e-09
TRINITY_DN5617_c0_g1_i12	sp|Q71S21|INVSB_XENLA	2.62e-18
TRINITY_DN5617_c0_g1_i12	sp|Q71S21|INVSB_XENLA	1.1e-10
TRINITY_DN5617_c0_g1_i12	sp|Q71S21|INVSB_XENLA	1.44e-08
TRINITY_DN5617_c0_g1_i3	sp|Q71S21|INVSB_XENLA	3.43e-13
TRINITY_DN5617_c0_g1_i3	sp|Q71S21|INVSB_XENLA	4.69e-10
TRINITY_DN5617_c0_g1_i3	sp|Q71S21|INVSB_XENLA	7.37e-06
TRINITY_DN5617_c0_g1_i3	sp|Q71S21|INVSB_XENLA	3.84e-05
TRINITY_DN5617_c0_g1_i3	sp|Q71S21|INVSB_XENLA	0.000251
TRINITY_DN5617_c0_g1_i3	sp|Q71S21|INVSB_XENLA	4.6
TRINITY_DN5617_c0_g1_i13	sp|Q71S21|INVSB_XENLA	2.52e-18
TRINITY_DN5617_c0_g1_i13	sp|Q71S21|INVSB_XENLA	1.06e-10
TRINITY_DN5617_c0_g1_i13	sp|Q71S21|INVSB_XENLA	1.4e-08
TRINITY_DN5645_c0_g1_i4	sp|Q4N4N8|TXND_THEPA	2.92e-37
TRINITY_DN5645_c0_g1_i2	sp|Q4N4N8|TXND_THEPA	1.22e-37
TRINITY_DN5645_c0_g1_i3	sp|Q4N4N8|TXND_THEPA	7.3e-36
TRINITY_DN5645_c0_g1_i6	sp|Q4N4N8|TXND_THEPA	2.82e-36
TRINITY_DN5645_c0_g1_i1	sp|Q4N4N8|TXND_THEPA	6.57e-37
TRINITY_DN5696_c0_g2_i1	sp|Q8LB02|SDHB2_ARATH	3.82e-109
TRINITY_DN5696_c0_g2_i2	sp|Q8LB02|SDHB2_ARATH	3.82e-109
TRINITY_DN5640_c0_g1_i2	sp|P00502|GSTA1_RAT	1.1e-09
TRINITY_DN5640_c0_g1_i4	sp|P00502|GSTA1_RAT	9.85e-10
TRINITY_DN5640_c0_g1_i1	sp|P00502|GSTA1_RAT	8.36e-09
TRINITY_DN5666_c0_g4_i4	sp|Q9SL42|PIN1_ARATH	1.78e-22
TRINITY_DN5666_c0_g4_i3	sp|P28749|RBL1_HUMAN	0
TRINITY_DN5666_c0_g4_i1	sp|P28749|RBL1_HUMAN	0
TRINITY_DN5666_c0_g4_i2	sp|P28749|RBL1_HUMAN	0
TRINITY_DN5658_c0_g2_i1	sp|Q7SIB7|PGK1_PIG	1.94e-171
TRINITY_DN5642_c0_g1_i1	sp|Q6NVS2|ERGI3_XENTR	5.07e-138
TRINITY_DN5642_c0_g1_i9	sp|Q6NVS2|ERGI3_XENTR	4.12e-138
TRINITY_DN5642_c0_g1_i10	sp|Q6NVS2|ERGI3_XENTR	3.86e-138
TRINITY_DN5642_c0_g1_i11	sp|Q6NVS2|ERGI3_XENTR	4.29e-138
TRINITY_DN5642_c0_g1_i2	sp|Q6NVS2|ERGI3_XENTR	5.07e-138
TRINITY_DN5663_c0_g1_i5	sp|Q5R5T8|SVOP_PONAB	1.62e-33
TRINITY_DN5662_c0_g1_i2	sp|Q5F3X4|U5S1_CHICK	0
TRINITY_DN5699_c0_g1_i2	sp|F4K265|AT101_ARATH	1.22e-16
TRINITY_DN5699_c0_g1_i3	sp|F4K265|AT101_ARATH	9.4e-17
TRINITY_DN5605_c0_g1_i1	sp|Q5RE03|PRP18_PONAB	4.39e-96
TRINITY_DN5611_c0_g1_i1	sp|Q9UKX2|MYH2_HUMAN	2.5
TRINITY_DN5611_c0_g1_i2	sp|Q9UKX2|MYH2_HUMAN	2.4
TRINITY_DN5611_c1_g1_i4	sp|P0CS08|TRM61_CRYNJ	1.08e-64
TRINITY_DN5611_c0_g2_i4	sp|Q60675|LAMA2_MOUSE	0.00076
TRINITY_DN5611_c0_g2_i3	sp|Q9LFE4|Y5673_ARATH	0.04
TRINITY_DN5623_c0_g1_i8	sp|Q555L8|Y4695_DICDI	0.000229
TRINITY_DN5623_c0_g1_i3	sp|Q555L8|Y4695_DICDI	0.000251
TRINITY_DN5623_c0_g1_i9	sp|Q555L8|Y4695_DICDI	0.000249
TRINITY_DN5623_c0_g1_i2	sp|Q555L8|Y4695_DICDI	0.000258
TRINITY_DN5623_c0_g1_i7	sp|Q555L8|Y4695_DICDI	0.000256
TRINITY_DN5628_c0_g1_i6	sp|P80197|AFK_PHYPO	1.68e-13
TRINITY_DN5628_c0_g1_i6	sp|P80197|AFK_PHYPO	3.22e-10
TRINITY_DN5628_c0_g1_i6	sp|P80197|AFK_PHYPO	0.021
TRINITY_DN5628_c0_g1_i6	sp|P80197|AFK_PHYPO	0.45
TRINITY_DN5628_c0_g1_i2	sp|P80197|AFK_PHYPO	1.53e-13
TRINITY_DN5628_c0_g1_i2	sp|P80197|AFK_PHYPO	2.98e-10
TRINITY_DN5628_c0_g1_i2	sp|P80197|AFK_PHYPO	0.02
TRINITY_DN5628_c0_g1_i2	sp|P80197|AFK_PHYPO	0.43
TRINITY_DN5628_c0_g1_i1	sp|P80197|AFK_PHYPO	1.51e-13
TRINITY_DN5628_c0_g1_i1	sp|P80197|AFK_PHYPO	2.93e-10
TRINITY_DN5628_c0_g1_i1	sp|P80197|AFK_PHYPO	0.02
TRINITY_DN5628_c0_g1_i1	sp|P80197|AFK_PHYPO	0.42
TRINITY_DN5628_c0_g1_i5	sp|P80197|AFK_PHYPO	2.16e-13
TRINITY_DN5628_c0_g1_i5	sp|P80197|AFK_PHYPO	4.03e-10
TRINITY_DN5628_c0_g1_i5	sp|P80197|AFK_PHYPO	0.025
TRINITY_DN5628_c0_g1_i5	sp|P80197|AFK_PHYPO	0.54
TRINITY_DN5694_c0_g1_i1	sp|P46272|TBP_ACEPE	2.37e-36
TRINITY_DN5694_c0_g1_i3	sp|P46272|TBP_ACEPE	2.14e-36
TRINITY_DN5694_c0_g1_i6	sp|P46272|TBP_ACEPE	2.46e-36
TRINITY_DN5602_c1_g1_i4	sp|Q00653|NFKB2_HUMAN	5.48e-09
TRINITY_DN5602_c1_g1_i4	sp|Q00653|NFKB2_HUMAN	1.1
TRINITY_DN5602_c1_g1_i6	sp|Q00653|NFKB2_HUMAN	4.39e-09
TRINITY_DN5602_c1_g1_i6	sp|Q00653|NFKB2_HUMAN	1.1
TRINITY_DN5609_c0_g1_i2	sp|Q1LWV7|TLDC1_DANRE	9.39e-15
TRINITY_DN5609_c0_g1_i5	sp|Q1LWV7|TLDC1_DANRE	1.72e-14
TRINITY_DN5609_c0_g1_i7	sp|Q1LWV7|TLDC1_DANRE	1.18e-14
TRINITY_DN37882_c1_g1_i1	sp|Q02525|ZFP39_MOUSE	2.2e-27
TRINITY_DN37882_c1_g1_i1	sp|Q02525|ZFP39_MOUSE	1.11e-26
TRINITY_DN37882_c1_g1_i1	sp|Q02525|ZFP39_MOUSE	1.35e-26
TRINITY_DN37882_c1_g1_i1	sp|Q02525|ZFP39_MOUSE	1.96e-24
TRINITY_DN37882_c1_g1_i1	sp|Q02525|ZFP39_MOUSE	1.02e-23
TRINITY_DN37882_c1_g1_i1	sp|Q02525|ZFP39_MOUSE	2.85e-23
TRINITY_DN37882_c1_g1_i1	sp|Q02525|ZFP39_MOUSE	1.84e-22
TRINITY_DN37882_c1_g1_i1	sp|Q02525|ZFP39_MOUSE	2.61e-22
TRINITY_DN37882_c1_g1_i1	sp|Q02525|ZFP39_MOUSE	3.1e-18
TRINITY_DN37882_c1_g1_i1	sp|Q02525|ZFP39_MOUSE	6.86e-16
TRINITY_DN37882_c1_g1_i1	sp|Q02525|ZFP39_MOUSE	4e-10
TRINITY_DN37882_c1_g1_i1	sp|Q02525|ZFP39_MOUSE	2.13e-08
TRINITY_DN37882_c1_g1_i1	sp|Q02525|ZFP39_MOUSE	1.17e-06
TRINITY_DN37882_c0_g1_i1	sp|P18729|ZG57_XENLA	3.4e-39
TRINITY_DN37882_c0_g1_i1	sp|P18729|ZG57_XENLA	3.86e-33
TRINITY_DN37882_c0_g1_i1	sp|P18729|ZG57_XENLA	7.96e-32
TRINITY_DN37882_c0_g1_i1	sp|P18729|ZG57_XENLA	3.42e-31
TRINITY_DN37882_c0_g1_i1	sp|P18729|ZG57_XENLA	1.45e-29
TRINITY_DN37882_c0_g1_i1	sp|P18729|ZG57_XENLA	2.78e-29
TRINITY_DN37882_c0_g1_i1	sp|P18729|ZG57_XENLA	8.04e-29
TRINITY_DN37882_c0_g1_i1	sp|P18729|ZG57_XENLA	4.7e-18
TRINITY_DN37889_c0_g4_i1	sp|Q0CYP4|M2DH_ASPTN	5
TRINITY_DN37862_c0_g1_i1	sp|Q9L6B8|PUR1_PASMU	0.001
TRINITY_DN28793_c0_g1_i1	sp|A4TEW1|ADD_MYCGI	6.2
TRINITY_DN28778_c0_g1_i1	sp|Q4KLV7|F50AB_XENLA	4.04e-59
TRINITY_DN28742_c1_g2_i1	sp|G0S8G9|IF2P_CHATD	5.47e-29
TRINITY_DN28742_c1_g3_i1	sp|Q9VJ87|CWC22_DROME	0
TRINITY_DN28751_c0_g1_i1	sp|Q504N0|CBPA2_MOUSE	3.43e-10
TRINITY_DN28751_c0_g1_i2	sp|Q504N0|CBPA2_MOUSE	3.39e-10
TRINITY_DN28711_c1_g2_i1	sp|P16425|Y2R2_DROME	0.00037
TRINITY_DN28762_c0_g1_i1	sp|Q8NCL4|GALT6_HUMAN	7.41e-46
TRINITY_DN28777_c0_g1_i1	sp|P07953|F261_RAT	1.57e-70
TRINITY_DN28788_c0_g1_i1	sp|Q1JQ97|BBS4_BOVIN	5.31e-21
TRINITY_DN28782_c0_g1_i1	sp|Q86UD5|SL9B2_HUMAN	1.56e-67
TRINITY_DN28757_c0_g1_i1	sp|O59800|SLT11_SCHPO	3.1
TRINITY_DN28740_c0_g1_i3	sp|Q10MN3|PX112_ORYSJ	0.12
TRINITY_DN28740_c0_g1_i2	sp|Q10MN3|PX112_ORYSJ	0.09
TRINITY_DN28740_c0_g1_i4	sp|Q10MN3|PX112_ORYSJ	0.11
TRINITY_DN28740_c0_g1_i14	sp|Q10MN3|PX112_ORYSJ	0.12
TRINITY_DN28740_c0_g1_i9	sp|Q10MN3|PX112_ORYSJ	0.095
TRINITY_DN28740_c0_g1_i13	sp|Q10MN3|PX112_ORYSJ	0.11
TRINITY_DN28740_c0_g1_i10	sp|Q10MN3|PX112_ORYSJ	0.12
TRINITY_DN28740_c0_g1_i11	sp|Q10MN3|PX112_ORYSJ	0.095
TRINITY_DN28740_c0_g1_i8	sp|Q10MN3|PX112_ORYSJ	0.12
TRINITY_DN12481_c0_g1_i13	sp|Q0IID2|TLDC2_BOVIN	4.76e-53
TRINITY_DN12481_c0_g1_i8	sp|Q0IID2|TLDC2_BOVIN	5.21e-53
TRINITY_DN12481_c0_g1_i12	sp|Q0IID2|TLDC2_BOVIN	7.54e-53
TRINITY_DN12481_c0_g1_i5	sp|Q4KMM3|OXR1_MOUSE	2.09e-56
TRINITY_DN12498_c0_g1_i4	sp|F4HWL4|SYYC2_ARATH	9.05e-125
TRINITY_DN12498_c0_g1_i4	sp|F4HWL4|SYYC2_ARATH	6.95e-115
TRINITY_DN12498_c0_g1_i3	sp|F4HWL4|SYYC2_ARATH	7.74e-124
TRINITY_DN12498_c0_g1_i3	sp|F4HWL4|SYYC2_ARATH	5.19e-114
TRINITY_DN12498_c0_g1_i2	sp|F4HWL4|SYYC2_ARATH	2.14e-124
TRINITY_DN12498_c0_g1_i2	sp|F4HWL4|SYYC2_ARATH	1.56e-114
TRINITY_DN12449_c0_g1_i1	sp|Q8IZU2|WDR17_HUMAN	1.35e-23
TRINITY_DN12449_c0_g1_i2	sp|Q8IZU2|WDR17_HUMAN	9.68e-29
TRINITY_DN12449_c0_g1_i4	sp|Q8IZU2|WDR17_HUMAN	1.46e-28
TRINITY_DN12449_c0_g3_i1	sp|Q8IZU2|WDR17_HUMAN	2.98e-85
TRINITY_DN12449_c0_g3_i1	sp|Q8IZU2|WDR17_HUMAN	0.36
TRINITY_DN12449_c0_g3_i1	sp|Q8IZU2|WDR17_HUMAN	0.84
TRINITY_DN12443_c0_g1_i1	sp|Q95334|AMPE_PIG	0
TRINITY_DN12443_c0_g1_i2	sp|Q95334|AMPE_PIG	0
TRINITY_DN12496_c0_g1_i3	sp|Q4V7T8|ROP1L_XENLA	1.79e-07
TRINITY_DN12496_c0_g1_i1	sp|Q4V7T8|ROP1L_XENLA	1.57e-07
TRINITY_DN12455_c0_g1_i1	sp|Q5VND6|NAP1A_ORYSJ	5.91e-33
TRINITY_DN12455_c0_g1_i2	sp|Q5VND6|NAP1A_ORYSJ	6.51e-33
TRINITY_DN12403_c0_g1_i1	sp|Q3ULD5|MCCB_MOUSE	0
TRINITY_DN12475_c0_g1_i3	sp|Q924N4|S12A6_MOUSE	3.52e-102
TRINITY_DN12475_c0_g1_i3	sp|Q924N4|S12A6_MOUSE	0.011
TRINITY_DN12475_c0_g1_i1	sp|Q924N4|S12A6_MOUSE	5.03e-102
TRINITY_DN12475_c0_g1_i1	sp|Q924N4|S12A6_MOUSE	0.011
TRINITY_DN12475_c0_g1_i4	sp|Q924N4|S12A6_MOUSE	1.5e-103
TRINITY_DN12475_c0_g1_i4	sp|Q924N4|S12A6_MOUSE	0.009
TRINITY_DN12477_c0_g1_i4	sp|Q54XF2|KGUA_DICDI	2.42e-58
TRINITY_DN12477_c0_g1_i5	sp|Q54XF2|KGUA_DICDI	3.07e-55
TRINITY_DN12477_c0_g1_i3	sp|Q54XF2|KGUA_DICDI	2.72e-58
TRINITY_DN12477_c0_g1_i2	sp|Q54XF2|KGUA_DICDI	8.7e-59
TRINITY_DN12447_c0_g1_i11	sp|P54584|CSP_ARTGO	0.02
TRINITY_DN12447_c0_g1_i13	sp|P54584|CSP_ARTGO	0.014
TRINITY_DN12447_c0_g1_i14	sp|P54584|CSP_ARTGO	0.021
TRINITY_DN12447_c0_g1_i1	sp|P54584|CSP_ARTGO	0.025
TRINITY_DN12447_c0_g1_i2	sp|P54584|CSP_ARTGO	0.024
TRINITY_DN12447_c0_g1_i10	sp|P54584|CSP_ARTGO	0.022
TRINITY_DN12447_c0_g1_i3	sp|P54584|CSP_ARTGO	0.021
TRINITY_DN12447_c0_g1_i7	sp|P54584|CSP_ARTGO	0.018
TRINITY_DN12447_c0_g1_i17	sp|P54584|CSP_ARTGO	0.019
TRINITY_DN12447_c0_g1_i6	sp|P54584|CSP_ARTGO	0.019
TRINITY_DN12447_c0_g1_i16	sp|P54584|CSP_ARTGO	0.015
TRINITY_DN12447_c0_g1_i18	sp|P54584|CSP_ARTGO	0.022
TRINITY_DN12447_c0_g1_i19	sp|P54584|CSP_ARTGO	0.022
TRINITY_DN12414_c0_g1_i1	sp|Q803M3|TEX10_DANRE	7.49e-11
TRINITY_DN12499_c0_g1_i1	sp|Q3KRD5|TOM34_RAT	0.005
TRINITY_DN12499_c0_g1_i4	sp|Q3KRD5|TOM34_RAT	0.006
TRINITY_DN12499_c0_g1_i2	sp|Q3KRD5|TOM34_RAT	0.006
TRINITY_DN12485_c0_g1_i1	sp|Q39RG3|RECO_GEOMG	0.17
TRINITY_DN12434_c0_g1_i1	sp|P25007|PPIA_DROME	3.6e-81
TRINITY_DN12466_c0_g1_i1	sp|Q755N4|DBP2_ASHGO	1e-81
TRINITY_DN12466_c1_g3_i2	sp|Q93VG8|PPDEX_ARATH	5.93e-11
TRINITY_DN12466_c1_g3_i3	sp|Q93VG8|PPDEX_ARATH	5.12e-11
TRINITY_DN12466_c1_g3_i1	sp|Q93VG8|PPDEX_ARATH	6.27e-11
TRINITY_DN12453_c2_g3_i1	sp|O75175|CNOT3_HUMAN	6.9e-40
TRINITY_DN12489_c0_g1_i7	sp|P05434|CATR_CHLRE	1.69e-11
TRINITY_DN12489_c0_g1_i5	sp|P05434|CATR_CHLRE	1.97e-11
TRINITY_DN12474_c0_g2_i3	sp|Q71S21|INVSB_XENLA	4.08e-07
TRINITY_DN12474_c0_g2_i3	sp|Q71S21|INVSB_XENLA	0.13
TRINITY_DN12474_c0_g2_i4	sp|Q71S21|INVSB_XENLA	4.34e-07
TRINITY_DN12474_c0_g2_i4	sp|Q71S21|INVSB_XENLA	0.14
TRINITY_DN12437_c0_g1_i2	sp|Q6ICB0|DESI1_HUMAN	8.67e-26
TRINITY_DN12437_c0_g1_i1	sp|Q6ICB0|DESI1_HUMAN	8.15e-26
TRINITY_DN12437_c0_g1_i3	sp|Q6ICB0|DESI1_HUMAN	8.33e-26
TRINITY_DN12448_c0_g2_i2	sp|Q8VCW8|ACSF2_MOUSE	5.63e-118
TRINITY_DN12448_c0_g2_i1	sp|O31826|YNGI_BACSU	7.86e-154
TRINITY_DN12445_c0_g1_i1	sp|A5PJA1|KAD6_BOVIN	2.71e-76
TRINITY_DN12436_c0_g2_i1	sp|Q11073|YT45_CAEEL	3.43e-82
TRINITY_DN12436_c0_g2_i3	sp|Q11073|YT45_CAEEL	3.03e-82
TRINITY_DN12436_c0_g2_i2	sp|Q11073|YT45_CAEEL	8.13e-83
TRINITY_DN12461_c0_g1_i2	sp|Q52JK6|VIP2_NICBE	1.74e-40
TRINITY_DN12461_c0_g1_i1	sp|Q52JK6|VIP2_NICBE	1.37e-40
TRINITY_DN12461_c0_g1_i3	sp|Q52JK6|VIP2_NICBE	6.1e-41
TRINITY_DN12492_c0_g1_i2	sp|Q60EZ2|GSK2_ORYSJ	2.14e-54
TRINITY_DN12492_c0_g1_i4	sp|Q60EZ2|GSK2_ORYSJ	2.83e-54
TRINITY_DN12419_c0_g1_i1	sp|A1E295|CATB_PIG	2.39e-119
TRINITY_DN12462_c0_g1_i1	sp|Q6EQX3|OML5_ORYSJ	1.75e-09
TRINITY_DN12462_c0_g1_i1	sp|Q6EQX3|OML5_ORYSJ	0.031
TRINITY_DN12462_c0_g1_i1	sp|Q6EQX3|OML5_ORYSJ	0.067
TRINITY_DN12462_c0_g1_i6	sp|Q6EQX3|OML5_ORYSJ	2.14e-09
TRINITY_DN12462_c0_g1_i6	sp|Q6EQX3|OML5_ORYSJ	0.037
TRINITY_DN12462_c0_g1_i6	sp|Q6EQX3|OML5_ORYSJ	0.08
TRINITY_DN12462_c0_g1_i7	sp|Q6EQX3|OML5_ORYSJ	2.16e-09
TRINITY_DN12462_c0_g1_i7	sp|Q6EQX3|OML5_ORYSJ	0.037
TRINITY_DN12462_c0_g1_i7	sp|Q6EQX3|OML5_ORYSJ	0.081
TRINITY_DN12495_c0_g1_i1	sp|Q9SLA1|P2C22_ARATH	8.5e-27
TRINITY_DN12495_c0_g1_i3	sp|Q9SLA1|P2C22_ARATH	8.5e-27
TRINITY_DN12495_c0_g1_i5	sp|Q9SLA1|P2C22_ARATH	9.48e-27
TRINITY_DN12495_c0_g1_i2	sp|Q9SLA1|P2C22_ARATH	9.24e-27
TRINITY_DN12444_c0_g1_i1	sp|P59110|SENP1_MOUSE	1.77e-71
TRINITY_DN12413_c0_g4_i1	sp|Q9JJ59|ABCB9_MOUSE	3.24e-111
TRINITY_DN12497_c0_g1_i1	sp|Q3MI00|DNJB1_BOVIN	2.08e-60
TRINITY_DN12497_c0_g1_i3	sp|Q3MI00|DNJB1_BOVIN	5.76e-61
TRINITY_DN12497_c0_g1_i4	sp|P59910|DJB13_HUMAN	3.05e-48
TRINITY_DN12494_c0_g1_i1	sp|P05689|CATZ_BOVIN	5.14e-61
TRINITY_DN12494_c0_g1_i1	sp|P05689|CATZ_BOVIN	3.42e-20
TRINITY_DN12446_c0_g2_i2	sp|Q9WTN5|TPC1_RAT	3.45e-26
TRINITY_DN12446_c0_g1_i1	sp|Q6S5H8|TPC1_HORVU	1.05e-13
TRINITY_DN4795_c0_g1_i1	sp|Q8R4U0|STAB2_MOUSE	0.002
