target_id,up_ID,evalue
TRINITY_DN30057_c0_g1_i1,sp|Q641I1|F135B_XENLA,4.19E-25
TRINITY_DN42344_c0_g1_i1,sp|P36601|RAD51_SCHPO,1.08E-29
TRINITY_DN18449_c0_g1_i2,sp|Q41140|PFPA_RICCO,4.77E-30
TRINITY_DN61331_c0_g1_i1,sp|Q9TU34|ITPR1_BOVIN,2.06E-37
TRINITY_DN42422_c0_g1_i1,sp|Q9C0G6|DYH6_HUMAN,1.81E-21
TRINITY_DN57174_c0_g1_i1,sp|Q9UNH5|CC14A_HUMAN,1.61E-24
TRINITY_DN61491_c0_g1_i1,sp|Q8IVS2|FABD_HUMAN,3.27E-21
TRINITY_DN60110_c0_g1_i1,sp|Q8C8R3|ANK2_MOUSE,1.08E-26
TRINITY_DN20884_c0_g1_i3,sp|Q9ULJ7|ANR50_HUMAN,9.90E-26
TRINITY_DN5619_c0_g1_i4,sp|P40761|YUXK_BACSU,8.40E-23
TRINITY_DN10369_c0_g1_i2,sp|Q9W6S5|ALLC_XENLA,1.32E-96
TRINITY_DN56324_c0_g1_i1,sp|A0A0R4IBK5|R213A_DANRE,2.73E-27
TRINITY_DN47151_c0_g1_i1,sp|Q9C0G6|DYH6_HUMAN,3.29E-51
TRINITY_DN36284_c0_g1_i1,sp|Q5EAD5|PGTB1_BOVIN,4.51E-46
TRINITY_DN17573_c0_g1_i1,sp|Q9SIC9|PP178_ARATH,4.20E-27
TRINITY_DN9536_c0_g3_i1,sp|Q93HU4|NHAP_APHHA,7.12E-23
TRINITY_DN13720_c0_g1_i1,sp|P54860|UFD2_YEAST,1.41E-43
TRINITY_DN4262_c3_g1_i2,sp|A5UU55|GLPK_ROSS1,5.21E-39
TRINITY_DN29645_c0_g1_i1,sp|Q7RTR2|NLRC3_HUMAN,2.74E-50
TRINITY_DN6869_c0_g2_i1,sp|Q6ZQ08|CNOT1_MOUSE,6.75E-28
TRINITY_DN22387_c0_g2_i6,sp|A0DTY1|PP2C4_PARTE,4.86E-36
TRINITY_DN3987_c0_g1_i7,sp|P87144|SYTC_SCHPO,0
TRINITY_DN4335_c0_g1_i13,sp|Q9VM71|XRN2_DROME,2.04E-55
TRINITY_DN11458_c4_g1_i1,sp|Q40831|TBA1_PELFA,5.26E-49
TRINITY_DN50631_c0_g1_i1,sp|P48765|NAC1_BOVIN,1.30E-26
TRINITY_DN27949_c0_g2_i1,sp|Q5R668|ACSL3_PONAB,3.31E-29
TRINITY_DN2514_c0_g1_i4,sp|Q9N1Q0|RSMB_MACEU,3.92E-31
TRINITY_DN55382_c0_g1_i1,sp|Q6R5J2|DISP1_DANRE,1.91E-21
TRINITY_DN13786_c0_g2_i1,sp|Q9ULJ7|ANR50_HUMAN,4.71E-22
TRINITY_DN60260_c0_g1_i1,sp|Q0JKD0|GLT1_ORYSJ,5.59E-31
TRINITY_DN58001_c0_g1_i1,sp|Q2KIJ5|KDSR_BOVIN,8.21E-23
TRINITY_DN56558_c0_g1_i1,sp|Q8WXX0|DYH7_HUMAN,1.40E-62
TRINITY_DN23218_c0_g1_i1,sp|Q95LS7|CCD96_MACFA,7.85E-31
TRINITY_DN4371_c0_g1_i5,sp|P52285|SKP1A_DICDI,7.85E-54
TRINITY_DN41632_c0_g2_i1,sp|Q64542|AT2B4_RAT,9.14E-35
TRINITY_DN3578_c1_g1_i2,sp|Q94A34|SFH12_ARATH,3.57E-39
TRINITY_DN45652_c0_g1_i1,sp|Q5DU05|CE164_MOUSE,1.84E-23
TRINITY_DN4008_c0_g1_i13,sp|O14327|PAB2_SCHPO,1.01E-32
TRINITY_DN12976_c0_g1_i5,sp|P80457|XDH_BOVIN,7.93E-131
TRINITY_DN1148_c0_g1_i10,sp|P41932|14331_CAEEL,7.02E-23
TRINITY_DN17012_c1_g3_i1,sp|Q96RW7|HMCN1_HUMAN,1.20E-27
TRINITY_DN5619_c0_g1_i3,sp|P40761|YUXK_BACSU,7.42E-23
TRINITY_DN13124_c0_g1_i1,sp|Q8X082|RFC5_NEUCR,4.75E-62
TRINITY_DN57941_c0_g1_i1,sp|Q3ZMH1|SC5A8_DANRE,4.19E-22
TRINITY_DN18478_c0_g1_i3,sp|Q54JH6|CMT1_DICDI,4.82E-50
TRINITY_DN56226_c0_g1_i1,sp|Q23H79|CF206_TETTS,4.95E-34
TRINITY_DN11607_c0_g1_i1,sp|Q75IM9|IVD_ORYSJ,1.60E-71
TRINITY_DN4784_c0_g1_i8,sp|O55057|PDE6D_MOUSE,2.37E-53
TRINITY_DN5946_c0_g1_i7,sp|Q03685|BIP5_TOBAC,0
TRINITY_DN30681_c0_g2_i1,sp|B4JHJ7|DGKH_DROGR,1.74E-21
TRINITY_DN16963_c0_g1_i1,sp|Q19842|PCCA_CAEEL,3.54E-36
TRINITY_DN27700_c0_g2_i1,sp|Q0VGY8|TANC1_MOUSE,7.79E-24
TRINITY_DN30541_c0_g3_i1,sp|Q39610|DYHA_CHLRE,1.34E-37
TRINITY_DN43256_c0_g1_i1,sp|Q9ULJ7|ANR50_HUMAN,2.47E-21
TRINITY_DN23586_c0_g1_i1,sp|Q8IZU2|WDR17_HUMAN,7.39E-32
TRINITY_DN23920_c0_g3_i1,sp|Q8IY21|DDX60_HUMAN,1.11E-40
TRINITY_DN57750_c0_g1_i1,sp|P34036|DYHC_DICDI,6.35E-30
TRINITY_DN25178_c0_g1_i1,sp|Q63170|DYH7_RAT,2.35E-22
TRINITY_DN14747_c0_g4_i1,sp|Q8T6J2|ABCA5_DICDI,1.34E-40
TRINITY_DN12987_c0_g1_i4,sp|Q6P8M1|TATD1_MOUSE,1.61E-74
TRINITY_DN34658_c0_g1_i1,sp|D3DJ42|2OCS_HYDTT,5.93E-40
TRINITY_DN37652_c0_g1_i1,sp|Q14CH1|MOCOS_MOUSE,4.12E-28
TRINITY_DN42894_c0_g1_i1,sp|P12078|HSP73_PLAFA,1.07E-31
TRINITY_DN19153_c0_g2_i2,sp|O74944|POLK_SCHPO,2.21E-29
TRINITY_DN17105_c0_g1_i5,sp|Q55EY8|UBE2W_DICDI,4.48E-28
TRINITY_DN12694_c1_g1_i1,sp|B9JEV4|ACSA_AGRRK,2.86E-33
TRINITY_DN2692_c0_g1_i2,sp|O52538|CAH_PECCA,1.37E-24
TRINITY_DN31863_c0_g3_i1,sp|F4JAA5|SKI2_ARATH,1.95E-21
TRINITY_DN4111_c1_g1_i1,sp|P35130|UBC2_MEDSA,5.36E-68
TRINITY_DN5455_c0_g1_i1,sp|Q8H100|AGD8_ARATH,1.41E-28
TRINITY_DN5238_c0_g1_i7,sp|O70511|ANK3_RAT,1.37E-25
TRINITY_DN9674_c0_g1_i16,sp|Q41396|VATE_SPIOL,6.29E-31
TRINITY_DN9671_c0_g1_i1,sp|Q9Z1N4|BPNT1_RAT,1.23E-32
TRINITY_DN5441_c0_g1_i3,sp|Q54RJ1|CNRB_DICDI,3.62E-84
TRINITY_DN9045_c0_g1_i6,sp|P46283|S17P_ARATH,1.34E-76
TRINITY_DN3909_c0_g1_i4,sp|P84169|PSD13_CHICK,2.79E-47
TRINITY_DN43471_c0_g1_i1,sp|A3QJU3|ADCK4_DANRE,8.02E-33
TRINITY_DN54690_c0_g1_i1,sp|Q9LV03|GLUT1_ARATH,3.68E-22
TRINITY_DN27137_c0_g3_i1,sp|Q5BL07|PEX1_MOUSE,1.27E-36
TRINITY_DN13102_c1_g1_i2,sp|Q9C1C2|KAPR_COLOR,5.18E-33
TRINITY_DN46886_c0_g1_i1,sp|Q8ICR0|CDPK2_PLAF7,1.42E-24
TRINITY_DN59212_c0_g1_i1,sp|Q9FMF6|PP444_ARATH,5.64E-23
TRINITY_DN46315_c0_g1_i1,sp|F4ILR7|DEXH1_ARATH,5.33E-38
TRINITY_DN9063_c0_g1_i6,sp|Q1LUA8|EI3EB_DANRE,2.48E-79
TRINITY_DN19386_c0_g1_i2,sp|Q8R4P9|MRP7_MOUSE,1.72E-23
TRINITY_DN39692_c0_g1_i1,sp|P45745|DHBF_BACSU,1.29E-29
TRINITY_DN10656_c0_g2_i1,sp|Q09996|SYLC_CAEEL,2.56E-27
TRINITY_DN17022_c0_g1_i3,sp|Q8Q0U0|Y045_METMA,3.65E-40
TRINITY_DN44248_c0_g1_i1,sp|Q5XHA8|PYG1A_XENLA,2.02E-45
TRINITY_DN5016_c0_g1_i5,sp|G5E8K5|ANK3_MOUSE,1.30E-25
TRINITY_DN59295_c0_g1_i1,sp|Q54NW6|OPLA_DICDI,2.23E-80
TRINITY_DN36206_c0_g1_i1,sp|Q07970|ATK1_ARATH,5.64E-26
TRINITY_DN12364_c0_g1_i4,sp|Q12184|ADRX_YEAST,4.19E-21
TRINITY_DN18114_c0_g3_i1,sp|Q211P3|OADC_RHOPB,1.07E-25
TRINITY_DN3074_c0_g2_i10,sp|Q8BG09|T184B_MOUSE,8.44E-27
TRINITY_DN12644_c0_g2_i1,sp|P11505|AT2B1_RAT,4.98E-59
TRINITY_DN22342_c0_g1_i1,sp|Q86YQ8|CPNE8_HUMAN,1.13E-26
TRINITY_DN5128_c0_g1_i2,sp|Q1JQA3|AP3S2_BOVIN,9.33E-27
TRINITY_DN54613_c0_g1_i1,sp|Q99PV0|PRP8_MOUSE,4.77E-72
TRINITY_DN47525_c0_g1_i1,sp|A1A5H6|CNOT1_DANRE,1.76E-25
TRINITY_DN23385_c0_g1_i1,sp|Q9CAD5|YODA_ARATH,4.69E-24
TRINITY_DN53861_c0_g1_i1,sp|Q8T295|PRP8_DICDI,7.03E-29
TRINITY_DN14657_c0_g1_i3,sp|Q9JLG8|CAN15_MOUSE,3.41E-43
TRINITY_DN25178_c0_g2_i1,sp|Q63170|DYH7_RAT,2.30E-81
TRINITY_DN41427_c0_g2_i1,sp|O43196|MSH5_HUMAN,9.90E-46
TRINITY_DN20254_c0_g2_i1,sp|Q54JR2|ABCC3_DICDI,1.58E-26
TRINITY_DN46238_c0_g1_i1,sp|Q92359|YDHE_SCHPO,4.95E-28
TRINITY_DN1722_c0_g1_i2,sp|Q15428|SF3A2_HUMAN,3.54E-113
TRINITY_DN2973_c0_g1_i2,sp|O13737|YDR2_SCHPO,5.28E-25
TRINITY_DN9479_c0_g1_i4,sp|Q38922|RAB1B_ARATH,8.60E-35
TRINITY_DN10937_c0_g1_i1,sp|P16100|IDH_AZOVI,0
TRINITY_DN8107_c0_g1_i4,sp|Q9S7C0|HSP7O_ARATH,8.11E-158
TRINITY_DN3330_c0_g1_i6,sp|Q0V1H5|EIF3C_PHANO,2.20E-85
TRINITY_DN808_c0_g1_i1,sp|Q24117|DYL1_DROME,5.08E-57
TRINITY_DN27753_c0_g1_i2,sp|Q9EQG6|KDIS_RAT,3.76E-25
TRINITY_DN45372_c0_g1_i1,sp|Q86Z98|KINH_GIBMO,9.65E-30
TRINITY_DN4311_c0_g1_i5,sp|Q12955|ANK3_HUMAN,4.52E-22
TRINITY_DN855_c0_g2_i3,sp|Q75K27|RS24_DICDI,1.72E-33
TRINITY_DN15101_c0_g2_i1,sp|Q9NR09|BIRC6_HUMAN,9.98E-25
TRINITY_DN50058_c0_g1_i1,sp|P97608|OPLA_RAT,6.37E-51
TRINITY_DN56272_c0_g1_i1,sp|Q0WLB5|CLAH2_ARATH,4.09E-34
TRINITY_DN31317_c0_g2_i1,sp|Q566L7|LS14B_XENTR,6.90E-22
TRINITY_DN12560_c0_g1_i2,sp|F1S584|CTL2_PIG,1.70E-24
TRINITY_DN40677_c0_g1_i1,sp|Q9XYN1|INX2_SCHAM,9.72E-38
TRINITY_DN37473_c0_g1_i1,sp|Q8Q0U0|Y045_METMA,1.13E-27
TRINITY_DN12764_c0_g1_i2,sp|Q86K80|RUS1_DICDI,1.70E-45
TRINITY_DN7681_c0_g1_i2,sp|P11387|TOP1_HUMAN,5.24E-129
TRINITY_DN10665_c0_g2_i3,sp|Q05762|DRTS1_ARATH,0
TRINITY_DN1784_c0_g1_i10,sp|Q9HCB6|SPON1_HUMAN,3.15E-34
TRINITY_DN39288_c0_g1_i1,sp|Q6ZR08|DYH12_HUMAN,4.17E-63
TRINITY_DN12481_c0_g1_i5,sp|Q4KMM3|OXR1_MOUSE,2.07E-56
TRINITY_DN48773_c0_g1_i1,sp|A8JUV0|SBNO_DROME,3.77E-33
TRINITY_DN37054_c0_g1_i1,sp|Q6P886|DBR1_XENTR,4.44E-48
TRINITY_DN56138_c0_g1_i1,sp|Q9MBF8|DYH1B_CHLRE,2.10E-28
TRINITY_DN56140_c0_g1_i1,sp|Q54Z60|ACSA_DICDI,2.10E-36
TRINITY_DN17345_c0_g1_i1,sp|O65001|TE1_MAIZE,1.87E-22
TRINITY_DN59068_c0_g1_i1,sp|Q9UQ07|MOK_HUMAN,8.07E-37
TRINITY_DN30363_c0_g1_i1,sp|Q96MR6|CFA57_HUMAN,2.03E-47
TRINITY_DN59317_c0_g1_i1,sp|A7MBL8|PKN2_DANRE,2.77E-25
TRINITY_DN25389_c0_g3_i1,sp|Q2QYW2|CLH2_ORYSJ,8.82E-29
TRINITY_DN52282_c0_g1_i1,sp|B9F2Y7|KN4C_ORYSJ,1.39E-28
TRINITY_DN42486_c0_g2_i1,sp|Q1ZXC8|PXI_DICDI,8.24E-30
TRINITY_DN20947_c0_g1_i1,sp|P54679|PMA1_DICDI,1.18E-25
TRINITY_DN39270_c0_g1_i1,sp|Q9FT74|RQL1_ARATH,1.73E-67
TRINITY_DN46068_c0_g1_i1,sp|Q9UNH5|CC14A_HUMAN,7.90E-88
TRINITY_DN67_c0_g1_i2,sp|P23398|UBIQP_STRPU,8.93E-67
TRINITY_DN9671_c0_g1_i10,sp|Q9Z1N4|BPNT1_RAT,1.14E-32
TRINITY_DN9035_c0_g2_i1,sp|Q9KPQ9|PANE_VIBCH,5.89E-36
TRINITY_DN24683_c0_g1_i2,sp|Q54UC0|PRKDC_DICDI,1.87E-36
TRINITY_DN4784_c0_g1_i4,sp|O55057|PDE6D_MOUSE,1.64E-52
TRINITY_DN2597_c0_g1_i7,sp|Q9UKK9|NUDT5_HUMAN,4.73E-39
TRINITY_DN3723_c0_g1_i3,sp|P61294|RAB6B_MOUSE,6.36E-90
TRINITY_DN18449_c0_g2_i2,sp|F4JGR5|PFPB2_ARATH,1.62E-36
TRINITY_DN45241_c0_g1_i1,sp|A8NEP3|TRP_COPC7,1.57E-31
TRINITY_DN48679_c0_g1_i1,sp|P18486|L2AM_DROME,1.88E-33
TRINITY_DN36183_c0_g2_i1,sp|Q8R420|ABCA3_MOUSE,1.08E-51
TRINITY_DN6363_c0_g1_i3,sp|Q9WTR7|SC11C_RAT,3.96E-36
TRINITY_DN24867_c0_g1_i3,sp|Q22708|SYM2_CAEEL,8.23E-22
TRINITY_DN10954_c0_g1_i2,sp|Q9JI38|PUS3_MOUSE,4.63E-45
TRINITY_DN53846_c0_g1_i1,sp|Q00526|CDK3_HUMAN,1.76E-31
TRINITY_DN61029_c0_g1_i1,sp|C0LGQ7|Y4245_ARATH,2.94E-29
TRINITY_DN33554_c0_g2_i1,sp|O15865|CDPK2_PLAFK,1.15E-51
TRINITY_DN25933_c0_g1_i1,sp|Q8WXX0|DYH7_HUMAN,2.65E-41
TRINITY_DN18449_c0_g1_i1,sp|Q41140|PFPA_RICCO,2.99E-26
TRINITY_DN46668_c0_g1_i1,sp|P23437|CDK2_XENLA,2.21E-27
TRINITY_DN59671_c0_g1_i1,sp|P0DMQ6|DHSO_CHICK,2.13E-76
TRINITY_DN16834_c0_g1_i1,sp|Q557G3|TPPC1_DICDI,2.52E-26
TRINITY_DN26769_c0_g1_i5,sp|Q9US41|URG1_SCHPO,9.74E-79
TRINITY_DN1947_c0_g1_i4,sp|Q7SYR1|OSGEP_XENLA,2.12E-158
TRINITY_DN18822_c0_g1_i1,sp|P48768|NAC2_RAT,1.12E-47
TRINITY_DN32256_c0_g2_i1,sp|Q58DT5|ELMD3_BOVIN,4.66E-22
TRINITY_DN12658_c2_g1_i8,sp|O14206|YDD3_SCHPO,4.66E-48
TRINITY_DN10829_c0_g1_i4,sp|P63172|DYLT1_HUMAN,9.46E-28
TRINITY_DN11719_c0_g1_i6,sp|Q86AQ7|VAM7B_DICDI,4.34E-47
TRINITY_DN13756_c1_g1_i2,sp|Q9Z1M4|KS6B2_MOUSE,8.94E-59
TRINITY_DN14216_c0_g1_i1,sp|Q5ZKS8|UBIA1_CHICK,5.30E-27
TRINITY_DN52483_c0_g1_i1,sp|Q9SCM4|SAP13_ARATH,2.14E-23
TRINITY_DN35719_c0_g1_i2,sp|Q04631|FNTA_RAT,2.65E-27
TRINITY_DN24738_c0_g1_i1,sp|P52922|LKHA4_DICDI,1.34E-41
TRINITY_DN39273_c0_g1_i1,sp|Q09136|AAPK1_PIG,2.40E-41
TRINITY_DN4008_c0_g1_i8,sp|O14327|PAB2_SCHPO,9.19E-33
TRINITY_DN9160_c0_g1_i4,sp|P17724|TRHBN_TETPY,1.46E-23
TRINITY_DN45548_c0_g1_i1,sp|Q8TD57|DYH3_HUMAN,1.34E-32
TRINITY_DN13124_c0_g1_i7,sp|Q8X082|RFC5_NEUCR,8.51E-62
TRINITY_DN4233_c0_g1_i2,sp|O35648|CETN3_MOUSE,1.05E-29
TRINITY_DN14672_c0_g2_i1,sp|Q7Z4L5|TT21B_HUMAN,1.16E-60
TRINITY_DN5795_c0_g1_i2,sp|Q9DBY8|NVL_MOUSE,9.38E-131
TRINITY_DN33591_c0_g1_i2,sp|Q7RTR2|NLRC3_HUMAN,9.16E-41
TRINITY_DN34077_c0_g2_i1,sp|Q00808|HETE1_PODAS,1.36E-23
TRINITY_DN12513_c0_g1_i13,sp|Q6NUH3|NOSIP_XENLA,3.60E-24
TRINITY_DN1481_c0_g1_i2,sp|P12955|PEPD_HUMAN,8.61E-102
TRINITY_DN17105_c0_g1_i4,sp|Q55EY8|UBE2W_DICDI,4.84E-28
TRINITY_DN25251_c0_g2_i1,sp|Q9W0Y8|SCN60_DROME,1.09E-49
TRINITY_DN10098_c0_g2_i1,sp|Q9FMU6|MPCP3_ARATH,7.10E-55
TRINITY_DN5485_c1_g1_i3,sp|Q9C7F5|NTF2_ARATH,9.34E-37
TRINITY_DN4269_c0_g1_i6,sp|P0C6Y7|PRDM9_RAT,3.76E-21
TRINITY_DN15431_c0_g1_i2,sp|P37287|PIGA_HUMAN,7.96E-125
TRINITY_DN12513_c0_g1_i2,sp|Q6NUH3|NOSIP_XENLA,3.27E-24
TRINITY_DN38940_c0_g1_i1,sp|Q54UQ4|RBSK_DICDI,7.64E-27
TRINITY_DN1951_c0_g2_i5,sp|P48758|CBR1_MOUSE,4.06E-33
TRINITY_DN33512_c0_g1_i1,sp|Q2QAV0|TIO_ARATH,3.19E-24
TRINITY_DN36624_c0_g1_i1,sp|P22717|GCYB2_RAT,5.14E-22
TRINITY_DN58932_c0_g1_i1,sp|P35446|SPON1_RAT,1.92E-22
TRINITY_DN22390_c0_g1_i1,sp|Q485F2|ACCA_COLP3,1.87E-44
TRINITY_DN27610_c2_g1_i1,sp|P57103|NAC3_HUMAN,2.94E-69
TRINITY_DN22651_c0_g1_i1,sp|Q9P7I2|KCC1_SCHPO,1.04E-25
TRINITY_DN56194_c0_g1_i1,sp|Q08499|PDE4D_HUMAN,4.39E-41
TRINITY_DN5490_c0_g1_i7,sp|Q5ZL00|EMC1_CHICK,1.23E-47
TRINITY_DN12248_c0_g2_i3,sp|P43293|NAK_ARATH,5.88E-30
TRINITY_DN2977_c0_g1_i6,sp|Q71VM4|IMA1A_ORYSJ,2.78E-33
TRINITY_DN5294_c0_g1_i3,sp|O74856|CAF1_SCHPO,2.05E-34
TRINITY_DN25574_c0_g1_i6,sp|P43510|CPR6_CAEEL,5.82E-57
TRINITY_DN2620_c0_g1_i5,sp|Q05746|HSP70_PLACB,0
TRINITY_DN31957_c0_g3_i1,sp|B0CJW8|Y368_BRUSI,7.00E-24
TRINITY_DN22339_c0_g1_i2,sp|Q9ULJ7|ANR50_HUMAN,1.68E-22
TRINITY_DN2354_c0_g1_i4,sp|Q9VKA4|Y1760_DROME,1.03E-179
TRINITY_DN46887_c0_g1_i1,sp|Q9NJP9|GLPK_TRYBB,9.24E-53
TRINITY_DN9692_c0_g1_i5,sp|Q54H55|Y8969_DICDI,6.58E-35
TRINITY_DN6938_c0_g1_i5,sp|Q5FWL7|ZDH15_XENLA,1.92E-35
TRINITY_DN49143_c0_g1_i1,sp|Q8K2I4|MANBA_MOUSE,3.30E-28
TRINITY_DN17105_c0_g1_i2,sp|Q55EY8|UBE2W_DICDI,6.21E-40
TRINITY_DN23525_c0_g2_i1,sp|Q6ZRR7|LRRC9_HUMAN,5.97E-40
TRINITY_DN3519_c0_g1_i2,sp|Q52T38|ZDH22_ARATH,2.66E-29
TRINITY_DN58819_c0_g1_i1,sp|Q9SRE0|5FCLL_ARATH,7.12E-28
TRINITY_DN11719_c0_g1_i17,sp|Q86AQ7|VAM7B_DICDI,4.11E-48
TRINITY_DN46016_c0_g1_i1,sp|Q9Y315|DEOC_HUMAN,2.66E-73
TRINITY_DN8753_c0_g1_i1,sp|Q9NV31|IMP3_HUMAN,1.47E-43
TRINITY_DN3965_c0_g1_i3,sp|O80925|AGD7_ARATH,2.90E-23
TRINITY_DN2810_c0_g1_i7,sp|Q84L08|GONS4_ARATH,2.27E-33
TRINITY_DN7415_c0_g1_i3,sp|Q6AZT2|SPAST_XENLA,5.03E-30
TRINITY_DN855_c0_g2_i5,sp|Q75K27|RS24_DICDI,2.02E-33
TRINITY_DN5328_c0_g1_i4,sp|H2LRU7|PKD2_ORYLA,2.43E-25
TRINITY_DN3992_c0_g1_i6,sp|Q26609|HXK_SCHMA,1.12E-79
TRINITY_DN31957_c0_g1_i1,sp|Q9I489|T3HPD_PSEAE,3.98E-21
TRINITY_DN4863_c0_g1_i15,sp|O35509|RB11B_RAT,8.80E-100
TRINITY_DN19317_c0_g1_i1,sp|Q86AX3|HUTU_DICDI,9.26E-121
