Trinity_ID	GO_ID	GOslim	Biological_process
TRINITY_DN15574_c0_g1_i1	GO:0000045	stress response	P
TRINITY_DN26682_c0_g1_i1	GO:0000045	stress response	P
TRINITY_DN808_c1_g1_i1	GO:0000045	stress response	P
TRINITY_DN13962_c0_g1_i1	GO:0000045	stress response	P
TRINITY_DN3531_c0_g2_i2	GO:0000045	stress response	P
TRINITY_DN3531_c0_g2_i4	GO:0000045	stress response	P
TRINITY_DN25200_c1_g1_i1	GO:0000045	stress response	P
TRINITY_DN6316_c0_g1_i1	GO:0000045	stress response	P
TRINITY_DN2044_c0_g1_i1	GO:0000045	stress response	P
TRINITY_DN227_c0_g1_i1	GO:0000045	stress response	P
TRINITY_DN227_c0_g1_i2	GO:0000045	stress response	P
TRINITY_DN545_c0_g1_i2	GO:0000045	stress response	P
TRINITY_DN1413_c0_g1_i6	GO:0000045	stress response	P
TRINITY_DN1413_c0_g1_i7	GO:0000045	stress response	P
TRINITY_DN2271_c0_g1_i1	GO:0000077	stress response	P
TRINITY_DN19883_c0_g1_i2	GO:0000077	stress response	P
TRINITY_DN5867_c0_g1_i1	GO:0000077	stress response	P
TRINITY_DN1284_c0_g1_i1	GO:0000077	stress response	P
TRINITY_DN4951_c0_g1_i2	GO:0000077	stress response	P
TRINITY_DN4951_c0_g1_i5	GO:0000077	stress response	P
TRINITY_DN25325_c1_g1_i1	GO:0000077	stress response	P
TRINITY_DN957_c0_g2_i1	GO:0000077	stress response	P
TRINITY_DN957_c0_g2_i2	GO:0000077	stress response	P
TRINITY_DN957_c0_g2_i3	GO:0000077	stress response	P
TRINITY_DN5672_c0_g1_i1	GO:0000077	stress response	P
TRINITY_DN5672_c0_g1_i2	GO:0000077	stress response	P
TRINITY_DN5672_c0_g1_i5	GO:0000077	stress response	P
TRINITY_DN5672_c0_g1_i8	GO:0000077	stress response	P
TRINITY_DN5672_c0_g1_i9	GO:0000077	stress response	P
TRINITY_DN12979_c0_g1_i1	GO:0000077	stress response	P
TRINITY_DN26005_c0_g1_i1	GO:0000077	stress response	P
TRINITY_DN11_c0_g1_i2	GO:0000077	stress response	P
TRINITY_DN808_c3_g1_i2	GO:0000077	stress response	P
TRINITY_DN808_c3_g1_i4	GO:0000077	stress response	P
TRINITY_DN19883_c0_g1_i1	GO:0000077	stress response	P
TRINITY_DN11224_c0_g2_i1	GO:0000077	stress response	P
TRINITY_DN3977_c0_g2_i1	GO:0000077	stress response	P
TRINITY_DN5426_c0_g1_i2	GO:0000077	stress response	P
TRINITY_DN3977_c0_g2_i2	GO:0000077	stress response	P
TRINITY_DN3977_c0_g2_i3	GO:0000077	stress response	P
TRINITY_DN957_c0_g2_i5	GO:0000077	stress response	P
TRINITY_DN957_c0_g2_i6	GO:0000077	stress response	P
TRINITY_DN28168_c0_g1_i1	GO:0000077	stress response	P
TRINITY_DN5426_c0_g1_i1	GO:0000077	stress response	P
TRINITY_DN6948_c0_g2_i1	GO:0000077	stress response	P
TRINITY_DN7532_c0_g1_i2	GO:0000077	stress response	P
TRINITY_DN7532_c0_g2_i1	GO:0000077	stress response	P
TRINITY_DN7532_c0_g1_i1	GO:0000077	stress response	P
TRINITY_DN7532_c0_g2_i3	GO:0000077	stress response	P
TRINITY_DN28978_c0_g1_i1	GO:0000077	stress response	P
TRINITY_DN14203_c0_g1_i1	GO:0000302	stress response	P
TRINITY_DN420_c0_g1_i2	GO:0000302	stress response	P
TRINITY_DN7558_c0_g1_i4	GO:0000302	stress response	P
TRINITY_DN17612_c0_g1_i1	GO:0000302	stress response	P
TRINITY_DN524_c0_g1_i1	GO:0000302	stress response	P
TRINITY_DN7558_c0_g1_i1	GO:0000302	stress response	P
TRINITY_DN7558_c0_g1_i2	GO:0000302	stress response	P
TRINITY_DN28467_c0_g1_i1	GO:0000302	stress response	P
TRINITY_DN9787_c0_g1_i1	GO:0000302	stress response	P
TRINITY_DN9787_c0_g1_i2	GO:0000302	stress response	P
TRINITY_DN9787_c0_g2_i1	GO:0000302	stress response	P
TRINITY_DN12681_c0_g1_i1	GO:0000302	stress response	P
TRINITY_DN17612_c0_g1_i1	GO:0000303	stress response	P
TRINITY_DN524_c0_g1_i1	GO:0000303	stress response	P
TRINITY_DN6033_c0_g1_i1	GO:0000303	stress response	P
TRINITY_DN6033_c0_g1_i2	GO:0000303	stress response	P
TRINITY_DN6033_c0_g2_i1	GO:0000303	stress response	P
TRINITY_DN1258_c0_g1_i1	GO:0000303	stress response	P
TRINITY_DN6983_c0_g1_i6	GO:0000303	stress response	P
TRINITY_DN4026_c0_g1_i2	GO:0000305	stress response	P
TRINITY_DN4026_c0_g1_i6	GO:0000305	stress response	P
TRINITY_DN5352_c0_g1_i1	GO:0000305	stress response	P
TRINITY_DN6187_c0_g1_i3	GO:0000423	stress response	P
TRINITY_DN6187_c0_g1_i4	GO:0000423	stress response	P
TRINITY_DN12530_c0_g1_i1	GO:0000423	stress response	P
TRINITY_DN12530_c0_g1_i3	GO:0000423	stress response	P
TRINITY_DN15574_c0_g1_i1	GO:0000423	stress response	P
TRINITY_DN26682_c0_g1_i1	GO:0000423	stress response	P
TRINITY_DN22174_c0_g1_i1	GO:0000423	stress response	P
TRINITY_DN17235_c0_g1_i1	GO:0000707	stress response	P
TRINITY_DN16237_c0_g1_i1	GO:0000707	stress response	P
TRINITY_DN4983_c0_g1_i1	GO:0000707	stress response	P
TRINITY_DN16122_c0_g1_i1	GO:0000707	stress response	P
TRINITY_DN5377_c0_g1_i2	GO:0000710	stress response	P
TRINITY_DN5377_c0_g1_i1	GO:0000710	stress response	P
TRINITY_DN24479_c0_g1_i1	GO:0000710	stress response	P
TRINITY_DN4413_c0_g1_i1	GO:0000710	stress response	P
TRINITY_DN6342_c0_g1_i3	GO:0000710	stress response	P
TRINITY_DN1150_c0_g1_i1	GO:0000711	stress response	P
TRINITY_DN3966_c0_g1_i1	GO:0000715	stress response	P
TRINITY_DN1080_c0_g3_i1	GO:0000715	stress response	P
TRINITY_DN26760_c0_g1_i1	GO:0000715	stress response	P
TRINITY_DN121_c0_g1_i1	GO:0000715	stress response	P
TRINITY_DN121_c0_g1_i2	GO:0000715	stress response	P
TRINITY_DN3966_c1_g1_i2	GO:0000715	stress response	P
TRINITY_DN22258_c0_g1_i1	GO:0000715	stress response	P
TRINITY_DN3935_c0_g1_i1	GO:0000715	stress response	P
TRINITY_DN121_c0_g1_i1	GO:0000717	stress response	P
TRINITY_DN121_c0_g1_i2	GO:0000717	stress response	P
TRINITY_DN2042_c0_g1_i1	GO:0000717	stress response	P
TRINITY_DN2042_c0_g1_i2	GO:0000717	stress response	P
TRINITY_DN2042_c0_g1_i3	GO:0000717	stress response	P
TRINITY_DN22437_c0_g1_i1	GO:0000717	stress response	P
TRINITY_DN22437_c0_g1_i2	GO:0000717	stress response	P
TRINITY_DN13927_c0_g1_i1	GO:0000718	stress response	P
TRINITY_DN6017_c0_g1_i1	GO:0000719	stress response	P
TRINITY_DN5377_c0_g1_i2	GO:0000720	stress response	P
TRINITY_DN5377_c0_g1_i1	GO:0000720	stress response	P
TRINITY_DN841_c1_g1_i1	GO:0000720	stress response	P
TRINITY_DN16470_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN16470_c0_g2_i1	GO:0000724	stress response	P
TRINITY_DN7092_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN16773_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN9539_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN15362_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN26272_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN19835_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN8109_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN25735_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN7264_c0_g1_i6	GO:0000724	stress response	P
TRINITY_DN7264_c1_g1_i2	GO:0000724	stress response	P
TRINITY_DN2081_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN10557_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN10557_c0_g1_i2	GO:0000724	stress response	P
TRINITY_DN362_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN362_c0_g1_i2	GO:0000724	stress response	P
TRINITY_DN5662_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN17235_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN16237_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN19883_c0_g1_i2	GO:0000724	stress response	P
TRINITY_DN2514_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN2514_c0_g1_i2	GO:0000724	stress response	P
TRINITY_DN2514_c0_g2_i1	GO:0000724	stress response	P
TRINITY_DN1502_c0_g2_i1	GO:0000724	stress response	P
TRINITY_DN1519_c0_g2_i1	GO:0000724	stress response	P
TRINITY_DN20_c0_g1_i11	GO:0000724	stress response	P
TRINITY_DN20_c0_g1_i6	GO:0000724	stress response	P
TRINITY_DN5373_c0_g1_i2	GO:0000724	stress response	P
TRINITY_DN5373_c0_g2_i1	GO:0000724	stress response	P
TRINITY_DN9063_c0_g1_i6	GO:0000724	stress response	P
TRINITY_DN19153_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN3615_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN4461_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN26947_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN12908_c0_g2_i1	GO:0000724	stress response	P
TRINITY_DN17910_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN4398_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN5662_c0_g1_i2	GO:0000724	stress response	P
TRINITY_DN16881_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN1693_c0_g1_i2	GO:0000724	stress response	P
TRINITY_DN3837_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN3837_c0_g2_i1	GO:0000724	stress response	P
TRINITY_DN1201_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN1201_c0_g1_i2	GO:0000724	stress response	P
TRINITY_DN4666_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN844_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN24017_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN3854_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN23915_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN28126_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN12371_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN9949_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN9063_c0_g1_i3	GO:0000724	stress response	P
TRINITY_DN19883_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN4673_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN7264_c1_g1_i1	GO:0000724	stress response	P
TRINITY_DN26304_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN7264_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN7264_c0_g1_i2	GO:0000724	stress response	P
TRINITY_DN7264_c0_g1_i4	GO:0000724	stress response	P
TRINITY_DN7264_c0_g1_i5	GO:0000724	stress response	P
TRINITY_DN16157_c0_g1_i2	GO:0000724	stress response	P
TRINITY_DN6676_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN6676_c0_g2_i1	GO:0000724	stress response	P
TRINITY_DN3156_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN4244_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN4983_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN5273_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN5273_c0_g1_i2	GO:0000724	stress response	P
TRINITY_DN3703_c0_g1_i2	GO:0000724	stress response	P
TRINITY_DN16122_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN20_c0_g1_i5	GO:0000724	stress response	P
TRINITY_DN14285_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN4642_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN5273_c0_g1_i3	GO:0000724	stress response	P
TRINITY_DN5273_c0_g1_i3	GO:0000724	stress response	P
TRINITY_DN791_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN2793_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN2793_c0_g1_i3	GO:0000724	stress response	P
TRINITY_DN19129_c0_g1_i2	GO:0000724	stress response	P
TRINITY_DN4715_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN7197_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN7197_c0_g2_i1	GO:0000724	stress response	P
TRINITY_DN3615_c0_g1_i2	GO:0000724	stress response	P
TRINITY_DN10249_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN22277_c0_g1_i1	GO:0000724	stress response	P
TRINITY_DN4609_c0_g1_i1	GO:0000727	stress response	P
TRINITY_DN24547_c0_g1_i1	GO:0000727	stress response	P
TRINITY_DN481_c0_g1_i1	GO:0000727	stress response	P
TRINITY_DN6658_c0_g1_i1	GO:0000727	stress response	P
TRINITY_DN6658_c0_g2_i1	GO:0000727	stress response	P
TRINITY_DN25060_c0_g1_i1	GO:0000727	stress response	P
TRINITY_DN2851_c0_g1_i1	GO:0000727	stress response	P
TRINITY_DN2851_c0_g1_i2	GO:0000727	stress response	P
TRINITY_DN9692_c0_g1_i1	GO:0000727	stress response	P
TRINITY_DN18473_c1_g1_i7	GO:0000727	stress response	P
TRINITY_DN21563_c0_g1_i1	GO:0000729	stress response	P
TRINITY_DN19153_c0_g1_i1	GO:0000729	stress response	P
TRINITY_DN17910_c0_g1_i1	GO:0000729	stress response	P
TRINITY_DN4398_c0_g1_i1	GO:0000729	stress response	P
TRINITY_DN5835_c0_g1_i1	GO:0000729	stress response	P
TRINITY_DN4244_c0_g1_i1	GO:0000729	stress response	P
TRINITY_DN4642_c0_g1_i1	GO:0000729	stress response	P
TRINITY_DN13013_c0_g1_i1	GO:0000730	stress response	P
TRINITY_DN26947_c0_g1_i1	GO:0000730	stress response	P
TRINITY_DN11942_c0_g1_i1	GO:0000730	stress response	P
TRINITY_DN5662_c0_g1_i1	GO:0000731	stress response	P
TRINITY_DN17235_c0_g1_i1	GO:0000731	stress response	P
TRINITY_DN1977_c0_g1_i1	GO:0000731	stress response	P
TRINITY_DN9063_c0_g1_i6	GO:0000731	stress response	P
TRINITY_DN19153_c0_g1_i1	GO:0000731	stress response	P
TRINITY_DN10555_c0_g2_i1	GO:0000731	stress response	P
TRINITY_DN16574_c0_g1_i1	GO:0000731	stress response	P
TRINITY_DN5662_c0_g1_i2	GO:0000731	stress response	P
TRINITY_DN8423_c0_g3_i1	GO:0000731	stress response	P
TRINITY_DN841_c1_g1_i1	GO:0000731	stress response	P
TRINITY_DN7325_c0_g1_i1	GO:0000731	stress response	P
TRINITY_DN3234_c0_g1_i6	GO:0000731	stress response	P
TRINITY_DN7197_c0_g1_i1	GO:0000731	stress response	P
TRINITY_DN7197_c0_g2_i1	GO:0000731	stress response	P
TRINITY_DN10555_c0_g3_i1	GO:0000731	stress response	P
TRINITY_DN3576_c0_g1_i1	GO:0000731	stress response	P
TRINITY_DN3576_c0_g1_i3	GO:0000731	stress response	P
TRINITY_DN7834_c0_g2_i1	GO:0000731	stress response	P
TRINITY_DN2514_c0_g1_i1	GO:0000733	stress response	P
TRINITY_DN2514_c0_g1_i2	GO:0000733	stress response	P
TRINITY_DN2514_c0_g2_i1	GO:0000733	stress response	P
TRINITY_DN20_c0_g1_i11	GO:0000733	stress response	P
TRINITY_DN20_c0_g1_i6	GO:0000733	stress response	P
TRINITY_DN7197_c0_g1_i1	GO:0000733	stress response	P
TRINITY_DN7197_c0_g2_i1	GO:0000733	stress response	P
TRINITY_DN23359_c0_g1_i1	GO:0000734	stress response	P
TRINITY_DN17612_c0_g1_i1	GO:0001306	stress response	P
TRINITY_DN524_c0_g1_i1	GO:0001306	stress response	P
TRINITY_DN29125_c0_g1_i1	GO:0001306	stress response	P
TRINITY_DN17612_c0_g1_i2	GO:0001315	stress response	P
TRINITY_DN17612_c0_g1_i1	GO:0001315	stress response	P
TRINITY_DN524_c0_g1_i1	GO:0001315	stress response	P
TRINITY_DN2632_c0_g1_i5	GO:0001662	stress response	P
TRINITY_DN2632_c0_g1_i7	GO:0001662	stress response	P
TRINITY_DN7263_c1_g1_i3	GO:0001662	stress response	P
TRINITY_DN10809_c0_g1_i1	GO:0001662	stress response	P
TRINITY_DN10809_c0_g1_i2	GO:0001662	stress response	P
TRINITY_DN2632_c0_g1_i6	GO:0001662	stress response	P
TRINITY_DN2632_c0_g1_i8	GO:0001662	stress response	P
TRINITY_DN583_c6_g1_i1	GO:0001662	stress response	P
TRINITY_DN3058_c0_g1_i1	GO:0001662	stress response	P
TRINITY_DN3058_c0_g1_i2	GO:0001662	stress response	P
TRINITY_DN5783_c0_g1_i2	GO:0001662	stress response	P
TRINITY_DN5783_c0_g2_i1	GO:0001662	stress response	P
TRINITY_DN338_c1_g1_i1	GO:0001666	stress response	P
TRINITY_DN489_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN15054_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN25102_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN28014_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN15612_c0_g1_i2	GO:0001666	stress response	P
TRINITY_DN293_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN293_c0_g1_i2	GO:0001666	stress response	P
TRINITY_DN26323_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN26960_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN17612_c0_g1_i2	GO:0001666	stress response	P
TRINITY_DN17612_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN524_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN8336_c0_g2_i1	GO:0001666	stress response	P
TRINITY_DN8336_c0_g2_i2	GO:0001666	stress response	P
TRINITY_DN6562_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN28958_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN515_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN515_c0_g1_i2	GO:0001666	stress response	P
TRINITY_DN515_c0_g1_i3	GO:0001666	stress response	P
TRINITY_DN515_c0_g1_i4	GO:0001666	stress response	P
TRINITY_DN515_c0_g1_i5	GO:0001666	stress response	P
TRINITY_DN515_c0_g1_i6	GO:0001666	stress response	P
TRINITY_DN515_c0_g1_i7	GO:0001666	stress response	P
TRINITY_DN515_c0_g1_i8	GO:0001666	stress response	P
TRINITY_DN18795_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN1502_c0_g2_i1	GO:0001666	stress response	P
TRINITY_DN10181_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN11787_c0_g1_i3	GO:0001666	stress response	P
TRINITY_DN11787_c0_g1_i4	GO:0001666	stress response	P
TRINITY_DN11787_c0_g1_i7	GO:0001666	stress response	P
TRINITY_DN3392_c1_g2_i1	GO:0001666	stress response	P
TRINITY_DN3392_c1_g2_i2	GO:0001666	stress response	P
TRINITY_DN3392_c1_g4_i1	GO:0001666	stress response	P
TRINITY_DN3392_c1_g5_i2	GO:0001666	stress response	P
TRINITY_DN3392_c1_g5_i4	GO:0001666	stress response	P
TRINITY_DN6093_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN6093_c0_g1_i2	GO:0001666	stress response	P
TRINITY_DN9497_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN9497_c0_g1_i2	GO:0001666	stress response	P
TRINITY_DN9497_c0_g2_i1	GO:0001666	stress response	P
TRINITY_DN15563_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN19827_c0_g1_i2	GO:0001666	stress response	P
TRINITY_DN24251_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN4388_c0_g1_i3	GO:0001666	stress response	P
TRINITY_DN4388_c0_g1_i4	GO:0001666	stress response	P
TRINITY_DN5874_c0_g2_i1	GO:0001666	stress response	P
TRINITY_DN13790_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN1190_c0_g1_i3	GO:0001666	stress response	P
TRINITY_DN367_c0_g1_i2	GO:0001666	stress response	P
TRINITY_DN367_c0_g1_i3	GO:0001666	stress response	P
TRINITY_DN367_c0_g1_i6	GO:0001666	stress response	P
TRINITY_DN29301_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN9597_c0_g3_i1	GO:0001666	stress response	P
TRINITY_DN1848_c0_g1_i4	GO:0001666	stress response	P
TRINITY_DN11930_c0_g1_i2	GO:0001666	stress response	P
TRINITY_DN4758_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN367_c1_g1_i1	GO:0001666	stress response	P
TRINITY_DN9989_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN25014_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN11787_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN11787_c0_g1_i6	GO:0001666	stress response	P
TRINITY_DN11787_c0_g1_i9	GO:0001666	stress response	P
TRINITY_DN3392_c1_g1_i1	GO:0001666	stress response	P
TRINITY_DN3392_c1_g5_i3	GO:0001666	stress response	P
TRINITY_DN6556_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN9251_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN9251_c0_g1_i2	GO:0001666	stress response	P
TRINITY_DN4004_c1_g1_i1	GO:0001666	stress response	P
TRINITY_DN4004_c1_g1_i13	GO:0001666	stress response	P
TRINITY_DN4004_c1_g1_i14	GO:0001666	stress response	P
TRINITY_DN4004_c1_g1_i5	GO:0001666	stress response	P
TRINITY_DN4004_c1_g1_i7	GO:0001666	stress response	P
TRINITY_DN4004_c1_g1_i8	GO:0001666	stress response	P
TRINITY_DN40_c0_g1_i3	GO:0001666	stress response	P
TRINITY_DN7617_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN7945_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN9963_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN29011_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN639_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN639_c0_g1_i6	GO:0001666	stress response	P
TRINITY_DN273_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN273_c0_g1_i2	GO:0001666	stress response	P
TRINITY_DN273_c0_g1_i5	GO:0001666	stress response	P
TRINITY_DN273_c0_g1_i7	GO:0001666	stress response	P
TRINITY_DN871_c0_g1_i10	GO:0001666	stress response	P
TRINITY_DN871_c0_g1_i2	GO:0001666	stress response	P
TRINITY_DN871_c0_g1_i4	GO:0001666	stress response	P
TRINITY_DN2397_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN28949_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN608_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN608_c0_g1_i2	GO:0001666	stress response	P
TRINITY_DN9695_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN4388_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN28467_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN2492_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN793_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN40_c0_g1_i2	GO:0001666	stress response	P
TRINITY_DN40_c0_g1_i4	GO:0001666	stress response	P
TRINITY_DN40_c0_g1_i5	GO:0001666	stress response	P
TRINITY_DN40_c0_g1_i6	GO:0001666	stress response	P
TRINITY_DN40_c0_g1_i7	GO:0001666	stress response	P
TRINITY_DN1384_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN24662_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN2762_c0_g1_i3	GO:0001666	stress response	P
TRINITY_DN2762_c0_g1_i4	GO:0001666	stress response	P
TRINITY_DN5744_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN1725_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN1725_c0_g1_i2	GO:0001666	stress response	P
TRINITY_DN1725_c0_g1_i4	GO:0001666	stress response	P
TRINITY_DN9787_c0_g1_i1	GO:0001666	stress response	P
TRINITY_DN9787_c0_g1_i2	GO:0001666	stress response	P
