"","qseqid","sseqid","evalue","bitscore","staxids","sscinames","scomnames","sskingdoms"
"684","TRINITY_DN57_c0_g1_i12","gi|356483014|emb|HE608876.1|",7.04e-166,598,"6755","Cancer pagurus","edible crab","Eukaryota"
"685","TRINITY_DN57_c0_g1_i12","gi|356483014|emb|HE608876.1|",3.65e-144,526,"6755","Cancer pagurus","edible crab","Eukaryota"
"686","TRINITY_DN57_c0_g1_i9","gi|356483014|emb|HE608876.1|",0,1359,"6755","Cancer pagurus","edible crab","Eukaryota"
"687","TRINITY_DN57_c0_g1_i9","gi|356483014|emb|HE608876.1|",4.36e-166,598,"6755","Cancer pagurus","edible crab","Eukaryota"
"688","TRINITY_DN57_c0_g1_i11","gi|356483014|emb|HE608876.1|",0,1122,"6755","Cancer pagurus","edible crab","Eukaryota"
"689","TRINITY_DN57_c0_g1_i11","gi|356483014|emb|HE608876.1|",3.77e-179,641,"6755","Cancer pagurus","edible crab","Eukaryota"
"690","TRINITY_DN57_c0_g1_i5","gi|356483014|emb|HE608876.1|",0,1128,"6755","Cancer pagurus","edible crab","Eukaryota"
"691","TRINITY_DN57_c0_g1_i5","gi|356483014|emb|HE608876.1|",4.44e-179,641,"6755","Cancer pagurus","edible crab","Eukaryota"
"692","TRINITY_DN57_c0_g1_i2","gi|356483014|emb|HE608876.1|",0,1954,"6755","Cancer pagurus","edible crab","Eukaryota"
"772","TRINITY_DN77_c0_g3_i4","gi|218158578|gb|FJ485599.1|",0,967,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"773","TRINITY_DN77_c0_g3_i12","gi|218158578|gb|FJ485599.1|",0,967,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"774","TRINITY_DN77_c0_g3_i2","gi|218158578|gb|FJ485599.1|",0,967,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"775","TRINITY_DN77_c0_g3_i10","gi|218158578|gb|FJ485599.1|",0,967,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"776","TRINITY_DN77_c0_g3_i1","gi|218158578|gb|FJ485599.1|",0,967,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"777","TRINITY_DN77_c0_g3_i9","gi|218158578|gb|FJ485599.1|",0,967,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"778","TRINITY_DN77_c0_g3_i14","gi|218158578|gb|FJ485599.1|",0,967,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"779","TRINITY_DN77_c0_g3_i3","gi|218158578|gb|FJ485599.1|",0,967,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"780","TRINITY_DN77_c0_g3_i5","gi|218158578|gb|FJ485599.1|",0,967,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"781","TRINITY_DN77_c0_g3_i13","gi|218158578|gb|FJ485599.1|",0,967,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"782","TRINITY_DN77_c0_g3_i7","gi|218158578|gb|FJ485599.1|",0,967,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"783","TRINITY_DN77_c0_g3_i6","gi|218158578|gb|FJ485599.1|",0,967,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"810","TRINITY_DN68_c1_g1_i1","gi|89078342|gb|DQ388800.1|",1.07e-24,125,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"889","TRINITY_DN29_c3_g1_i1","gi|89078342|gb|DQ388800.1|",4.17e-59,239,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"890","TRINITY_DN29_c3_g1_i2","gi|89078342|gb|DQ388800.1|",6.67e-30,141,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"891","TRINITY_DN29_c2_g2_i3","gi|1238852530|ref|XM_013921161.2|",2.34e-23,123,"6850","Limulus polyphemus","Atlantic horseshoe crab","Eukaryota"
"892","TRINITY_DN29_c2_g2_i1","gi|1238852530|ref|XM_013921161.2|",2.71e-23,123,"6850","Limulus polyphemus","Atlantic horseshoe crab","Eukaryota"
"893","TRINITY_DN29_c0_g1_i7","gi|89078342|gb|DQ388800.1|",3.52e-30,147,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"894","TRINITY_DN29_c0_g1_i10","gi|89078342|gb|DQ388800.1|",3.49e-30,147,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"895","TRINITY_DN29_c0_g1_i8","gi|89078342|gb|DQ388800.1|",3.52e-30,147,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"896","TRINITY_DN29_c8_g1_i1","gi|89078342|gb|DQ388800.1|",1.65e-25,127,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"912","TRINITY_DN8_c1_g5_i1","gi|1122815932|gb|KX785223.1|",2.43e-28,138,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"913","TRINITY_DN8_c1_g5_i1","gi|1122815932|gb|KX785223.1|",6.53e-23,120,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"914","TRINITY_DN8_c1_g1_i1","gi|1122815932|gb|KX785223.1|",9.64e-22,114,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"915","TRINITY_DN8_c1_g1_i3","gi|1122815932|gb|KX785223.1|",4.99e-26,129,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"916","TRINITY_DN8_c1_g1_i3","gi|1122815932|gb|KX785223.1|",3.15e-22,116,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"917","TRINITY_DN8_c1_g1_i2","gi|1122815932|gb|KX785223.1|",3.47e-26,129,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"918","TRINITY_DN8_c1_g1_i2","gi|1122815932|gb|KX785223.1|",2.19e-22,116,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"928","TRINITY_DN70_c1_g1_i1","gi|1236765732|gb|MF686677.1|",6.13e-25,125,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"938","TRINITY_DN97_c0_g1_i2","gi|375173475|gb|JF412650.1|",7.54e-117,434,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"939","TRINITY_DN97_c0_g1_i10","gi|375173475|gb|JF412650.1|",6.86e-103,387,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"940","TRINITY_DN97_c0_g1_i5","gi|375173475|gb|JF412650.1|",8.92e-108,403,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"941","TRINITY_DN97_c0_g1_i8","gi|375173475|gb|JF412650.1|",9.19e-116,430,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"942","TRINITY_DN97_c0_g1_i4","gi|375173475|gb|JF412650.1|",9.21e-116,430,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"943","TRINITY_DN97_c0_g1_i3","gi|375173475|gb|JF412650.1|",9.82e-122,450,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"944","TRINITY_DN97_c0_g1_i9","gi|375173475|gb|JF412650.1|",8.9e-108,403,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"945","TRINITY_DN97_c0_g1_i6","gi|375173475|gb|JF412650.1|",7.54e-117,434,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"946","TRINITY_DN97_c0_g1_i1","gi|375173475|gb|JF412650.1|",1.16e-112,419,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"947","TRINITY_DN97_c0_g1_i7","gi|375173475|gb|JF412650.1|",9.19e-116,430,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"948","TRINITY_DN97_c0_g2_i1","gi|520188168|emb|HF952162.1|",4.47e-51,212,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"1035","TRINITY_DN72_c0_g2_i2","gi|1190102542|gb|KY406170.1|",3.49e-76,298,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"1084","TRINITY_DN98_c28_g1_i1","gi|262401374|gb|FJ774869.1|",5.44e-67,266,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"1117","TRINITY_DN75_c3_g1_i1","gi|954330660|gb|KR818702.1|",0,774,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"1127","TRINITY_DN20638_c0_g1_i1","gi|262401110|gb|FJ774736.1|",6.7e-107,399,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"1128","TRINITY_DN20686_c0_g1_i1","gi|1122815932|gb|KX785223.1|",1.16e-22,118,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"1188","TRINITY_DN3808_c0_g1_i2","gi|338224388|gb|HM217837.1|",7.72e-125,461,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"1189","TRINITY_DN3808_c0_g1_i6","gi|338224388|gb|HM217837.1|",8.74e-125,461,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"1190","TRINITY_DN3808_c0_g1_i4","gi|338224388|gb|HM217837.1|",7.87e-125,461,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"1191","TRINITY_DN3808_c0_g1_i5","gi|338224388|gb|HM217837.1|",9.81e-125,461,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"1192","TRINITY_DN3808_c0_g1_i3","gi|338224388|gb|HM217837.1|",9.67e-125,461,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"1268","TRINITY_DN3898_c2_g1_i1","gi|918463921|gb|KT159167.1|",0,2028,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"1269","TRINITY_DN3898_c2_g1_i2","gi|918463921|gb|KT159167.1|",0,2028,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"1270","TRINITY_DN3898_c2_g1_i5","gi|918463921|gb|KT159167.1|",0,2024,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"1271","TRINITY_DN3898_c2_g1_i3","gi|918463921|gb|KT159167.1|",0,2028,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"1272","TRINITY_DN3898_c2_g2_i1","gi|918463921|gb|KT159167.1|",1.08e-32,152,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"1273","TRINITY_DN3898_c0_g1_i1","gi|262401385|gb|FJ774875.1|",4.9e-103,387,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"1344","TRINITY_DN27965_c0_g1_i1","gi|262401150|gb|FJ774757.1|",3.31e-30,143,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"1399","TRINITY_DN11637_c1_g1_i1","gi|389504781|gb|JN803927.1|",6.16e-36,161,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"1406","TRINITY_DN11626_c0_g1_i10","gi|429510527|gb|JQ711143.1|",0,1018,"6761","Scylla serrata","giant mud crab","Eukaryota"
"1407","TRINITY_DN11626_c0_g1_i3","gi|677283339|gb|KM433864.1|",0,1231,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"1408","TRINITY_DN11626_c0_g1_i7","gi|429510527|gb|JQ711143.1|",0,1018,"6761","Scylla serrata","giant mud crab","Eukaryota"
"1409","TRINITY_DN11626_c0_g1_i5","gi|677283339|gb|KM433864.1|",0,1231,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"1410","TRINITY_DN11626_c0_g1_i11","gi|429510527|gb|JQ711143.1|",0,1018,"6761","Scylla serrata","giant mud crab","Eukaryota"
"1414","TRINITY_DN11631_c0_g1_i4","gi|995974692|gb|KT726934.1|",0,1128,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"1415","TRINITY_DN11631_c0_g1_i4","gi|995974692|gb|KT726934.1|",6.58e-89,342,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"1416","TRINITY_DN11631_c0_g1_i2","gi|995974692|gb|KT726934.1|",0,1128,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"1417","TRINITY_DN11631_c0_g1_i2","gi|995974692|gb|KT726934.1|",3.92e-85,329,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"1418","TRINITY_DN11631_c0_g1_i6","gi|995974692|gb|KT726934.1|",0,1128,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"1419","TRINITY_DN11631_c0_g1_i6","gi|995974692|gb|KT726934.1|",1.3e-69,277,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"1420","TRINITY_DN11631_c0_g1_i5","gi|995974692|gb|KT726934.1|",0,1128,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"1421","TRINITY_DN11631_c0_g1_i5","gi|995974692|gb|KT726934.1|",6.7e-89,342,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"1422","TRINITY_DN11631_c0_g1_i1","gi|995974692|gb|KT726934.1|",0,1128,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"1423","TRINITY_DN11631_c0_g1_i1","gi|995974692|gb|KT726934.1|",2.8e-87,336,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"1613","TRINITY_DN2912_c0_g1_i7","gi|953224061|gb|KP691642.1|",5.34e-38,170,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"1614","TRINITY_DN2912_c0_g1_i2","gi|953224061|gb|KP691642.1|",4.09e-38,170,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"1615","TRINITY_DN2912_c0_g1_i3","gi|953224061|gb|KP691642.1|",6.32e-38,170,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"1691","TRINITY_DN2961_c0_g1_i5","gi|338224420|gb|HM217854.1|",3.82e-77,302,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"1692","TRINITY_DN2961_c0_g1_i6","gi|338224420|gb|HM217854.1|",3.55e-77,302,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"1693","TRINITY_DN2961_c0_g1_i8","gi|338224420|gb|HM217854.1|",7.15e-106,398,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"1694","TRINITY_DN2961_c0_g1_i3","gi|338224420|gb|HM217854.1|",8.57e-106,398,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"1695","TRINITY_DN2961_c0_g1_i11","gi|338224420|gb|HM217854.1|",7.6e-106,398,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"1697","TRINITY_DN2961_c0_g1_i7","gi|338224420|gb|HM217854.1|",8.63e-106,398,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"1698","TRINITY_DN2961_c0_g1_i2","gi|338224420|gb|HM217854.1|",7.58e-106,398,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"1699","TRINITY_DN2961_c1_g1_i1","gi|1122815932|gb|KX785223.1|",1.16e-32,152,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"1700","TRINITY_DN2961_c1_g1_i1","gi|1122815932|gb|KX785223.1|",2.1e-29,141,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"1701","TRINITY_DN2961_c1_g1_i1","gi|1122815932|gb|KX785223.1|",8.92e-28,136,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"1702","TRINITY_DN2961_c1_g1_i1","gi|1122815932|gb|KX785223.1|",1.09e-26,132,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"1703","TRINITY_DN2961_c1_g1_i2","gi|1122815932|gb|KX785223.1|",1.16e-32,152,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"1704","TRINITY_DN2961_c1_g1_i2","gi|1122815932|gb|KX785223.1|",2.1e-29,141,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"1705","TRINITY_DN2961_c1_g1_i2","gi|1122815932|gb|KX785223.1|",8.92e-28,136,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"1706","TRINITY_DN2961_c1_g1_i2","gi|1122815932|gb|KX785223.1|",1.09e-26,132,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"1740","TRINITY_DN2921_c0_g1_i1","gi|262306370|gb|GQ888205.1|",4.89e-135,493,"6807","Libinia emarginata","portly spider crab","Eukaryota"
"1741","TRINITY_DN2921_c0_g1_i5","gi|262306370|gb|GQ888205.1|",6.08e-135,493,"6807","Libinia emarginata","portly spider crab","Eukaryota"
"1742","TRINITY_DN2921_c0_g1_i4","gi|262306370|gb|GQ888205.1|",5.81e-135,493,"6807","Libinia emarginata","portly spider crab","Eukaryota"
"1743","TRINITY_DN2921_c0_g1_i3","gi|262306370|gb|GQ888205.1|",5.88e-135,493,"6807","Libinia emarginata","portly spider crab","Eukaryota"
"1753","TRINITY_DN53146_c0_g1_i1","gi|408474812|gb|JX470437.1|",5.74e-62,248,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"1762","TRINITY_DN18953_c0_g2_i1","gi|1066131|gb|L49023.1|HINMSATA",6.68e-24,122,"41210","Chionoecetes opilio","snow crab","Eukaryota"
"1779","TRINITY_DN18983_c0_g1_i1","gi|806461953|gb|KJ923433.1|",0,3036,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"1783","TRINITY_DN18929_c0_g1_i4","gi|1411041933|dbj|AB289546.1|",2.11e-79,306,"41210","Chionoecetes opilio","snow crab","Eukaryota"
"1787","TRINITY_DN18951_c0_g1_i1","gi|75876165|gb|DQ155411.1|",1.67e-23,123,"135190","Pachygrapsus marmoratus","marbled crab","Eukaryota"
"1788","TRINITY_DN18951_c0_g1_i3","gi|75876165|gb|DQ155411.1|",4.68e-24,125,"135190","Pachygrapsus marmoratus","marbled crab","Eukaryota"
"1906","TRINITY_DN9657_c0_g1_i2","gi|89078342|gb|DQ388800.1|",6.77e-25,127,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"1908","TRINITY_DN9654_c0_g1_i1","gi|1236765732|gb|MF686677.1|",1.76e-24,123,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"1909","TRINITY_DN9654_c0_g2_i7","gi|1236765732|gb|MF686677.1|",4.17e-26,132,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"1910","TRINITY_DN9654_c0_g2_i4","gi|1236765732|gb|MF686677.1|",1.88e-26,132,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"1913","TRINITY_DN9642_c1_g2_i1","gi|310693844|gb|GU568243.1|",1.67e-22,118,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"1972","TRINITY_DN10896_c0_g2_i2","gi|1236765708|gb|MF686653.1|",1.24e-23,125,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"1973","TRINITY_DN10896_c0_g2_i1","gi|1236765708|gb|MF686653.1|",1.31e-23,125,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"1984","TRINITY_DN10808_c0_g1_i1","gi|1338037667|gb|MF973063.1|",8.8e-37,165,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"1996","TRINITY_DN10897_c0_g1_i1","gi|300518914|gb|HM157288.1|",3.45e-21,114,"39395","Cancer borealis","Jonah crab","Eukaryota"
"1997","TRINITY_DN10897_c0_g1_i4","gi|300518914|gb|HM157288.1|",3.45e-21,114,"39395","Cancer borealis","Jonah crab","Eukaryota"
"1998","TRINITY_DN10897_c0_g1_i2","gi|300518914|gb|HM157288.1|",2.42e-40,178,"39395","Cancer borealis","Jonah crab","Eukaryota"
"2011","TRINITY_DN52433_c0_g1_i1","gi|906542615|gb|KJ728649.1|",4.79e-99,372,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"2014","TRINITY_DN52438_c0_g1_i1","gi|1059521052|gb|KU710382.1|",0,1306,"39395","Cancer borealis","Jonah crab","Eukaryota"
"2049","TRINITY_DN8752_c1_g2_i3","gi|50513240|gb|AY639154.1|",0,2174,"6769","Gecarcinus lateralis","blackback land crab","Eukaryota"
"2050","TRINITY_DN8752_c1_g2_i2","gi|50513240|gb|AY639154.1|",0,2075,"6769","Gecarcinus lateralis","blackback land crab","Eukaryota"
"2057","TRINITY_DN8702_c0_g1_i1","gi|262401158|gb|FJ774761.1|",2.01e-53,221,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"2099","TRINITY_DN8708_c0_g1_i1","gi|389504781|gb|JN803927.1|",6.16e-33,152,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"2102","TRINITY_DN8708_c0_g1_i3","gi|389504781|gb|JN803927.1|",1.4e-35,161,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"2103","TRINITY_DN8708_c0_g1_i7","gi|389504781|gb|JN803927.1|",8.58e-36,161,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"2104","TRINITY_DN8708_c0_g1_i8","gi|193075697|gb|EU794032.1|",3.07e-30,143,"210409","Portunus trituberculatus","swimming crab","Eukaryota"
"2118","TRINITY_DN2001_c0_g1_i1","gi|576250928|gb|KC711047.1|",0,1519,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"2121","TRINITY_DN2022_c0_g3_i6","gi|338224508|gb|HM217906.1|",8.3e-29,140,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"2142","TRINITY_DN2012_c2_g1_i1","gi|219937541|emb|AM231066.1|",9.09e-34,154,"135190","Pachygrapsus marmoratus","marbled crab","Eukaryota"
"2143","TRINITY_DN2012_c0_g2_i2","gi|219937541|emb|AM231066.1|",2.92e-50,212,"135190","Pachygrapsus marmoratus","marbled crab","Eukaryota"
"2176","TRINITY_DN2040_c0_g1_i3","gi|957760960|gb|KR078382.1|",1.17e-44,192,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"2177","TRINITY_DN2040_c0_g1_i1","gi|957760960|gb|KR078382.1|",1.16e-44,192,"85552","Scylla paramamosain","green mud crab","Eukaryota"
"2260","TRINITY_DN43334_c0_g1_i1","gi|1122815932|gb|KX785223.1|",8.78e-55,226,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"17987","TRINITY_DN17047_c0_g1_i2","gi|219937541|emb|AM231066.1|",5.68e-43,185,"135190","Pachygrapsus marmoratus","marbled crab","Eukaryota"
"17988","TRINITY_DN17047_c0_g1_i1","gi|219937541|emb|AM231066.1|",4.48e-45,192,"135190","Pachygrapsus marmoratus","marbled crab","Eukaryota"
"18017","TRINITY_DN468_c5_g1_i1","gi|89078342|gb|DQ388800.1|",4.57e-31,145,"95602","Eriocheir sinensis","Chinese mitten crab","Eukaryota"
"18021","TRINITY_DN468_c0_g2_i1","gi|341870819|gb|JF736621.1|",1.59e-93,356,"6763","Callinectes sapidus","blue crab","Eukaryota"
