V1	V2
108	TRINITY_DN1011_c0_g2_i6	stress response
109	TRINITY_DN10120_c0_g2_i2	stress response
110	TRINITY_DN10120_c0_g2_i3	stress response
111	TRINITY_DN10120_c3_g1_i1	stress response
112	TRINITY_DN10128_c0_g1_i7	stress response
113	TRINITY_DN10130_c0_g2_i10	stress response
114	TRINITY_DN10130_c0_g2_i6	stress response
115	TRINITY_DN10132_c0_g1_i12	stress response
116	TRINITY_DN10134_c2_g2_i1	stress response
117	TRINITY_DN10134_c2_g2_i1	stress response
118	TRINITY_DN10134_c2_g2_i1	stress response
119	TRINITY_DN10134_c2_g2_i1	stress response
120	TRINITY_DN10134_c2_g2_i1	stress response
121	TRINITY_DN10139_c0_g2_i2	stress response
122	TRINITY_DN10142_c0_g1_i7	stress response
123	TRINITY_DN10149_c0_g1_i3	stress response
124	TRINITY_DN10149_c0_g1_i3	stress response
125	TRINITY_DN10149_c0_g1_i3	stress response
126	TRINITY_DN10163_c0_g2_i1	stress response
127	TRINITY_DN10172_c0_g1_i2	stress response
128	TRINITY_DN10173_c1_g4_i1	stress response
129	TRINITY_DN10177_c0_g1_i1	stress response
130	TRINITY_DN10192_c0_g2_i1	stress response
131	TRINITY_DN10192_c0_g2_i1	stress response
132	TRINITY_DN10192_c0_g2_i1	stress response
133	TRINITY_DN10192_c0_g2_i1	stress response
134	TRINITY_DN10192_c0_g2_i4	stress response
135	TRINITY_DN10192_c0_g2_i4	stress response
136	TRINITY_DN10192_c0_g2_i4	stress response
137	TRINITY_DN10192_c0_g2_i4	stress response
138	TRINITY_DN10193_c1_g1_i1	stress response
139	TRINITY_DN10193_c1_g1_i1	stress response
140	TRINITY_DN10196_c0_g1_i1	stress response
141	TRINITY_DN10196_c0_g1_i1	stress response
142	TRINITY_DN10203_c2_g1_i1	stress response
143	TRINITY_DN10203_c2_g1_i1	stress response
144	TRINITY_DN10204_c0_g2_i1	stress response
145	TRINITY_DN10206_c0_g1_i2	stress response
146	TRINITY_DN10206_c0_g1_i2	stress response
147	TRINITY_DN10206_c0_g1_i2	stress response
148	TRINITY_DN10206_c0_g1_i2	stress response
149	TRINITY_DN10206_c0_g1_i4	stress response
150	TRINITY_DN10206_c0_g1_i4	stress response
151	TRINITY_DN10206_c0_g1_i4	stress response
152	TRINITY_DN10206_c0_g1_i4	stress response
153	TRINITY_DN10206_c0_g1_i5	stress response
154	TRINITY_DN10206_c0_g1_i5	stress response
155	TRINITY_DN10206_c0_g1_i5	stress response
156	TRINITY_DN10206_c0_g1_i5	stress response
157	TRINITY_DN10214_c0_g1_i3	stress response
158	TRINITY_DN1021_c0_g1_i19	stress response
159	TRINITY_DN10231_c0_g1_i2	stress response
160	TRINITY_DN10231_c0_g1_i4	stress response
161	TRINITY_DN10231_c1_g2_i1	stress response
162	TRINITY_DN10231_c1_g2_i1	stress response
163	TRINITY_DN10231_c1_g4_i1	stress response
164	TRINITY_DN1023_c0_g1_i1	stress response
165	TRINITY_DN1023_c0_g1_i1	stress response
166	TRINITY_DN1023_c0_g1_i15	stress response
167	TRINITY_DN1023_c0_g1_i15	stress response
168	TRINITY_DN1023_c0_g1_i18	stress response
169	TRINITY_DN1023_c0_g1_i18	stress response
170	TRINITY_DN1023_c0_g1_i2	stress response
171	TRINITY_DN1023_c0_g1_i2	stress response
172	TRINITY_DN1023_c0_g1_i20	stress response
173	TRINITY_DN1023_c0_g1_i20	stress response
174	TRINITY_DN1023_c0_g1_i23	stress response
175	TRINITY_DN1023_c0_g1_i23	stress response
176	TRINITY_DN1023_c0_g1_i3	stress response
177	TRINITY_DN1023_c0_g1_i3	stress response
178	TRINITY_DN1023_c0_g1_i4	stress response
179	TRINITY_DN1023_c0_g1_i4	stress response
180	TRINITY_DN1023_c0_g1_i5	stress response
181	TRINITY_DN1023_c0_g1_i5	stress response
182	TRINITY_DN1023_c0_g1_i7	stress response
183	TRINITY_DN1023_c0_g1_i7	stress response
184	TRINITY_DN1023_c0_g1_i9	stress response
185	TRINITY_DN1023_c0_g1_i9	stress response
186	TRINITY_DN10248_c2_g1_i1	stress response
187	TRINITY_DN10248_c2_g1_i4	stress response
188	TRINITY_DN10248_c2_g1_i5	stress response
189	TRINITY_DN10253_c0_g1_i1	stress response
190	TRINITY_DN10257_c0_g1_i2	stress response
191	TRINITY_DN10257_c0_g1_i2	stress response
192	TRINITY_DN10259_c0_g1_i1	stress response
193	TRINITY_DN10262_c0_g1_i1	stress response
194	TRINITY_DN10265_c0_g1_i10	stress response
195	TRINITY_DN10265_c0_g1_i11	stress response
196	TRINITY_DN10268_c0_g2_i1	stress response
197	TRINITY_DN10268_c0_g2_i8	stress response
198	TRINITY_DN10269_c0_g1_i3	stress response
199	TRINITY_DN10271_c2_g1_i1	stress response
200	TRINITY_DN10276_c0_g3_i2	stress response
201	TRINITY_DN10276_c0_g3_i2	stress response
202	TRINITY_DN10276_c0_g3_i8	stress response
203	TRINITY_DN10276_c0_g3_i8	stress response
204	TRINITY_DN10278_c0_g2_i1	stress response
205	TRINITY_DN10278_c0_g2_i2	stress response
206	TRINITY_DN10278_c0_g2_i3	stress response
207	TRINITY_DN10281_c0_g1_i1	stress response
208	TRINITY_DN10281_c0_g1_i1	stress response
209	TRINITY_DN10281_c0_g1_i2	stress response
210	TRINITY_DN10281_c0_g1_i2	stress response
211	TRINITY_DN10297_c0_g1_i1	stress response
212	TRINITY_DN1029_c0_g1_i11	stress response
213	TRINITY_DN1029_c0_g1_i13	stress response
214	TRINITY_DN1029_c0_g1_i14	stress response
215	TRINITY_DN1029_c0_g1_i15	stress response
216	TRINITY_DN1029_c0_g1_i3	stress response
217	TRINITY_DN1029_c0_g1_i8	stress response
218	TRINITY_DN1029_c0_g1_i9	stress response
219	TRINITY_DN10302_c0_g2_i2	stress response
220	TRINITY_DN10303_c1_g2_i2	stress response
221	TRINITY_DN10303_c1_g2_i3	stress response
222	TRINITY_DN10312_c1_g1_i3	stress response
223	TRINITY_DN10316_c0_g1_i3	stress response
224	TRINITY_DN10316_c0_g1_i3	stress response
225	TRINITY_DN10316_c0_g1_i3	stress response
226	TRINITY_DN10316_c0_g1_i5	stress response
227	TRINITY_DN10316_c0_g1_i5	stress response
228	TRINITY_DN10316_c0_g1_i5	stress response
229	TRINITY_DN10316_c0_g1_i6	stress response
230	TRINITY_DN10316_c0_g1_i6	stress response
231	TRINITY_DN10316_c0_g1_i6	stress response
232	TRINITY_DN10316_c0_g1_i7	stress response
233	TRINITY_DN10316_c0_g1_i7	stress response
234	TRINITY_DN10316_c0_g1_i7	stress response
235	TRINITY_DN10316_c0_g1_i8	stress response
236	TRINITY_DN10316_c0_g1_i8	stress response
237	TRINITY_DN10316_c0_g1_i8	stress response
238	TRINITY_DN10325_c0_g1_i1	stress response
239	TRINITY_DN10334_c0_g2_i1	stress response
240	TRINITY_DN10350_c0_g1_i3	stress response
241	TRINITY_DN1035_c0_g1_i10	stress response
242	TRINITY_DN1035_c0_g1_i10	stress response
243	TRINITY_DN10363_c0_g1_i1	stress response
244	TRINITY_DN1036_c2_g1_i2	stress response
245	TRINITY_DN1036_c2_g3_i1	stress response
246	TRINITY_DN1036_c2_g3_i2	stress response
247	TRINITY_DN1036_c2_g3_i2	stress response
248	TRINITY_DN10375_c0_g2_i1	stress response
249	TRINITY_DN10375_c0_g2_i2	stress response
250	TRINITY_DN10384_c1_g1_i10	stress response
251	TRINITY_DN10384_c1_g1_i2	stress response
252	TRINITY_DN10384_c1_g1_i8	stress response
253	TRINITY_DN10385_c0_g1_i2	stress response
254	TRINITY_DN103_c0_g1_i6	stress response
255	TRINITY_DN103_c0_g1_i6	stress response
256	TRINITY_DN10400_c0_g1_i5	stress response
257	TRINITY_DN10400_c0_g1_i5	stress response
258	TRINITY_DN1040_c0_g1_i4	stress response
259	TRINITY_DN1040_c0_g1_i4	stress response
260	TRINITY_DN10410_c0_g1_i1	stress response
261	TRINITY_DN10410_c0_g1_i2	stress response
262	TRINITY_DN10417_c0_g3_i1	stress response
263	TRINITY_DN10418_c0_g2_i1	stress response
264	TRINITY_DN10418_c0_g2_i1	stress response
265	TRINITY_DN10425_c0_g2_i1	stress response
266	TRINITY_DN10437_c2_g1_i2	stress response
267	TRINITY_DN10437_c2_g1_i2	stress response
268	TRINITY_DN10437_c2_g1_i2	stress response
269	TRINITY_DN10437_c2_g1_i2	stress response
270	TRINITY_DN10441_c0_g1_i4	stress response
271	TRINITY_DN10441_c0_g1_i4	stress response
272	TRINITY_DN10441_c0_g1_i4	stress response
273	TRINITY_DN10441_c0_g1_i4	stress response
274	TRINITY_DN10441_c0_g1_i4	stress response
275	TRINITY_DN10441_c0_g1_i4	stress response
276	TRINITY_DN10441_c0_g1_i4	stress response
277	TRINITY_DN10441_c0_g1_i4	stress response
278	TRINITY_DN10443_c0_g1_i2	stress response
279	TRINITY_DN10443_c0_g1_i3	stress response
280	TRINITY_DN10452_c2_g1_i1	stress response
281	TRINITY_DN1046_c0_g1_i6	stress response
282	TRINITY_DN1046_c0_g1_i6	stress response
283	TRINITY_DN1046_c4_g1_i1	stress response
284	TRINITY_DN10473_c0_g1_i2	stress response
285	TRINITY_DN10473_c0_g1_i2	stress response
286	TRINITY_DN10477_c0_g1_i3	stress response
287	TRINITY_DN10479_c0_g1_i1	stress response
288	TRINITY_DN10479_c0_g1_i1	stress response
289	TRINITY_DN10484_c0_g1_i3	stress response
290	TRINITY_DN10499_c1_g1_i1	stress response
291	TRINITY_DN10499_c1_g1_i2	stress response
292	TRINITY_DN10506_c0_g1_i1	stress response
293	TRINITY_DN10506_c0_g1_i1	stress response
294	TRINITY_DN10514_c0_g5_i1	stress response
295	TRINITY_DN10518_c0_g2_i1	stress response
296	TRINITY_DN10518_c0_g2_i1	stress response
297	TRINITY_DN1051_c3_g1_i1	stress response
298	TRINITY_DN1051_c3_g1_i1	stress response
299	TRINITY_DN10538_c1_g1_i1	stress response
300	TRINITY_DN10538_c1_g1_i3	stress response
301	TRINITY_DN10544_c0_g2_i1	stress response
302	TRINITY_DN10544_c0_g2_i1	stress response
303	TRINITY_DN10544_c0_g2_i1	stress response
304	TRINITY_DN1054_c0_g1_i4	stress response
305	TRINITY_DN10559_c0_g3_i1	stress response
306	TRINITY_DN10559_c0_g3_i1	stress response
307	TRINITY_DN10565_c0_g2_i1	stress response
308	TRINITY_DN10582_c0_g1_i10	stress response
309	TRINITY_DN10582_c0_g1_i14	stress response
310	TRINITY_DN10589_c0_g1_i1	stress response
311	TRINITY_DN10589_c0_g1_i1	stress response
312	TRINITY_DN10589_c0_g1_i2	stress response
313	TRINITY_DN10589_c0_g1_i2	stress response
314	TRINITY_DN10589_c0_g2_i1	stress response
315	TRINITY_DN10589_c0_g2_i1	stress response
316	TRINITY_DN10591_c0_g1_i1	stress response
317	TRINITY_DN10591_c0_g1_i2	stress response
318	TRINITY_DN10591_c0_g1_i4	stress response
319	TRINITY_DN10591_c0_g1_i5	stress response
320	TRINITY_DN10591_c0_g1_i6	stress response
321	TRINITY_DN10591_c0_g1_i7	stress response
322	TRINITY_DN10596_c0_g1_i1	stress response
323	TRINITY_DN10599_c0_g2_i1	stress response
324	TRINITY_DN10602_c0_g1_i1	stress response
325	TRINITY_DN10602_c0_g1_i1	stress response
326	TRINITY_DN10602_c0_g1_i2	stress response
327	TRINITY_DN10602_c0_g1_i3	stress response
328	TRINITY_DN10602_c2_g1_i1	stress response
329	TRINITY_DN10602_c2_g1_i1	stress response
330	TRINITY_DN10602_c2_g1_i11	stress response
331	TRINITY_DN10602_c2_g1_i11	stress response
332	TRINITY_DN10602_c2_g1_i6	stress response
333	TRINITY_DN10602_c2_g1_i6	stress response
334	TRINITY_DN10602_c2_g1_i7	stress response
335	TRINITY_DN10602_c2_g1_i7	stress response
336	TRINITY_DN10602_c2_g1_i8	stress response
337	TRINITY_DN10602_c2_g1_i8	stress response
338	TRINITY_DN10602_c2_g1_i9	stress response
339	TRINITY_DN10602_c2_g1_i9	stress response
340	TRINITY_DN10605_c2_g1_i1	stress response
341	TRINITY_DN10605_c2_g1_i2	stress response
342	TRINITY_DN10605_c2_g1_i3	stress response
343	TRINITY_DN10605_c2_g1_i4	stress response
344	TRINITY_DN10609_c0_g1_i1	stress response
345	TRINITY_DN10609_c0_g2_i1	stress response
346	TRINITY_DN10636_c0_g1_i3	stress response
347	TRINITY_DN10640_c0_g1_i1	stress response
348	TRINITY_DN10643_c0_g2_i1	stress response
349	TRINITY_DN10643_c0_g2_i1	stress response
350	TRINITY_DN10648_c0_g2_i1	stress response
351	TRINITY_DN1065_c0_g2_i3	stress response
352	TRINITY_DN1065_c0_g2_i3	stress response
353	TRINITY_DN1065_c0_g2_i3	stress response
354	TRINITY_DN10662_c2_g1_i1	stress response
355	TRINITY_DN10665_c0_g4_i1	stress response
356	TRINITY_DN10665_c0_g4_i1	stress response
357	TRINITY_DN10665_c0_g4_i2	stress response
358	TRINITY_DN10665_c0_g4_i2	stress response
359	TRINITY_DN10669_c0_g1_i2	stress response
360	TRINITY_DN10669_c0_g1_i2	stress response
361	TRINITY_DN10676_c1_g1_i1	stress response
362	TRINITY_DN10679_c1_g1_i1	stress response
363	TRINITY_DN10679_c1_g1_i1	stress response
364	TRINITY_DN10679_c1_g1_i3	stress response
365	TRINITY_DN10679_c1_g1_i3	stress response
366	TRINITY_DN10681_c0_g1_i11	stress response
367	TRINITY_DN10686_c1_g1_i1	stress response
368	TRINITY_DN10693_c1_g3_i1	stress response
369	TRINITY_DN10699_c0_g1_i1	stress response
370	TRINITY_DN1069_c2_g1_i1	stress response
371	TRINITY_DN1069_c2_g1_i1	stress response
372	TRINITY_DN1069_c2_g1_i2	stress response
373	TRINITY_DN10704_c0_g1_i1	stress response
374	TRINITY_DN10704_c0_g1_i2	stress response
375	TRINITY_DN10710_c1_g3_i1	stress response
376	TRINITY_DN10713_c1_g1_i2	stress response
377	TRINITY_DN10713_c1_g1_i2	stress response
378	TRINITY_DN10713_c1_g1_i2	stress response
379	TRINITY_DN10713_c1_g1_i2	stress response
380	TRINITY_DN10713_c1_g1_i5	stress response
381	TRINITY_DN10713_c1_g1_i5	stress response
382	TRINITY_DN10713_c1_g1_i5	stress response
383	TRINITY_DN10713_c1_g1_i5	stress response
384	TRINITY_DN10713_c1_g4_i5	stress response
385	TRINITY_DN10722_c0_g1_i4	stress response
386	TRINITY_DN10722_c0_g1_i7	stress response
387	TRINITY_DN10729_c1_g1_i2	stress response
388	TRINITY_DN10729_c1_g1_i2	stress response
389	TRINITY_DN1072_c2_g1_i2	stress response
390	TRINITY_DN10733_c0_g1_i6	stress response
391	TRINITY_DN10741_c0_g1_i4	stress response
392	TRINITY_DN10746_c0_g1_i1	stress response
393	TRINITY_DN10746_c0_g1_i1	stress response
394	TRINITY_DN10751_c0_g1_i1	stress response
395	TRINITY_DN10754_c0_g1_i2	stress response
396	TRINITY_DN1076_c0_g1_i18	stress response
397	TRINITY_DN1076_c0_g1_i18	stress response
398	TRINITY_DN1076_c0_g1_i7	stress response
399	TRINITY_DN1076_c0_g1_i7	stress response
400	TRINITY_DN10776_c0_g1_i1	stress response
401	TRINITY_DN10776_c0_g1_i1	stress response
402	TRINITY_DN10778_c0_g1_i3	stress response
403	TRINITY_DN1077_c0_g1_i1	stress response
404	TRINITY_DN1077_c0_g1_i1	stress response
405	TRINITY_DN1077_c0_g1_i1	stress response
406	TRINITY_DN1077_c0_g1_i1	stress response
407	TRINITY_DN1077_c0_g1_i1	stress response
408	TRINITY_DN1077_c0_g1_i1	stress response
409	TRINITY_DN1077_c0_g1_i1	stress response
410	TRINITY_DN1077_c0_g1_i1	stress response
411	TRINITY_DN10795_c0_g1_i1	stress response
412	TRINITY_DN10795_c0_g1_i1	stress response
413	TRINITY_DN10795_c0_g1_i1	stress response
414	TRINITY_DN10795_c0_g1_i2	stress response
415	TRINITY_DN10795_c0_g1_i2	stress response
416	TRINITY_DN10795_c0_g1_i2	stress response
417	TRINITY_DN10795_c0_g1_i3	stress response
418	TRINITY_DN10795_c0_g1_i3	stress response
419	TRINITY_DN10795_c0_g1_i3	stress response
420	TRINITY_DN10796_c0_g1_i1	stress response
421	TRINITY_DN10796_c0_g1_i1	stress response
422	TRINITY_DN10796_c0_g1_i1	stress response
423	TRINITY_DN10799_c0_g1_i2	stress response
424	TRINITY_DN10799_c0_g1_i2	stress response
425	TRINITY_DN10799_c0_g1_i3	stress response
426	TRINITY_DN10799_c0_g1_i3	stress response
427	TRINITY_DN10807_c2_g1_i3	stress response
428	TRINITY_DN10812_c0_g1_i1	stress response
429	TRINITY_DN10819_c0_g2_i4	stress response
430	TRINITY_DN10819_c0_g2_i4	stress response
431	TRINITY_DN10826_c0_g1_i4	stress response
432	TRINITY_DN10826_c0_g1_i4	stress response
433	TRINITY_DN10826_c0_g1_i5	stress response
434	TRINITY_DN10826_c0_g1_i5	stress response
435	TRINITY_DN1082_c0_g1_i2	stress response
436	TRINITY_DN1082_c0_g1_i2	stress response
437	TRINITY_DN1082_c0_g1_i3	stress response
438	TRINITY_DN1082_c0_g1_i3	stress response
439	TRINITY_DN1082_c0_g1_i4	stress response
440	TRINITY_DN1082_c0_g1_i5	stress response
441	TRINITY_DN1082_c0_g1_i5	stress response
442	TRINITY_DN1082_c0_g2_i1	stress response
443	TRINITY_DN1082_c0_g2_i2	stress response
444	TRINITY_DN10831_c0_g2_i1	stress response
445	TRINITY_DN1083_c0_g2_i1	stress response
446	TRINITY_DN1083_c0_g2_i1	stress response
447	TRINITY_DN10844_c0_g1_i2	stress response
448	TRINITY_DN10844_c0_g1_i3	stress response
449	TRINITY_DN10849_c0_g1_i1	stress response
450	TRINITY_DN1084_c0_g3_i1	stress response
451	TRINITY_DN1084_c0_g3_i2	stress response
452	TRINITY_DN1084_c0_g3_i3	stress response
453	TRINITY_DN1084_c0_g3_i4	stress response
454	TRINITY_DN10857_c0_g1_i3	stress response
455	TRINITY_DN10857_c0_g1_i3	stress response
456	TRINITY_DN10857_c0_g1_i5	stress response
457	TRINITY_DN10857_c0_g1_i5	stress response
458	TRINITY_DN10863_c0_g1_i1	stress response
459	TRINITY_DN1086_c1_g2_i6	stress response
460	TRINITY_DN1086_c1_g3_i1	stress response
461	TRINITY_DN1086_c4_g1_i1	stress response
462	TRINITY_DN10871_c0_g1_i2	stress response
463	TRINITY_DN10871_c0_g1_i2	stress response
464	TRINITY_DN10872_c0_g1_i6	stress response
465	TRINITY_DN10885_c0_g3_i1	stress response
466	TRINITY_DN10885_c0_g3_i1	stress response
467	TRINITY_DN10885_c0_g3_i1	stress response
468	TRINITY_DN10887_c0_g3_i1	stress response
469	TRINITY_DN10887_c0_g3_i1	stress response
470	TRINITY_DN10887_c0_g3_i1	stress response
471	TRINITY_DN10887_c0_g3_i1	stress response
472	TRINITY_DN10887_c0_g3_i1	stress response
473	TRINITY_DN10887_c0_g3_i1	stress response
474	TRINITY_DN10890_c0_g1_i1	stress response
475	TRINITY_DN10890_c0_g1_i1	stress response
476	TRINITY_DN10892_c1_g1_i1	stress response
477	TRINITY_DN10892_c1_g1_i2	stress response
478	TRINITY_DN10896_c0_g1_i1	stress response
479	TRINITY_DN1089_c0_g1_i3	stress response
480	TRINITY_DN1090_c0_g1_i1	stress response
481	TRINITY_DN1090_c0_g1_i2	stress response
482	TRINITY_DN10916_c0_g1_i3	stress response
483	TRINITY_DN10916_c0_g1_i6	stress response
484	TRINITY_DN10924_c2_g1_i1	stress response
485	TRINITY_DN10924_c2_g1_i2	stress response
486	TRINITY_DN10926_c1_g2_i2	stress response
487	TRINITY_DN10948_c0_g1_i4	stress response
488	TRINITY_DN10948_c0_g1_i4	stress response
489	TRINITY_DN10948_c0_g1_i4	stress response
490	TRINITY_DN10948_c0_g1_i4	stress response
491	TRINITY_DN10948_c2_g1_i1	stress response
492	TRINITY_DN10955_c0_g1_i2	stress response
493	TRINITY_DN10955_c0_g1_i4	stress response
494	TRINITY_DN10959_c0_g2_i1	stress response
495	TRINITY_DN10959_c0_g2_i2	stress response
496	TRINITY_DN10959_c0_g2_i3	stress response
497	TRINITY_DN10959_c0_g2_i5	stress response
498	TRINITY_DN10959_c0_g2_i6	stress response
499	TRINITY_DN1095_c0_g1_i8	stress response
500	TRINITY_DN1096_c0_g1_i1	stress response
501	TRINITY_DN1096_c0_g1_i18	stress response
502	TRINITY_DN1096_c0_g1_i19	stress response
503	TRINITY_DN1096_c0_g1_i20	stress response
504	TRINITY_DN1096_c0_g1_i6	stress response
505	TRINITY_DN1096_c0_g1_i7	stress response
506	TRINITY_DN10970_c0_g1_i1	stress response
507	TRINITY_DN10970_c0_g1_i1	stress response
508	TRINITY_DN10970_c0_g1_i3	stress response
509	TRINITY_DN10970_c0_g1_i3	stress response
510	TRINITY_DN10970_c0_g1_i5	stress response
511	TRINITY_DN10970_c0_g1_i5	stress response
512	TRINITY_DN10970_c0_g1_i6	stress response
513	TRINITY_DN10971_c0_g1_i23	stress response
514	TRINITY_DN10971_c0_g1_i23	stress response
515	TRINITY_DN10971_c0_g1_i23	stress response
516	TRINITY_DN10971_c0_g1_i23	stress response
517	TRINITY_DN10974_c0_g2_i1	stress response
518	TRINITY_DN10974_c0_g2_i1	stress response
519	TRINITY_DN10974_c0_g2_i1	stress response
520	TRINITY_DN10974_c0_g2_i1	stress response
521	TRINITY_DN10974_c0_g2_i2	stress response
522	TRINITY_DN10974_c0_g2_i2	stress response
523	TRINITY_DN10974_c0_g2_i2	stress response
524	TRINITY_DN10974_c0_g2_i2	stress response
525	TRINITY_DN10976_c0_g1_i6	stress response
526	TRINITY_DN10976_c0_g1_i6	stress response
527	TRINITY_DN10976_c0_g1_i7	stress response
528	TRINITY_DN10976_c0_g1_i7	stress response
529	TRINITY_DN10979_c2_g1_i1	stress response
530	TRINITY_DN10979_c2_g1_i2	stress response
531	TRINITY_DN10979_c2_g1_i5	stress response
532	TRINITY_DN10983_c0_g1_i1	stress response
533	TRINITY_DN10983_c0_g1_i12	stress response
534	TRINITY_DN10983_c0_g1_i16	stress response
535	TRINITY_DN10983_c0_g1_i7	stress response
536	TRINITY_DN10983_c0_g1_i9	stress response
537	TRINITY_DN10988_c0_g1_i3	stress response
538	TRINITY_DN10988_c0_g1_i3	stress response
