target_id,X329776_L2,X329776_L1,log2fc,padj,up_ID,acc,evalue
TRINITY_DN14731_c0_g1_i7,1,1,NA,NA,sp|P40818|UBP8_HUMAN,P40818,5.85E-78
TRINITY_DN1194_c0_g1_i16,17,7,NA,NA,sp|Q54DF7|Y2354_DICDI,Q54DF7,8.51E-34
TRINITY_DN9724_c0_g1_i1,66,7,NA,NA,sp|A2RRV9|NARFL_DANRE,A2RRV9,1.50E-53
TRINITY_DN3752_c0_g1_i11,4,8,NA,NA,sp|O13755|OSM1_SCHPO,O13755,1.36E-109
TRINITY_DN6441_c0_g1_i1,10,8,NA,NA,sp|Q04831|GLNA_PANAR,Q04831,0
TRINITY_DN5211_c0_g1_i1,2,9,NA,NA,sp|Q5EAC7|CPIN1_BOVIN,Q5EAC7,2.39E-48
TRINITY_DN24442_c0_g5_i1,9,9,NA,NA,sp|Q92887|MRP2_HUMAN,Q92887,1.71E-39
TRINITY_DN43979_c0_g1_i1,6,10,NA,NA,sp|Q9UV71|AOX2_CANAX,Q9UV71,1.93E-25
TRINITY_DN8261_c0_g1_i8,8,10,NA,NA,sp|Q5BK48|TTC5_RAT,Q5BK48,3.31E-34
TRINITY_DN4111_c1_g1_i4,7,11,NA,NA,sp|P35130|UBC2_MEDSA,P35130,3.14E-68
TRINITY_DN17090_c0_g1_i7,24,12,NA,NA,sp|Q84M24|AB1A_ARATH,Q84M24,6.40E-64
TRINITY_DN4929_c1_g1_i14,6,13,NA,NA,sp|Q8Q0U0|Y045_METMA,Q8Q0U0,1.25E-23
TRINITY_DN15067_c0_g1_i3,8,13,NA,NA,sp|O75449|KTNA1_HUMAN,O75449,1.63E-90
TRINITY_DN2603_c0_g1_i5,14,13,NA,NA,sp|Q43292|RL372_ARATH,Q43292,2.69E-24
TRINITY_DN10946_c0_g1_i2,46,13,NA,NA,sp|Q28113|FUT2_BOVIN,Q28113,2.25E-21
TRINITY_DN5642_c0_g1_i11,74,13,NA,NA,sp|Q6NVS2|ERGI3_XENTR,Q6NVS2,4.26E-138
TRINITY_DN4214_c0_g1_i2,10,14,NA,NA,sp|Q5R7G6|PEPL1_PONAB,Q5R7G6,2.14E-98
TRINITY_DN13776_c0_g1_i3,11,14,NA,NA,sp|Q8BG19|TMTC4_MOUSE,Q8BG19,4.95E-30
TRINITY_DN15077_c0_g1_i3,27,14,NA,NA,sp|Q8CHB8|TTLL5_MOUSE,Q8CHB8,2.63E-60
TRINITY_DN9459_c0_g1_i4,35,14,NA,NA,sp|O43414|ERI3_HUMAN,O43414,1.58E-26
TRINITY_DN9245_c2_g1_i3,38,14,NA,NA,sp|Q8K2W3|TXD11_MOUSE,Q8K2W3,8.48E-60
TRINITY_DN15653_c0_g1_i1,3,15,NA,NA,sp|Q95LP1|KIF2C_MACFA,Q95LP1,2.79E-33
TRINITY_DN8137_c0_g1_i20,11,15,NA,NA,sp|Q8R2Y8|PTH2_MOUSE,Q8R2Y8,3.41E-25
TRINITY_DN14134_c0_g1_i17,11,15,NA,NA,sp|Q9ZQW8|U2AFA_ORYSJ,Q9ZQW8,4.67E-59
TRINITY_DN39197_c0_g2_i3,4,16,NA,NA,sp|Q9LN20|P4H3_ARATH,Q9LN20,1.90E-26
TRINITY_DN10096_c0_g1_i13,7,16,NA,NA,sp|A7WM73|HEXO1_ARATH,A7WM73,2.07E-75
TRINITY_DN12937_c0_g1_i8,18,16,NA,NA,sp|Q61CA3|PGAM5_CAEBR,Q61CA3,1.27E-35
TRINITY_DN3844_c0_g1_i8,50,16,NA,NA,sp|Q55GN6|Y7588_DICDI,Q55GN6,1.16E-29
TRINITY_DN13814_c0_g1_i1,58,16,NA,NA,sp|P27643|SP5K_BACSU,P27643,2.67E-42
TRINITY_DN3450_c0_g1_i3,11,19,NA,NA,sp|Q2KHU3|EXOS8_BOVIN,Q2KHU3,7.12E-72
TRINITY_DN2756_c0_g1_i8,13,19,NA,NA,sp|Q0DA50|C3H45_ORYSJ,Q0DA50,2.22E-26
TRINITY_DN11892_c0_g1_i4,5,20,NA,NA,sp|Q8WW35|TC1D2_HUMAN,Q8WW35,2.11E-36
TRINITY_DN1194_c0_g1_i8,27,20,NA,NA,sp|Q54DF7|Y2354_DICDI,Q54DF7,7.31E-35
TRINITY_DN30385_c0_g1_i1,13,21,NA,NA,sp|Q9Z1F9|SAE2_MOUSE,Q9Z1F9,1.87E-118
TRINITY_DN861_c0_g1_i1,41,22,NA,NA,sp|Q9VTE0|BL1S2_DROME,Q9VTE0,2.30E-42
TRINITY_DN12976_c0_g1_i2,16,23,NA,NA,sp|P80457|XDH_BOVIN,P80457,3.04E-106
TRINITY_DN12976_c0_g1_i6,18,23,NA,NA,sp|P47989|XDH_HUMAN,P47989,1.84E-69
TRINITY_DN13100_c0_g1_i3,41,23,NA,NA,sp|Q7ZWN0|LMF2_XENLA,Q7ZWN0,9.20E-24
TRINITY_DN6533_c0_g1_i3,60,24,NA,NA,sp|A2RV80|GRAM4_XENLA,A2RV80,3.55E-35
TRINITY_DN6878_c0_g1_i3,64,24,NA,NA,sp|Q9ZUP4|CKL5_ARATH,Q9ZUP4,1.27E-47
TRINITY_DN644_c0_g1_i20,16,25,NA,NA,sp|Q42404|RU17_ARATH,Q42404,1.45E-40
TRINITY_DN19362_c0_g1_i1,19,25,NA,NA,sp|P61859|CALM_NEUCR,P61859,9.43E-22
TRINITY_DN3747_c2_g1_i7,38,25,NA,NA,sp|Q9JHW2|NIT2_MOUSE,Q9JHW2,3.97E-121
TRINITY_DN14795_c0_g1_i1,14,26,NA,NA,sp|Q52995|ECHH_RHIME,Q52995,1.01E-66
TRINITY_DN14981_c0_g1_i2,24,26,NA,NA,sp|P53498|ACT_CHLRE,P53498,6.15E-76
TRINITY_DN3269_c0_g1_i6,62,26,NA,NA,sp|Q8LGF7|PEX4_ARATH,Q8LGF7,5.57E-54
TRINITY_DN26704_c0_g1_i3,31,28,NA,NA,sp|Q2A865|S6A19_RAT,Q2A865,2.94E-28
TRINITY_DN2929_c0_g1_i3,44,28,NA,NA,sp|O94580|YQ77_SCHPO,O94580,1.37E-23
TRINITY_DN12981_c0_g1_i2,11,29,NA,NA,sp|Q5R5J8|ZDHC9_PONAB,Q5R5J8,3.97E-26
TRINITY_DN7918_c0_g1_i7,10,31,NA,NA,sp|P0AC33|FUMA_ECOLI,P0AC33,0
TRINITY_DN16325_c0_g1_i1,128,32,-7.754898456,0.030385332,sp|Q6ZMV9|KIF6_HUMAN,Q6ZMV9,7.23E-146
TRINITY_DN11660_c1_g1_i2,36,33,NA,NA,sp|Q9W770|SPON1_CHICK,Q9W770,2.65E-35
TRINITY_DN10386_c0_g1_i7,26,34,NA,NA,sp|Q54V47|ARFJ_DICDI,Q54V47,2.91E-25
TRINITY_DN6392_c0_g1_i2,65,34,-7.045504262,0.04478345,sp|P55180|GALE_BACSU,P55180,4.48E-139
TRINITY_DN2981_c0_g1_i4,7,35,NA,NA,sp|P62494|RB11A_RAT,P62494,3.72E-56
TRINITY_DN4300_c0_g1_i4,33,36,NA,NA,sp|Q9LZF6|CD48E_ARATH,Q9LZF6,0
TRINITY_DN288_c0_g2_i5,62,37,-7.041369245,0.044479581,sp|Q8MRC9|GALT9_DROME,Q8MRC9,0
TRINITY_DN2822_c0_g1_i3,9,38,NA,NA,sp|P19222|CBPA2_RAT,P19222,3.35E-22
TRINITY_DN2574_c0_g2_i1,59,38,-7.009605354,0.045222835,sp|Q96HN2|SAHH3_HUMAN,Q96HN2,0
TRINITY_DN26351_c0_g1_i3,54,40,-6.959874955,0.046432906,sp|Q6ZQ08|CNOT1_MOUSE,Q6ZQ08,9.63E-23
TRINITY_DN22056_c0_g1_i1,89,40,-7.430298315,0.035040107,sp|O60285|NUAK1_HUMAN,O60285,1.76E-40
TRINITY_DN8137_c0_g1_i2,26,41,NA,NA,sp|Q8R2Y8|PTH2_MOUSE,Q8R2Y8,4.17E-25
TRINITY_DN13501_c0_g1_i3,34,41,NA,NA,sp|Q9I7I0|CCNB3_DROME,Q9I7I0,4.40E-94
TRINITY_DN16959_c0_g1_i4,51,43,-6.955474164,0.046345411,sp|P0C605|KGP1_MOUSE,P0C605,2.48E-110
TRINITY_DN3987_c0_g1_i4,48,44,-6.921732923,0.047324033,sp|P87144|SYTC_SCHPO,P87144,0
TRINITY_DN8001_c0_g1_i5,2,45,NA,NA,sp|Q8AAB1|GLMS_BACTN,Q8AAB1,0
TRINITY_DN8137_c0_g1_i14,16,49,NA,NA,sp|Q8R2Y8|PTH2_MOUSE,Q8R2Y8,3.79E-25
TRINITY_DN18891_c0_g1_i3,25,50,NA,NA,sp|Q9SKZ5|FBT1_ARATH,Q9SKZ5,7.77E-39
TRINITY_DN471_c0_g1_i16,1,51,NA,NA,sp|P18433|PTPRA_HUMAN,P18433,3.43E-78
TRINITY_DN14778_c0_g1_i8,14,56,NA,NA,sp|P49727|UCRI_MAIZE,P49727,1.00E-63
TRINITY_DN6947_c0_g1_i6,22,56,NA,NA,sp|O13755|OSM1_SCHPO,O13755,1.03E-110
TRINITY_DN1107_c1_g1_i15,30,56,NA,NA,sp|Q9P7Q1|DDH2_SCHPO,Q9P7Q1,6.16E-42
TRINITY_DN8137_c0_g1_i16,41,57,-6.997970642,0.044977423,sp|Q8R2Y8|PTH2_MOUSE,Q8R2Y8,4.21E-25
TRINITY_DN54049_c0_g1_i1,38,58,-6.965206489,0.046123938,sp|Q00871|CTRB1_LITVA,Q00871,1.73E-56
TRINITY_DN23943_c0_g1_i4,40,59,-7.010525288,0.044668951,sp|Q9D9T8|EFHC1_MOUSE,Q9D9T8,7.96E-53
TRINITY_DN5446_c0_g2_i6,42,60,-7.054463195,0.043334705,sp|Q9M439|BCAT2_ARATH,Q9M439,1.50E-76
TRINITY_DN26674_c0_g1_i8,57,61,-7.273699259,0.037194648,sp|Q63486|RRAGA_RAT,Q63486,1.87E-129
TRINITY_DN11690_c2_g1_i9,58,61,-7.286428433,0.036886774,sp|Q4UJM1|SDHA_RICFE,Q4UJM1,3.49E-31
TRINITY_DN9460_c0_g1_i6,76,62,-7.508106552,0.031960612,sp|Q15427|SF3B4_HUMAN,Q15427,1.25E-127
TRINITY_DN8757_c0_g1_i3,11,64,NA,NA,sp|Q2KJ44|PTPA_BOVIN,Q2KJ44,2.50E-59
TRINITY_DN7993_c0_g4_i4,159,64,-8.220886731,0.021061534,sp|P38361|PHO89_YEAST,P38361,5.37E-39
TRINITY_DN5103_c0_g1_i5,42,66,-7.133296736,0.041177918,sp|Q4XXP8|FEN1_PLACH,Q4XXP8,2.27E-108
TRINITY_DN13528_c0_g1_i2,16,67,NA,NA,sp|Q6Y288|B3GLT_HUMAN,Q6Y288,7.56E-39
TRINITY_DN1443_c0_g1_i15,80,67,-7.598032145,0.030094677,sp|Q09JZ4|DAAF1_CHLRE,Q09JZ4,1.96E-46
TRINITY_DN9460_c0_g1_i10,97,70,-7.78655694,0.02670444,sp|Q15427|SF3B4_HUMAN,Q15427,1.32E-127
TRINITY_DN984_c0_g1_i2,15,71,NA,NA,sp|Q55ED4|NKAP_DICDI,Q55ED4,1.10E-36
TRINITY_DN18415_c0_g1_i2,61,71,-7.431864473,0.033481176,sp|Q9BQE3|TBA1C_HUMAN,Q9BQE3,7.50E-81
TRINITY_DN14886_c0_g1_i2,43,74,-7.245223756,0.038355067,sp|Q9GMY4|PEPC_SORUN,Q9GMY4,1.73E-44
TRINITY_DN45_c0_g1_i1,100,75,-7.852565095,0.025505514,sp|Q23978|MY31D_DROME,Q23978,0
TRINITY_DN1443_c0_g1_i18,74,76,-7.619991947,0.029521788,sp|Q09JZ4|DAAF1_CHLRE,Q09JZ4,8.98E-47
TRINITY_DN12972_c0_g1_i4,32,78,-7.145707663,0.042041512,sp|B3EWZ3|CADN_ACRMI,B3EWZ3,2.21E-36
TRINITY_DN7684_c0_g1_i3,102,79,-7.899969585,0.024681425,sp|P21616|AVP_VIGRR,P21616,0
TRINITY_DN26858_c0_g1_i2,18,82,-6.992833448,0.04992061,sp|Q56YP2|PI5K1_ARATH,Q56YP2,9.28E-27
TRINITY_DN15849_c0_g1_i8,43,84,-7.358932189,0.03579643,sp|Q9CQ46|EFCB2_MOUSE,Q9CQ46,5.27E-21
TRINITY_DN3673_c0_g1_i2,137,85,-8.201239005,0.020501691,sp|A9V3C0|KYNU_MONBE,A9V3C0,1.76E-118
TRINITY_DN6392_c0_g1_i1,58,94,-7.623315434,0.029718987,sp|P55180|GALE_BACSU,P55180,3.01E-138
TRINITY_DN3595_c2_g1_i3,112,96,-8.096564169,0.021595617,sp|Q55G10|PNCB_DICDI,Q55G10,9.71E-172
TRINITY_DN2303_c0_g1_i2,95,112,-8.07850011,0.021772034,sp|Q91YN5|UAP1_MOUSE,Q91YN5,5.68E-109
TRINITY_DN9000_c0_g1_i2,110,118,-8.220882563,0.019838268,sp|Q38950|2AAB_ARATH,Q38950,5.57E-127
TRINITY_DN16649_c0_g1_i18,8,131,NA,NA,sp|Q54XK2|SC61A_DICDI,Q54XK2,0
TRINITY_DN9924_c0_g2_i3,51,150,-8.006982927,0.024155689,sp|P16521|EF3A_YEAST,P16521,1.52E-163
TRINITY_DN36641_c2_g2_i2,125,157,-8.52142667,0.016317528,sp|A8IQE0|CCD39_CHLRE,A8IQE0,4.77E-114
TRINITY_DN20601_c0_g2_i2,90,195,-8.518570311,0.016787016,sp|Q5F485|DDX42_CHICK,Q5F485,9.48E-166
TRINITY_DN38534_c0_g4_i1,22,208,-8.177929355,0.025571253,sp|Q9Y4W6|AFG32_HUMAN,Q9Y4W6,0
TRINITY_DN4358_c0_g1_i3,238,215,-9.215832573,0.010467791,sp|P46778|RL21_HUMAN,P46778,1.03E-66
TRINITY_DN3760_c0_g1_i4,104,226,-8.72963424,0.014669815,sp|Q1LWG4|PCAT1_DANRE,Q1LWG4,1.42E-22
