"","x"
"102","P08432"
"103","Q2QTC2"
"104","P61460"
"105","Q6DCK3"
"106","Q9D676"
"107","Q03MA3"
"108","P08004"
"109","B3EL59"
"110","O80866"
"111","Q96RN1"
"112","B1Z8U3"
"113","Q6CF41"
"114","Q6CF41"
"115","P0C968"
"116","B4U7P8"
"117","A1A698"
"118","A1A698"
"119","A9BFX3"
"120","A7LXS8"
"121","Q6Y288"
"122","B9DLM4"
"123","B5Z8R2"
"124","Q875Q8"
"125","O49605"
"126","C4KZN5"
"127","Q3AC33"
"128","Q9D8I5"
"129","Q39557"
"130","Q2NWD7"
"131","P51140"
"132","B8N8Q9"
"133","Q8GXE9"
"134","Q8GXE9"
"135","P79739"
"136","Q6DF08"
"137","A1AZL6"
"138","P9WG73"
"139","H6D7E6"
"140","A4YKV0"
"141","Q9FMA3"
"142","Q9FMA3"
"143","Q9BTY7"
"144","P21328"
"145","P21328"
"146","P48624"
"147","Q9BTX7"
"148","Q6N0J0"
"149","Q9BTX7"
"150","Q8TN93"
"151","P46199"
"152","Q6BV94"
"153","A2AJA9"
"154","Q85FQ4"
"155","Q85FQ4"
"156","Q660T5"
"157","Q85FQ4"
"158","O60494"
"159","Q85FQ4"
"160","P17019"
"161","C4XI54"
"162","A7M9B2"
"163","Q828C7"
"164","Q5R7D3"
"165","Q15MS7"
"166","A5EV65"
"167","Q9UK96"
"168","A2RG75"
"169","Q2LQN1"
"170","A6VB75"
"171","A6VB75"
"172","Q9LIA4"
"173","Q9LIA4"
"174","Q6BRA6"
"175","Q6BRA6"
"176","Q6BRA6"
"177","Q6BRA6"
"178","Q8IRY7"
"179","Q8IRY7"
"180","Q8IRY7"
"181","Q9UT29"
"182","Q9LYY3"
"183","P32571"
"184","A0JMF6"
"185","P73136"
"186","P28644"
"187","P28644"
"188","Q6R8G3"
"189","O70157"
"190","Q6R8G3"
"191","Q6R8G3"
"192","Q9JL26"
"193","Q9JL26"
"194","Q9JL26"
"195","Q9JL26"
"196","Q9JL26"
"197","Q9JL26"
"198","Q9FJR9"
"199","Q9FJR9"
"200","P22815"
"201","Q8SY33"
"202","Q8SY33"
"203","Q8SY33"
"204","Q8SY33"
"205","P23738"
"206","Q9UG22"
"207","Q3UD82"
"208","Q2N886"
"209","Q8VWF6"
"210","Q6DFG0"
"211","Q3UD82"
"212","Q5XI52"
"213","Q6NRQ2"
"214","P0AEY8"
"215","Q9KCL9"
"216","Q12255"
"217","O34833"
"218","O94268"
"219","O94268"
"220","O94268"
"221","P00513"
"222","Q5SPV6"
"223","A0JN40"
"224","A0JN40"
"225","A0JN40"
"226","Q21JK7"
"227","Q80TF6"
"228","Q49X63"
"229","Q9N2G5"
"230","Q9N2G5"
"231","Q9N2G5"
"232","Q6X862"
"233","Q6X862"
"234","Q6X862"
"235","Q6X862"
"236","Q9N2G5"
"237","Q9N2G5"
"238","Q9N2G5"
"239","Q9BZA7"
"240","Q9BZA7"
"241","Q9BZA7"
"242","Q9BZA7"
"243","Q5ZVI4"
"244","Q8RA23"
"245","Q7M919"
"246","Q7M919"
"247","Q5AVQ6"
"248","P40890"
"249","Q6KGW7"
"250","P90521"
"251","Q9BZC7"
"252","Q97Z86"
"253","A9BP37"
"254","Q0KEG8"
"255","Q0KEG8"
"256","Q6G3F5"
"257","Q39YL9"
"258","Q9Y767"
"259","Q8S925"
"260","Q42669"
"261","B9MR36"
"262","Q38V64"
"263","Q1QVN7"
"264","Q8BI17"
"265","O44386"
"266","B3QCB2"
"267","Q75AJ2"
"268","P24792"
"269","P0C1H9"
"270","Q9WUH5"
"271","Q9WUH5"
"272","P47021"
"273","P47045"
"274","P47045"
"275","O18956"
"276","P47045"
"277","O18956"
"278","O18956"
"279","Q3TIX9"
"280","O18956"
"281","P25453"
"282","P25453"
"283","P25453"
"284","Q89L21"
"285","Q5J3G9"
"286","Q09698"
"287","Q3TLH4"
"288","A0LHQ3"
"289","O67239"
"290","O67239"
"291","Q8VYP9"
"292","Q5UQV5"
"293","A8JJB2"
"294","A8JJB2"
"295","A8JJB2"
"296","P32451"
"297","Q31YK5"
"298","A1XIH0"
"299","P28888"
"300","Q3JF39"
"301","Q12CI6"
"302","Q5F3N5"
"303","Q5F3N5"
"304","A8K2U0"
"305","B2FNX7"
"306","B2FNX7"
"307","B2FNX7"
"308","B2FNX7"
"309","B2FNX7"
"310","B2FNX7"
"311","P09848"
"312","B2FNX7"
"313","B2FNX7"
"314","C0LGF5"
"315","B4M5X4"
"316","Q11082"
"317","P59086"
"318","P11224"
"319","Q9SCQ2"
"320","A4U7A6"
"321","A4U7A6"
"322","A4U7A6"
"323","A4U7A6"
"324","A4U7A6"
"325","Q12361"
"326","A3LTV8"
"327","Q3BM98"
"328","P40761"
"329","P40761"
"330","P40761"
"331","P40761"
"332","P40761"
"333","P40761"
"334","P40761"
"335","P52188"
"336","Q15ZZ5"
"337","Q8FVX5"
"338","Q3A2K0"
"339","P24103"
"340","B9EB04"
"341","Q8NGN3"
"342","Q87C65"
"343","Q87C65"
"344","Q87C65"
"345","Q87C65"
"346","P0C9M7"
"347","Q9TT91"
"348","A9VKQ2"
"349","Q9TT91"
"350","Q9FMM4"
"351","Q758N7"
"352","O95389"
"353","P0C0H0"
"354","P0C0H1"
"355","P0C0H1"
"356","Q9P7R0"
"357","Q6R7K1"
"358","Q6R7K1"
"359","O00507"
"360","B0U6C8"
"361","Q9CNN7"
"362","Q9CNN7"
"363","P51052"
"364","Q4FQ91"
"365","Q9CNN7"
"366","Q9CNN7"
"367","O80770"
"368","Q8TE76"
"369","P51052"
"370","Q4FQ91"
"371","O94504"
"372","A4YHA6"
"373","O94504"
"374","A8YUL2"
"375","B1H3D5"
"376","Q32NG5"
"377","Q42997"
"378","Q42997"
"379","Q5ZIX8"
"380","Q5ZIX8"
"381","Q5ZIX8"
"382","Q5ZIX8"
"383","Q9Q2W5"
"384","O15050"
"385","O31615"
"386","O31615"
"387","O31615"
"388","Q93Z92"
"389","Q11082"
"390","Q7T3Q7"
"391","Q11082"
"392","Q9F466"
"393","Q11082"
"394","Q11082"
"395","Q7T3Q7"
"396","Q11082"
"397","Q4FV71"
"398","A0A0G2JMD5"
"399","P60252"
"400","P60252"
"401","P60252"
"402","P60252"
"403","Q05049"
"404","Q05049"
"405","P15703"
"406","Q9DDD1"
"407","Q05049"
"408","O35811"
"409","C1I201"
"410","C1I201"
"411","P39135"
"412","P07247"
"413","P17035"
"414","P17035"
"415","P17035"
"416","P14248"
"417","P14248"
"418","Q3YS11"
"419","Q9TUQ3"
"420","Q4KJ82"
"421","Q4KJ82"
"422","Q7SIG3"
"423","Q05589"
"424","Q4KJ82"
"425","P21902"
"426","D0PRN2"
"427","Q21RZ7"
"428","Q21RZ7"
"429","C9JE40"
"430","Q8N3X1"
"431","Q6AI12"
"432","Q6AI12"
"433","Q6AI12"
"434","Q6AI12"
"435","Q4W8A2"
"436","P0C7Q9"
"437","Q4W8A2"
"438","A4XNJ7"
"439","A4XNJ7"
"440","Q9NGQ2"
"441","Q9NGQ2"
"442","A4XNJ7"
"443","Q3Z993"
"444","Q12632"
"445","Q12632"
"446","Q6ZQQ6"
"447","Q85228"
"448","Q85228"
"449","Q8CBB2"
"450","Q9UT23"
"451","Q9UT23"
"452","P30777"
"453","Q9UT23"
"454","Q9UT23"
"455","P9WMJ7"
"456","Q8L612"
"457","Q2PW47"
"458","Q482K3"
"459","Q8L612"
"460","Q482K3"
"461","Q03202"
"462","Q27421"
"463","Q6NZQ2"
"464","P41045"
"465","Q929E8"
"466","Q92547"
"467","Q9D611"
"468","A4J0C7"
"469","Q19542"
"470","P18962"
"471","Q9P789"
"472","Q9X5V3"
"473","Q99LT0"
"474","Q96MG7"
"475","Q9VLJ9"
"476","A1RJ55"
"477","Q39254"
"478","Q3M698"
"479","I1N462"
"480","B2MW50"
"481","Q710D7"
"482","A5V667"
"483","Q837E2"
"484","Q8TCA0"
"485","P17557"
"486","A6TVN2"
"487","Q6FW42"
"488","Q9BZV3"
"489","A7I3D6"
"490","Q8TE76"
"491","Q83440"
"492","Q6IRE4"
"493","A1W123"
"494","Q66929"
"495","Q3B8H0"
"496","Q9FM86"
"497","Q9B6H6"
"498","Q9B6H6"
"499","Q4L4W7"
"500","C5D9K6"
"501","Q9P225"
"502","O97239"
"503","O70546"
"504","C1A4J3"
"505","Q0B0B4"
"506","C0HKB9"
"507","Q8TI15"
"508","Q5SYL3"
"509","Q8VZM7"
"510","Q297U0"
"511","Q9P212"
"512","Q3UGM2"
"513","A0L002"
"514","Q2KUK7"
"515","Q38FI2"
"516","Q8BHB9"
"517","Q24742"
"518","Q24742"
"519","B6IZN1"
"520","P20659"
"521","Q9Y3Y4"
"522","Q4WCV5"
"523","Q24742"
"524","Q94K85"
"525","Q94K85"
"526","Q65216"
"527","A8V0B3"
"528","P45775"
"529","Q8TQR2"
"530","O35586"
"531","O35586"
"532","O35586"
"533","Q6S592"
"534","B9MAC0"
"535","Q7MUD3"
"536","Q0UUE1"
"537","Q27319"
"538","Q6DRL4"
"539","A6TJ97"
"540","Q92344"
"541","B0V6V6"
"542","O09014"
"543","Q07652"
"544","P68987"
"545","Q61409"
"546","P54123"
"547","P21373"
"548","Q9KF49"
"549","Q64751"
"550","Q64751"
"551","O94916"
"552","Q96EH8"
"553","Q8DA38"
"554","Q4W9B7"
"555","P03517"
"556","Q9QXV1"
"557","P16724"
"558","P16969"
"559","O87628"
"560","Q83PN3"
"561","P53373"
"562","Q7UI46"
"563","Q10752"
"564","Q498L0"
"565","Q9BXL6"
"566","Q23469"
"567","Q8NFW9"
"568","Q8NFW9"
"569","P48466"
"570","A7LXT0"
"571","C4XLY6"
"572","Q1QDK1"
"573","P64539"
"574","P41948"
"575","Q54LY5"
"576","Q9BSJ1"
"577","Q59342"
"578","Q8IWJ2"
"579","P47043"
"580","P0CI43"
"581","P42847"
"582","Q8QHL3"
"583","O44252"
"584","Q7XZU0"
"585","A2SQD1"
"586","P48777"
"587","O75626"
"588","A8F7S3"
"589","P18253"
"590","Q9NB71"
"591","Q9M1I6"
"592","B1IHH9"
"593","Q9LDT3"
"594","A6NK97"
"595","O80302"
"596","Q9VUQ5"
"597","A6UR43"
"598","P34571"
"599","Q0EEE2"
"600","A0A0K9RDW0"
"601","Q2TBU5"
"602","Q8ESU8"
"603","C0LGI2"
"604","Q5AB48"
"605","Q59ZX3"
"606","Q30X20"
"607","Q08448"
"608","P57999"
"609","Q28983"
"610","O15417"
"611","P57999"
"612","P57999"
"613","Q02058"
"614","B3N946"
"615","Q5U231"
"616","Q5U231"
"617","Q9QZW0"
"618","O32272"
"619","P40806"
"620","Q3MHN7"
"621","Q7Y211"
"622","Q9SZ20"
"623","Q47SA2"
"624","Q5AR55"
"625","Q6RI86"
"626","Q8K2X1"
"627","Q5AR55"
"628","Q03E09"
"629","Q5ZAJ0"
"630","Q8ILR9"
"631","Q8ILR9"
"632","Q8ILR9"
"633","Q5UPE4"
"634","Q5UPE4"
"635","Q5UPE4"
"636","Q5UPE4"
"637","Q5UPE4"
"638","Q5UPE4"
"639","Q5UPE4"
"640","Q5UPE4"
"641","Q5UPE4"
"642","Q5UPE4"
"643","Q5UPE4"
"644","Q5UPE4"
"645","Q5UPE4"
"646","Q5UPE4"
"647","Q5UPE4"
"648","Q5UPE4"
"649","Q5UPE4"
"650","Q5UPE4"
"651","Q5UPE4"
"652","Q5UPE4"
"653","Q5UPE4"
"654","Q5UPE4"
"655","Q5UPE4"
"656","Q5UPE4"
"657","Q4KMM3"
"658","C7YY76"
"659","A5IY09"
"660","Q52671"
"661","Q8I1Y4"
"662","Q23369"
"663","Q32BG5"
"664","Q23369"
"665","Q23369"
"666","Q69YN4"
"667","Q69YN4"
"668","P11657"
"669","Q95LI0"
"670","Q8MTI2"
"671","Q8MTI2"
"672","Q8N1V8"
"673","P86929"
"674","P86929"
"675","Q5YNB0"
"676","Q5YNB0"
"677","Q1QS22"
"678","Q9J5C7"
"679","Q9BSH4"
"680","Q6BJM5"
"681","Q5JVX7"
"682","Q8IM00"
"683","Q8IM00"
"684","Q75CF3"
"685","Q118F4"
"686","Q3SL03"
"687","P9WHY1"
"688","Q9QX15"
"689","B5BT18"
"690","Q965Q8"
"691","Q90854"
"692","Q8C6D4"
"693","Q8NFU5"
"694","Q8NFU5"
"695","Q8NFU5"
"696","Q8NFU5"
"697","P12894"
"698","Q5PQS6"
"699","Q9Q8Q1"
"700","E9PT23"
"701","P26539"
"702","P26539"
"703","C5C1C4"
"704","C3K148"
"705","Q8JHV6"
"706","Q8JHV6"
"707","Q8JHV6"
"708","Q8JHV6"
"709","B2GFD7"
"710","Q6CN12"
"711","E1BK52"
"712","E1BK52"
"713","P54672"
"714","Q8BJ05"
"715","Q8BJ05"
"716","Q8BJ05"
"717","Q8BJ05"
"718","Q8BJ05"
"719","Q8BJ05"
"720","Q5T9G4"
"721","Q9JK45"
"722","O83514"
"723","Q5F3L4"
"724","A8LXK0"
"725","A8LXK0"
"726","P52804"
"727","A4VIG6"
"728","B3QM08"
"729","A4VIG6"
"730","Q9HXE5"
"731","Q9HXE5"
"732","Q9HXE5"
"733","Q9HXE5"
"734","Q9HXE5"
"735","Q02040"
"736","Q02040"
"737","Q6C7B9"
"738","Q8MQW8"
"739","O74787"
"740","A8F9B9"
"741","Q9H7L2"
"742","P93043"
"743","P93043"
"744","P93043"
"745","P93043"
"746","Q17308"
"747","P11712"
"748","P02205"
"749","A1WRA7"
"750","Q9NKW1"
"751","P21328"
"752","P47027"
"753","Q7Y1C4"
"754","Q7Y1C4"
"755","P23812"
"756","O81769"
"757","Q9C615"
"758","A5GAY2"
"759","Q7NZS3"
"760","B9DTJ0"
"761","P55907"
"762","Q9FKU8"
"763","Q38X88"
"764","Q38X88"
"765","Q9BRX5"
"766","Q9BRX5"
"767","Q9BRX5"
"768","Q3Z8V3"
"769","P34318"
"770","Q3Z8V3"
"771","Q54QC8"
"772","Q6YNI5"
"773","Q6YNI5"
"774","Q6NTW5"
"775","A0QCX4"
"776","Q5RKG2"
"777","Q5RKG2"
"778","Q15NR8"
"779","Q15NR8"
"780","Q15NR8"
"781","P08835"
"782","Q73P36"
"783","A4VVR3"
"784","A4VVR3"
"785","Q8C120"
"786","Q8C120"
"787","Q2EMT4"
"788","B3FWT8"
"789","Q9VT20"
"790","Q9DBY0"
"791","P32131"
"792","O57948"
"793","Q7L7V1"
"794","Q5NG54"
"795","Q5NG54"
"796","Q9Y3R5"
"797","Q3YS43"
"798","P94387"
"799","Q6TGZ4"
"800","Q6IR68"
"801","Q80TC5"
"802","Q6IR68"
"803","Q0VA82"
"804","A1JLF1"
"805","A1JLF1"
"806","A1JLF1"
"807","Q93833"
"808","A1JLF1"
"809","B0C3K5"
"810","A1JLF1"
"811","Q05024"
"812","Q05024"
"813","Q5VVM6"
"814","Q05024"
"815","Q8KA32"
"816","Q8KA32"
"817","Q19020"
"818","P27409"
"819","Q8W3Z3"
"820","Q94KB4"
"821","Q9CR41"
"822","Q9CR41"
"823","Q9CR41"
"824","Q9CR41"
"825","B0WSB8"
"826","Q9CUU3"
"827","Q84WW1"
"828","Q4WU49"
"829","Q4WU49"
"830","P42283"
"831","P42283"
"832","P42283"
"833","P42283"
"834","P42283"
"835","P42283"
"836","P42283"
"837","P42283"
"838","P42283"
"839","P42283"
"840","P42283"
"841","P42283"
"842","P42283"
"843","Q8L7H8"
"844","Q97E66"
"845","A0KMV4"
"846","P16465"
"847","P16465"
"848","Q658P3"
"849","Q9TUX8"
"850","Q5R7B4"
"851","Q9M9B3"
"852","Q58017"
"853","C7RCQ5"
"854","Q5R5X4"
"855","L7IP31"
"856","L7IP31"
"857","L7IP31"
"858","J7FQE8"
"859","B3H6C3"
"860","Q9D2U9"
"861","Q9D2U9"
"862","Q9D2U9"
"863","A1DA66"
"864","Q9M2K8"
"865","Q6GR30"
"866","A5IN10"
"867","Q5CKJ0"
"868","Q5CKJ0"
"869","Q86DA5"
"870","Q2M2T7"
"871","P43298"
"872","Q2M2T7"
"873","Q2M2T7"
"874","A6ZRR9"
"875","A6ZRR9"
"876","O77628"
"877","P60459"
"878","Q95MH6"
"879","O49187"
"880","Q95MH6"
"881","B1YT24"
"882","Q8IU68"
"883","Q8IU68"
"884","Q9EQJ0"
"885","B2VFR1"
"886","Q59ZX6"
"887","Q8G6J6"
"888","Q9VYN8"
"889","A6QRQ7"
"890","Q1DHP3"
"891","P07197"
"892","P07197"
"893","P07197"
"894","P07197"
"895","Q86B20"
"896","Q86B20"
"897","P19246"
"898","P19246"
"899","P19246"
"900","P19246"
"901","P19246"
"902","P19246"
"903","P19246"
"904","P19246"
"905","P19246"
"906","P19246"
"907","P19246"
"908","P19246"
"909","P19246"
"910","P19246"
"911","P19246"
"912","P19246"
"913","P19246"
"914","P19246"
"915","P19246"
"916","P19246"
"917","P19246"
"918","P12319"
"919","Q6ZLC4"
"920","Q645U7"
"921","Q645U7"
"922","Q9CPF5"
"923","Q645U7"
"924","Q740U6"
"925","Q97QY9"
"926","P97821"
"927","P97821"
"928","P97821"
"929","P97821"
"930","P97821"
"931","P97821"
"932","P97821"
"933","P97821"
"934","P97821"
"935","Q46GM1"
"936","P9WIQ3"
"937","P18407"
"938","Q9BT43"
"939","P64138"
"940","O31488"
"941","O31488"
"942","Q39LF8"
"943","Q39LF8"
"944","Q9UTQ8"
"945","O77783"
"946","O77783"
"947","O77783"
"948","O77783"
"949","O77783"
"950","Q9DBE9"
"951","Q9DBE9"
"952","Q8IVL1"
"953","Q8IVL1"
"954","Q8IVL1"
"955","Q8F2D1"
"956","D2QZ34"
"957","Q6GMF8"
"958","Q9IA16"
"959","Q7Z5Y6"
"960","Q66AF5"
"961","P54350"
"962","Q49HI0"
"963","Q49HI0"
"964","Q49HI0"
"965","Q5T4T1"
"966","Q49HI0"
"967","Q49HI0"
"968","Q49HI0"
"969","Q49HI0"
"970","B5FBZ8"
"971","B5FBZ8"
"972","B0KTK9"
"973","Q553R3"
"974","Q9Z1K7"
"975","Q6MD01"
"976","Q9Z1K7"
"977","Q2Y8Q6"
"978","Q9Z1K7"
"979","Q9Z1K7"
"980","Q9Z1K7"
"981","Q9ULR3"
"982","Q09350"
"983","Q6D8E0"
"984","O35806"
"985","O13665"
"986","O13665"
"987","D4GIR2"
"988","Q6DCG4"
"989","Q9FL51"
"990","Q9H015"
"991","O76082"
"992","Q9FL51"
"993","Q4P8U8"
"994","Q5DU28"
"995","O42943"
"996","A9BNG6"
"997","G3X982"
"998","G5ECQ3"
"999","Q5R7H5"
"1000","G5ECQ3"
"1001","G5ECQ3"
"1002","Q9ZD77"
"1003","Q9ZD77"
"1004","O70337"
"1005","Q9ZD77"
"1006","Q9ZD77"
"1007","Q8D7K6"
"1008","Q6NLQ6"
"1009","Q6NLQ6"
"1010","Q6NLQ6"
"1011","Q6NLQ6"
"1012","A8E7C5"
"1013","Q9NRZ5"
"1014","Q2K975"
"1015","Q5TYW6"
"1016","Q5TYW6"
"1017","Q98GR1"
"1018","Q8TWG4"
"1019","Q31IE8"
"1020","A6NAF9"
"1021","Q31JY3"
"1022","Q6PQD5"
"1023","Q20798"
"1024","P19165"
"1025","Q6FLH2"
"1026","P80109"
"1027","P82728"
"1028","Q9KEZ3"
"1029","A0A098D8A0"
"1030","A0A098D8A0"
"1031","Q9KEZ3"
"1032","Q9KEZ3"
"1033","Q9KEZ3"
"1034","P16620"
"1035","Q6ZQT0"
"1036","Q6ZQT0"
"1037","Q6ZQT0"
"1038","Q3E807"
"1039","Q4V7W3"
"1040","Q4V7W3"
"1041","Q4V7W3"
"1042","Q976H1"
"1043","Q8VZN9"
"1044","Q976H1"
"1045","Q10998"
"1046","Q10998"
"1047","Q10998"
"1048","Q10998"
"1049","C9SDK8"
"1050","Q6GZW7"
"1051","Q6GZW7"
"1052","P39567"
"1053","Q8DDZ1"
"1054","F4J6T7"
"1055","C7LYP9"
"1056","Q9HCI5"
"1057","Q9HCI5"
"1058","Q8W4N3"
"1059","Q8W4N3"
"1060","Q28ES4"
"1061","Q28ES4"
"1062","C5BKL4"
"1063","Q3BAI2"
"1064","Q3BAI2"
"1065","Q3BAI2"
"1066","Q3BAI2"
"1067","Q3BAI2"
"1068","Q3BAI2"
"1069","Q3BAI2"
"1070","Q3BAI2"
"1071","Q3BAI2"
"1072","Q3BAI2"
"1073","Q3BAI2"
"1074","A1JHR5"
"1075","Q3BAI2"
"1076","Q3BAI2"
"1077","A1TRM7"
"1078","Q9NR34"
"1079","A4IW92"
"1080","Q750J0"
"1081","A1VC43"
"1082","Q90625"
"1083","Q90625"
"1084","Q90625"
"1085","A1VC43"
"1086","Q90625"
"1087","Q90625"
"1088","Q90625"
"1089","Q90625"
"1090","Q90625"
"1091","Q90625"
"1092","Q7M7W9"
"1093","Q628A6"
"1094","Q628A6"
"1095","A8GN21"
"1096","Q14139"
"1097","Q10744"
"1098","A5V7N3"
"1099","A5V7N3"
"1100","A5V7N3"
"1101","A5V7N3"
"1102","S0DLP2"
"1103","P11976"
"1104","P11976"
"1105","P11976"
"1106","P11976"
"1107","P11976"
"1108","P11976"
"1109","P11976"
"1110","P11976"
"1111","P11976"
"1112","P11976"
"1113","P11976"
"1114","P11976"
"1115","P11976"
"1116","P11976"
"1117","P11976"
"1118","P11976"
"1119","P11976"
"1120","P11976"
"1121","P11976"
"1122","P11976"
"1123","P11976"
"1124","S0DLP2"
"1125","S0DLP2"
"1126","P11976"
"1127","P11976"
"1128","P11976"
"1129","P11976"
"1130","P11976"
"1131","P11976"
"1132","P11976"
"1133","P11976"
"1134","S0DLP2"
"1135","P11976"
"1136","Q9M3B7"
"1137","S0DLP2"
"1138","A2ASS6"
"1139","Q66JG2"
"1140","Q66JG2"
"1141","Q66JG2"
"1142","Q66JG2"
"1143","Q6DBQ8"
"1144","Q6DBQ8"
"1145","Q6DBQ8"
"1146","Q66JG2"
"1147","Q924V4"
"1148","E0Y420"
"1149","P14381"
"1150","Q48DU8"
"1151","Q01500"
"1152","Q9UN88"
"1153","Q29563"
"1154","B2GUP8"
"1155","Q8NFW9"
"1156","A5DMB6"
"1157","A5DMB6"
"1158","A5DMB6"
"1159","A5DMB6"
"1160","Q26457"
"1161","Q91ZR2"
"1162","O35029"
"1163","Q85FY7"
"1164","P58797"
"1165","Q66X05"
"1166","O44219"
"1167","Q05270"
"1168","P55619"
"1169","A8GE50"
"1170","A8GE50"
"1171","Q4QLU5"
"1172","Q84JL5"
"1173","Q4QLU5"
"1174","C4Z563"
"1175","Q9GZK7"
"1176","Q6P9I7"
"1177","O34104"
"1178","P11369"
"1179","P16425"
"1180","P08548"
"1181","Q5GZ99"
"1182","P16425"
"1183","P16425"
"1184","Q8NEZ4"
"1185","Q8NEZ4"
"1186","Q8NEZ4"
"1187","Q8NEZ4"
"1188","Q94EG9"
"1189","Q9VAQ1"
"1190","P36089"
"1191","Q5RCQ9"
"1192","Q5RCQ9"
"1193","Q5RCQ9"
"1194","Q2T9W8"
"1195","Q5RCQ9"
"1196","Q8RY46"
"1197","Q2KID9"
"1198","Q2KID9"
"1199","Q7V8X0"
"1200","O50173"
"1201","Q8NBN3"
"1202","Q7M3S9"
"1203","Q6NPR7"
"1204","Q6R796"
"1205","Q7M3S9"
"1206","Q24306"
"1207","Q7M3S9"
"1208","Q7M3S9"
"1209","Q7M3S9"
"1210","O20644"
"1211","Q6LWX9"
"1212","Q11183"
"1213","Q11183"
"1214","Q11183"
"1215","O74484"
"1216","B1I190"
"1217","Q91784"
"1218","Q9R9J0"
"1219","Q9TZD0"
"1220","Q97BN7"
"1221","Q38617"
"1222","Q15VM5"
"1223","Q15VM5"
"1224","A5N0Q0"
"1225","P38766"
"1226","Q09847"
"1227","Q86YC3"
"1228","Q3IL79"
"1229","Q24192"
"1230","Q3IL79"
"1231","Q5B4H8"
"1232","Q876A6"
"1233","Q876A6"
"1234","Q876A6"
"1235","Q9HB31"
"1236","B0TF70"
"1237","B4F2G7"
"1238","O67127"
"1239","A0A0U1LQF6"
"1240","Q8TZ38"
"1241","A8GAT0"
"1242","Q8TZ38"
"1243","P46915"
"1244","P46915"
"1245","A8MQA3"
"1246","A8MQA3"
"1247","P24443"
"1248","P24443"
"1249","A4XKA0"
"1250","A5FIJ3"
"1251","A4X4J3"
"1252","A4X4J3"
"1253","O25610"
"1254","O25610"
"1255","B5Y8H0"
"1256","Q6FZ00"
"1257","Q9VYY2"
"1258","P37695"
"1259","Q9VYY2"
"1260","Q9VYY2"
"1261","A5D8S5"
"1262","A5D8S5"
"1263","Q9F6D4"
"1264","Q84WE9"
"1265","A6UW32"
"1266","Q501R9"
"1267","O57890"
"1268","O57890"
"1269","Q663J7"
"1270","Q6SWC6"
"1271","P27864"
"1272","P0CT18"
"1273","B3MJ16"
"1274","Q54LB8"
"1275","Q54LB8"
"1276","Q54LB8"
"1277","O95671"
"1278","O95671"
"1279","O95671"
"1280","O95671"
"1281","P03700"
"1282","Q2LQL0"
"1283","A6QBG7"
"1284","Q24120"
"1285","B3PMF1"
"1286","Q8Y7F6"
"1287","Q9ZR72"
"1288","Q24120"
"1289","Q24120"
"1290","P0ADM7"
"1291","O88874"
"1292","O88874"
"1293","O88874"
"1294","O88874"
"1295","B1I545"
"1296","C3N7X4"
"1297","C3N7X4"
"1298","C3N7X4"
"1299","Q24524"
"1300","Q24524"
"1301","Q24524"
"1302","Q24524"
"1303","Q24524"
"1304","Q24524"
"1305","Q24524"
"1306","O43149"
"1307","Q10UX2"
"1308","Q35813"
"1309","B5EQ29"
"1310","Q9VUJ0"
"1311","Q9VUJ0"
"1312","Q9VUJ0"
"1313","Q8VYN6"
"1314","Q3T906"
