target_id,X329777_L2,X329777_L1,log2fc,padj,up_ID,acc,evalue
TRINITY_DN44179_c0_g1_i1,1,1,NA,NA,sp|O97394|SDK_DROME,O97394,3.74E-27
TRINITY_DN1456_c1_g1_i6,16,10,NA,NA,sp|F1RQM2|AGM1_PIG,F1RQM2,2.74E-143
TRINITY_DN4502_c1_g1_i2,16,20,NA,NA,sp|O95619|YETS4_HUMAN,O95619,5.43E-97
TRINITY_DN2573_c0_g1_i7,16,20,NA,NA,sp|O49923|ADK_PHYPA,O49923,2.26E-130
TRINITY_DN36804_c0_g1_i3,16,20,NA,NA,sp|Q8IVH8|M4K3_HUMAN,Q8IVH8,6.04E-177
TRINITY_DN23540_c0_g1_i4,17,11,NA,NA,sp|Q06732|ZN33B_HUMAN,Q06732,2.03E-23
TRINITY_DN10477_c0_g2_i4,18,8,NA,NA,sp|Q5R816|ABHEB_PONAB,Q5R816,8.59E-44
TRINITY_DN2349_c0_g3_i3,18,10,NA,NA,sp|P07857|NLTP_BOVIN,P07857,7.80E-57
TRINITY_DN32193_c0_g1_i2,18,11,NA,NA,sp|Q27367|CRQ_DROME,Q27367,2.06E-66
TRINITY_DN10604_c0_g1_i6,18,13,NA,NA,sp|A6NK75|ZNF98_HUMAN,A6NK75,1.96E-71
TRINITY_DN13915_c0_g1_i7,18,17,NA,NA,sp|Q6INC1|TT21B_XENLA,Q6INC1,1.50E-40
TRINITY_DN13101_c0_g1_i3,19,6,NA,NA,sp|Q6NU40|CTF18_XENLA,Q6NU40,1.51E-49
TRINITY_DN9948_c0_g1_i2,19,7,NA,NA,sp|F1Q8W0|CATIN_DANRE,F1Q8W0,5.45E-87
TRINITY_DN7894_c0_g1_i3,19,61,NA,NA,sp|Q9NQZ5|STAR7_HUMAN,Q9NQZ5,9.49E-40
TRINITY_DN288_c0_g2_i3,20,21,NA,NA,sp|Q8MRC9|GALT9_DROME,Q8MRC9,0
TRINITY_DN5766_c0_g1_i7,21,16,NA,NA,sp|Q9Z1Q9|SYVC_MOUSE,Q9Z1Q9,0
TRINITY_DN5355_c0_g1_i1,21,20,NA,NA,sp|O18875|SC6A8_BOVIN,O18875,2.64E-131
TRINITY_DN266_c0_g2_i2,21,49,NA,NA,sp|Q9D554|SF3A3_MOUSE,Q9D554,0
TRINITY_DN4122_c0_g1_i10,22,11,NA,NA,sp|Q8K2A1|GULP1_MOUSE,Q8K2A1,4.05E-67
TRINITY_DN28575_c0_g1_i6,22,13,NA,NA,sp|Q9NVM9|ASUN_HUMAN,Q9NVM9,0
TRINITY_DN8740_c0_g2_i5,22,76,NA,NA,sp|A2VDR8|COG7_BOVIN,A2VDR8,9.26E-122
TRINITY_DN6203_c0_g2_i1,23,14,NA,NA,sp|Q7ZYC4|ACBG2_XENLA,Q7ZYC4,0
TRINITY_DN7878_c0_g1_i1,23,70,NA,NA,sp|Q6VMQ6|MCAF1_HUMAN,Q6VMQ6,4.11E-24
TRINITY_DN57_c0_g1_i11,23,74,NA,NA,sp|Q501J6|DDX17_MOUSE,Q501J6,1.75E-109
TRINITY_DN16980_c0_g1_i2,24,22,NA,NA,sp|Q9QXL7|NDK7_RAT,Q9QXL7,7.66E-133
TRINITY_DN3400_c0_g1_i2,24,36,NA,NA,sp|Q9JJL8|SYSM_MOUSE,Q9JJL8,4.43E-105
TRINITY_DN271_c0_g1_i4,25,14,NA,NA,sp|P13582|EAST_DROME,P13582,1.31E-49
TRINITY_DN7218_c1_g1_i3,25,34,NA,NA,sp|Q9CWZ7|SNAG_MOUSE,Q9CWZ7,4.24E-65
TRINITY_DN11428_c0_g1_i4,26,105,NA,NA,sp|Q9NFN6|GSH1_ONCVO,Q9NFN6,1.32E-158
TRINITY_DN7418_c0_g2_i4,27,12,NA,NA,sp|Q9H3P7|GCP60_HUMAN,Q9H3P7,2.49E-54
TRINITY_DN6337_c1_g1_i2,27,14,NA,NA,sp|Q6IA86|ELP2_HUMAN,Q6IA86,1.53E-171
TRINITY_DN178_c0_g1_i36,28,30,NA,NA,sp|Q03141|MARK3_MOUSE,Q03141,0
TRINITY_DN2564_c1_g1_i4,28,37,NA,NA,sp|Q8K2C9|HACD3_MOUSE,Q8K2C9,3.00E-82
TRINITY_DN2368_c0_g1_i14,30,28,NA,NA,sp|Q04202|TCB2_CAEBR,Q04202,1.14E-31
TRINITY_DN600_c0_g2_i4,30,34,NA,NA,sp|P42124|EZ_DROME,P42124,6.85E-29
TRINITY_DN11532_c0_g1_i2,31,11,NA,NA,sp|Q32LQ3|OSGP2_DANRE,Q32LQ3,4.16E-99
TRINITY_DN178_c0_g1_i43,31,24,NA,NA,sp|Q03141|MARK3_MOUSE,Q03141,0
TRINITY_DN15069_c1_g2_i2,31,26,NA,NA,sp|Q921C3|BRWD1_MOUSE,Q921C3,2.02E-59
TRINITY_DN6518_c0_g1_i14,32,25,NA,NA,sp|F4KGU4|DEAHC_ARATH,F4KGU4,7.02E-118
TRINITY_DN11139_c0_g2_i4,32,33,NA,NA,sp|Q6NYU7|UPP_DANRE,Q6NYU7,1.15E-82
TRINITY_DN1060_c0_g1_i14,32,73,NA,NA,sp|P12370|KAPC_DROME,P12370,0
TRINITY_DN835_c0_g1_i1,33,34,NA,NA,sp|O35166|GOSR2_MOUSE,O35166,1.91E-51
TRINITY_DN13064_c0_g1_i2,34,15,NA,NA,sp|Q58EB4|HIBCH_DANRE,Q58EB4,1.76E-132
TRINITY_DN798_c0_g1_i3,34,25,NA,NA,sp|Q5ZKA2|SYIM_CHICK,Q5ZKA2,0
TRINITY_DN5189_c0_g1_i3,36,153,NA,NA,sp|Q9Y6A5|TACC3_HUMAN,Q9Y6A5,2.02E-23
TRINITY_DN17066_c0_g1_i2,37,38,NA,NA,sp|P40855|PEX19_HUMAN,P40855,1.26E-36
TRINITY_DN3265_c0_g1_i10,38,2,NA,NA,sp|Q2M389|WASH7_HUMAN,Q2M389,0
TRINITY_DN6875_c0_g2_i2,38,10,NA,NA,sp|Q7KRI2|LOLAL_DROME,Q7KRI2,2.08E-29
TRINITY_DN6828_c0_g1_i2,38,25,NA,NA,sp|A2BGM5|FOXN4_DANRE,A2BGM5,9.04E-48
TRINITY_DN9418_c1_g1_i1,38,39,NA,NA,sp|Q9WU22|PTN4_MOUSE,Q9WU22,0
TRINITY_DN7932_c1_g1_i1,38,93,NA,NA,sp|Q96DF8|DGC14_HUMAN,Q96DF8,7.04E-51
TRINITY_DN420_c3_g1_i3,39,45,NA,NA,sp|Q8VCE1|DJC28_MOUSE,Q8VCE1,3.65E-67
TRINITY_DN27874_c0_g2_i1,40,55,NA,NA,sp|Q4R8E0|E2AK1_MACFA,Q4R8E0,7.52E-32
TRINITY_DN60_c0_g2_i2,41,67,NA,NA,sp|Q04832|HEXP_LEIMA,Q04832,1.60E-31
TRINITY_DN15621_c0_g1_i4,41,70,NA,NA,sp|B0BN95|HARB1_RAT,B0BN95,1.36E-33
TRINITY_DN2564_c1_g1_i1,43,15,NA,NA,sp|Q8K2C9|HACD3_MOUSE,Q8K2C9,2.25E-80
TRINITY_DN8815_c0_g1_i2,43,33,NA,NA,sp|Q5RBL6|GOSR1_PONAB,Q5RBL6,2.89E-69
TRINITY_DN4551_c0_g1_i3,45,5,NA,NA,sp|O75925|PIAS1_HUMAN,O75925,5.77E-141
TRINITY_DN11631_c0_g1_i1,47,32,NA,NA,sp|P00637|F16P1_RABIT,P00637,2.71E-144
TRINITY_DN502_c0_g1_i3,47,40,NA,NA,sp|Q6P1N9|TATD1_HUMAN,Q6P1N9,1.90E-117
TRINITY_DN2151_c0_g1_i1,48,41,NA,NA,sp|Q7ZVF3|SDHA_DANRE,Q7ZVF3,0
TRINITY_DN6350_c0_g1_i5,49,51,NA,NA,sp|A0JMY5|NFXL1_XENLA,A0JMY5,0
TRINITY_DN3894_c0_g1_i4,49,54,NA,NA,sp|Q6KAQ7|ZZZ3_MOUSE,Q6KAQ7,1.27E-58
TRINITY_DN2694_c0_g1_i1,49,77,NA,NA,sp|Q92546|RGP1_HUMAN,Q92546,1.37E-82
TRINITY_DN5988_c0_g1_i1,53,81,NA,NA,sp|Q8BKH7|SIN1_MOUSE,Q8BKH7,2.80E-26
TRINITY_DN16322_c0_g2_i2,54,46,NA,NA,sp|Q8C0J2|A16L1_MOUSE,Q8C0J2,6.57E-137
TRINITY_DN4204_c0_g3_i3,55,58,NA,NA,sp|Q6NWJ4|DNJC2_DANRE,Q6NWJ4,1.89E-55
TRINITY_DN2737_c0_g2_i9,57,41,NA,NA,sp|Q5R5S1|FBX21_PONAB,Q5R5S1,4.17E-78
TRINITY_DN22712_c0_g1_i4,57,76,NA,NA,sp|Q9BTE1|DCTN5_HUMAN,Q9BTE1,8.95E-90
TRINITY_DN3453_c0_g1_i4,60,20,NA,NA,sp|Q8TDD1|DDX54_HUMAN,Q8TDD1,0
TRINITY_DN2358_c0_g1_i15,60,121,NA,NA,sp|Q01820|GCL_DROME,Q01820,1.01E-108
TRINITY_DN389_c3_g1_i5,61,124,7.741780591,0.041854688,sp|Q24325|TAF2_DROME,Q24325,0
TRINITY_DN24420_c0_g1_i2,62,52,NA,NA,sp|P15651|ACADS_RAT,P15651,0
TRINITY_DN1142_c0_g4_i1,65,63,NA,NA,sp|Q28FA9|TM38B_XENTR,Q28FA9,2.90E-50
TRINITY_DN22849_c0_g1_i6,66,68,NA,NA,sp|Q8N5D0|WDTC1_HUMAN,Q8N5D0,9.48E-176
TRINITY_DN7254_c0_g1_i11,71,99,7.629636483,0.044183362,sp|Q2KJI7|AFG32_BOVIN,Q2KJI7,0
TRINITY_DN22849_c0_g1_i8,71,114,NA,NA,sp|Q8N5D0|WDTC1_HUMAN,Q8N5D0,7.53E-173
TRINITY_DN26353_c0_g1_i3,73,28,NA,NA,sp|P12694|ODBA_HUMAN,P12694,0
TRINITY_DN420_c3_g1_i5,73,80,NA,NA,sp|Q8VCE1|DJC28_MOUSE,Q8VCE1,1.60E-69
TRINITY_DN15123_c0_g1_i3,74,94,7.615113502,0.04449508,sp|Q6P112|RGL1_DANRE,Q6P112,4.67E-114
TRINITY_DN5603_c0_g1_i1,78,92,NA,NA,sp|Q6NYB7|RAB1A_RAT,Q6NYB7,1.80E-127
TRINITY_DN2938_c0_g1_i6,86,200,NA,NA,sp|Q9DCG9|TR112_MOUSE,Q9DCG9,9.04E-36
TRINITY_DN3801_c0_g1_i1,87,40,NA,NA,sp|O94806|KPCD3_HUMAN,O94806,0
TRINITY_DN1078_c0_g1_i13,96,12,NA,NA,sp|P28227|MAOX_ANAPL,P28227,0
TRINITY_DN3695_c0_g1_i5,97,126,5.676969952,0.039434437,sp|Q60HE1|PEX3_MACFA,Q60HE1,1.12E-52
TRINITY_DN57_c0_g1_i1,100,116,7.980322335,0.035675471,sp|Q5ZLV2|PPIL3_CHICK,Q5ZLV2,2.15E-87
TRINITY_DN10248_c0_g1_i6,101,101,7.887750134,0.037731885,sp|Q6TLE6|CRCM1_DANRE,Q6TLE6,3.23E-43
TRINITY_DN8752_c0_g1_i2,101,162,NA,NA,sp|Q5F3L9|FA65B_CHICK,Q5F3L9,2.11E-58
TRINITY_DN70_c0_g1_i3,107,104,NA,NA,sp|B4PZ52|NFU1_DROYA,B4PZ52,3.61E-89
TRINITY_DN60_c0_g2_i1,109,117,NA,NA,sp|Q04832|HEXP_LEIMA,Q04832,9.18E-33
TRINITY_DN10328_c0_g1_i4,109,167,NA,NA,sp|Q61586|GPAT1_MOUSE,Q61586,6.48E-100
TRINITY_DN13008_c0_g1_i5,113,100,NA,NA,sp|P70032|PLK1_XENLA,P70032,0
TRINITY_DN4238_c0_g1_i7,116,122,8.123020769,0.032776738,sp|O75897|ST1C4_HUMAN,O75897,1.16E-41
TRINITY_DN1246_c3_g1_i2,120,208,NA,NA,sp|Q16720|AT2B3_HUMAN,Q16720,0
TRINITY_DN15429_c0_g1_i1,135,162,8.438926497,0.027108602,sp|Q5VYK3|ECM29_HUMAN,Q5VYK3,0
TRINITY_DN238_c0_g1_i13,136,106,NA,NA,sp|Q9VFS5|PP4R3_DROME,Q9VFS5,4.69E-32
TRINITY_DN1715_c0_g1_i12,145,154,8.452009623,0.026885928,sp|Q3SZB4|ACADM_BOVIN,Q3SZB4,0
TRINITY_DN459_c0_g1_i1,154,231,NA,NA,sp|Q9VR81|NAGA_DROME,Q9VR81,1.05E-157
TRINITY_DN97_c0_g1_i3,231,187,NA,NA,sp|Q27081|CFB_TACTR,Q27081,1.27E-44
TRINITY_DN1038_c1_g1_i2,255,345,NA,NA,sp|Q5ZIA5|COPB_CHICK,Q5ZIA5,0
TRINITY_DN10248_c0_g1_i5,347,374,23.6397061,2.83E-11,sp|Q6TLE6|CRCM1_DANRE,Q6TLE6,5.98E-43
TRINITY_DN4749_c0_g1_i8,367,394,NA,NA,sp|B1A4F7|VDDP4_VESVU,B1A4F7,8.08E-154
TRINITY_DN1924_c0_g1_i2,454,227,22.99358941,9.90E-11,sp|Q9Y4G6|TLN2_HUMAN,Q9Y4G6,0
TRINITY_DN762_c0_g1_i7,20581,21615,7.191410811,0.005697301,sp|P84185|ACT5C_ANOGA,P84185,0
