target_id,X329775_L2,X329775_L1,log2fc,padj,up_ID,acc,evalue
TRINITY_DN56946_c0_g1_i1,1,1,NA,NA,sp|Q04652|KELC_DROME,Q04652,2.80E-34
TRINITY_DN47930_c0_g1_i1,1,1,NA,NA,sp|H2L0G5|PTC3_CAEEL,H2L0G5,1.52E-24
TRINITY_DN29805_c0_g1_i2,1,1,-7.651228682,2.23E-11,sp|P36062|AVT3_YEAST,P36062,2.13E-37
TRINITY_DN12627_c0_g1_i2,1,1,-8.48477513,1.38E-15,sp|Q9GLX9|SPON1_BOVIN,Q9GLX9,5.49E-36
TRINITY_DN20938_c0_g1_i5,1,1,-8.131527671,1.58E-14,sp|Q6NRG6|SAS6_XENLA,Q6NRG6,3.55E-42
TRINITY_DN18111_c0_g1_i2,1,1,-7.899037135,2.50E-13,sp|Q4R6D9|MEMO1_MACFA,Q4R6D9,4.83E-76
TRINITY_DN26402_c0_g2_i1,1,1,NA,NA,sp|P0C605|KGP1_MOUSE,P0C605,1.64E-70
TRINITY_DN25505_c0_g2_i1,1,1,-5.995563606,6.33E-08,sp|Q9FNY7|OGG1_ARATH,Q9FNY7,1.95E-45
TRINITY_DN42874_c0_g1_i1,1,1,-7.159361239,1.43E-09,sp|O75175|CNOT3_HUMAN,O75175,1.44E-48
TRINITY_DN50061_c0_g1_i1,1,1,NA,NA,sp|Q9NUW8|TYDP1_HUMAN,Q9NUW8,6.96E-25
TRINITY_DN9262_c1_g4_i1,1,1,-8.506774145,6.12E-16,sp|Q28DE7|KLD10_XENTR,Q28DE7,6.59E-29
TRINITY_DN22171_c0_g1_i1,1,1,-5.98451377,3.95E-07,sp|Q75B50|DED1_ASHGO,Q75B50,1.65E-38
TRINITY_DN13086_c0_g1_i4,1,1,-6.141619593,0.001709497,sp|Q3SZH6|TTLL9_BOVIN,Q3SZH6,4.61E-119
TRINITY_DN30334_c0_g2_i1,1,1,NA,NA,sp|Q9DE14|ATR_XENLA,Q9DE14,2.28E-22
TRINITY_DN37689_c0_g1_i1,1,1,-3.489203176,0.019567512,sp|P49282|NRAM2_MOUSE,P49282,4.48E-56
TRINITY_DN54939_c0_g1_i1,1,1,NA,NA,sp|Q9VCR7|CTNS_DROME,Q9VCR7,8.19E-29
TRINITY_DN3706_c0_g1_i1,1,1,-7.615939722,1.86E-11,sp|Q9Z336|DYLT1_RAT,Q9Z336,8.35E-29
TRINITY_DN10740_c0_g3_i2,1,1,-7.312888239,1.65E-04,sp|Q9SXD1|PPR91_ARATH,Q9SXD1,3.93E-26
TRINITY_DN16166_c0_g1_i1,1,1,-6.070188677,1.84E-07,sp|Q9KKY1|Y3769_VIBCH,Q9KKY1,3.27E-26
TRINITY_DN24461_c0_g1_i2,1,1,-7.133061839,5.36E-06,sp|Q6DEL1|S38A7_DANRE,Q6DEL1,3.83E-44
TRINITY_DN22764_c0_g1_i1,1,1,-5.983230277,1.54E-06,sp|Q9FN03|UVR8_ARATH,Q9FN03,9.77E-41
TRINITY_DN13742_c0_g1_i2,1,1,NA,NA,sp|Q86A88|DYL_DICDI,Q86A88,4.35E-23
TRINITY_DN13749_c0_g2_i2,1,1,-8.634651651,1.40E-14,sp|Q4R9A8|MAEA_MACFA,Q4R9A8,1.70E-29
TRINITY_DN46371_c0_g1_i1,1,1,NA,NA,sp|Q28BX9|C2CD5_XENTR,Q28BX9,1.10E-46
TRINITY_DN54569_c0_g1_i1,1,1,NA,NA,sp|Q80YT5|SPT20_MOUSE,Q80YT5,5.92E-25
TRINITY_DN9035_c0_g2_i3,1,1,NA,NA,sp|Q9KPQ9|PANE_VIBCH,Q9KPQ9,2.31E-40
TRINITY_DN19176_c0_g1_i1,1,1,-3.573125784,0.009233414,sp|Q7Z6Z7|HUWE1_HUMAN,Q7Z6Z7,5.13E-30
TRINITY_DN36574_c0_g1_i1,1,1,NA,NA,sp|Q9U6A0|NCKX_DROME,Q9U6A0,2.20E-22
TRINITY_DN11066_c0_g1_i2,1,1,-7.496578096,9.29E-10,sp|Q588V7|TEB_ARATH,Q588V7,4.15E-43
TRINITY_DN11049_c0_g2_i1,1,1,-8.052178294,2.59E-14,sp|P51644|ARF4_XENLA,P51644,4.60E-80
TRINITY_DN11101_c0_g1_i2,1,1,-6.859354653,2.29E-05,sp|P79051|RHP16_SCHPO,P79051,1.41E-43
TRINITY_DN18447_c0_g2_i1,1,1,-7.194236583,1.24E-09,sp|Q755M2|RPE_ASHGO,Q755M2,1.84E-80
TRINITY_DN18425_c0_g3_i1,1,1,NA,NA,sp|B5YFG2|LON_DICT6,B5YFG2,2.86E-174
TRINITY_DN35746_c0_g1_i1,1,1,-7.099108124,3.47E-10,sp|Q8MIR4|COASY_PIG,Q8MIR4,2.92E-79
TRINITY_DN26688_c0_g3_i1,1,1,-5.538964634,3.04E-05,sp|A2ZVI7|CDPK1_ORYSJ,A2ZVI7,1.65E-27
TRINITY_DN17667_c0_g1_i1,1,1,-7.479285541,1.81E-11,sp|Q9VTC4|U195A_DROME,Q9VTC4,1.28E-39
TRINITY_DN51016_c0_g1_i1,1,1,-5.709472182,1.99E-06,sp|Q3T0V9|DEOC_BOVIN,Q3T0V9,1.10E-53
TRINITY_DN3572_c0_g6_i1,1,1,-8.447838763,2.89E-15,sp|Q09445|GRTP6_CAEEL,Q09445,5.59E-22
TRINITY_DN3592_c0_g1_i5,1,1,NA,NA,sp|Q9XGL4|RL31_CYAPA,Q9XGL4,1.58E-30
TRINITY_DN49388_c0_g1_i1,1,1,-8.186778596,2.05E-14,sp|P35134|UBC11_ARATH,P35134,3.17E-29
TRINITY_DN10979_c0_g1_i2,1,1,NA,NA,sp|Q8IYG6|LRC56_HUMAN,Q8IYG6,4.89E-31
TRINITY_DN1249_c0_g3_i5,1,1,-8.534612813,1.61E-13,sp|Q3E9C0|CDPKY_ARATH,Q3E9C0,1.90E-36
TRINITY_DN16445_c0_g1_i1,1,1,-7.039727612,7.79E-06,sp|A7MBH5|CC151_BOVIN,A7MBH5,1.67E-25
TRINITY_DN29210_c1_g2_i1,1,1,NA,NA,sp|Q7Z6P3|RAB44_HUMAN,Q7Z6P3,1.76E-27
TRINITY_DN4611_c2_g1_i1,1,1,-5.685191486,3.64E-06,sp|Q9LF98|ALFC8_ARATH,Q9LF98,6.53E-32
TRINITY_DN4929_c0_g2_i10,1,1,-3.93973339,0.036353031,sp|Q8Q0U0|Y045_METMA,Q8Q0U0,1.10E-21
TRINITY_DN6293_c0_g3_i1,1,1,-7.644345265,4.71E-12,sp|Q9Z1D1|EIF3G_MOUSE,Q9Z1D1,1.27E-27
TRINITY_DN16719_c0_g2_i2,1,1,-5.644783604,1.26E-04,sp|Q9WUU7|CATZ_MOUSE,Q9WUU7,1.72E-54
TRINITY_DN49214_c0_g1_i1,1,1,-3.816132565,0.016329708,sp|P15348|TOP2_DROME,P15348,4.13E-30
TRINITY_DN4718_c0_g1_i2,1,2,-5.11434845,0.009310999,sp|Q9SB58|ZDH19_ARATH,Q9SB58,9.90E-39
TRINITY_DN4784_c0_g1_i2,1,2,-4.438876712,3.48E-05,sp|O55057|PDE6D_MOUSE,O55057,9.29E-54
TRINITY_DN28817_c0_g1_i1,1,2,NA,NA,sp|Q8HXX9|FRDA_MACFA,Q8HXX9,6.91E-26
TRINITY_DN3808_c0_g1_i5,1,2,NA,NA,sp|P34743|BTG1_CHICK,P34743,4.42E-35
TRINITY_DN9681_c0_g1_i3,1,2,NA,NA,sp|Q9Y388|RBMX2_HUMAN,Q9Y388,2.19E-33
TRINITY_DN60670_c0_g1_i1,1,2,NA,NA,sp|Q8N5Z0|AADAT_HUMAN,Q8N5Z0,3.04E-37
TRINITY_DN5143_c0_g2_i4,1,2,-5.029752121,1.64E-05,sp|P50607|TUB_HUMAN,P50607,9.74E-27
TRINITY_DN14645_c0_g1_i2,1,2,-7.509803209,1.89E-14,sp|Q54DW2|ERGI3_DICDI,Q54DW2,1.26E-70
TRINITY_DN13957_c0_g1_i1,1,2,-8.188563574,2.20E-18,sp|S4R2P9|NAC3_MOUSE,S4R2P9,6.62E-67
TRINITY_DN52076_c0_g1_i1,1,2,-7.506288754,1.02E-13,sp|P46872|KRP85_STRPU,P46872,8.64E-84
TRINITY_DN17775_c0_g1_i2,1,2,-7.399740844,6.36E-16,sp|Q5ZKR7|ACBG2_CHICK,Q5ZKR7,2.00E-49
TRINITY_DN51263_c0_g1_i1,1,2,NA,NA,sp|Q9VN14|CONT_DROME,Q9VN14,4.34E-27
TRINITY_DN24101_c0_g1_i4,1,2,-6.19194946,6.42E-05,sp|Q8L796|PI5K2_ARATH,Q8L796,3.73E-21
TRINITY_DN15075_c1_g1_i1,1,2,-6.5021134,5.25E-10,sp|Q96SB4|SRPK1_HUMAN,Q96SB4,8.67E-58
TRINITY_DN15184_c0_g1_i4,1,2,NA,NA,sp|Q29RZ4|ZNF2_BOVIN,Q29RZ4,1.86E-26
TRINITY_DN6739_c0_g2_i1,1,2,-7.672489564,6.16E-17,sp|F4J2Z7|SDR4_ARATH,F4J2Z7,9.96E-31
TRINITY_DN4099_c0_g1_i9,1,2,NA,NA,sp|P51817|PRKX_HUMAN,P51817,5.54E-108
TRINITY_DN12799_c0_g1_i4,1,2,-8.597486396,3.26E-20,sp|Q9LZA6|SDP1_ARATH,Q9LZA6,6.57E-49
TRINITY_DN649_c0_g3_i1,1,2,-7.00779062,5.07E-14,sp|Q9FWW9|GSXL2_ARATH,Q9FWW9,5.34E-23
TRINITY_DN11900_c1_g1_i5,1,2,-7.967533218,2.22E-13,sp|O93257|XRCC6_CHICK,O93257,1.96E-36
TRINITY_DN5241_c0_g1_i8,1,2,NA,NA,sp|Q9YGN1|SAND_TAKRU,Q9YGN1,7.27E-49
TRINITY_DN24893_c1_g2_i1,1,2,-7.296446754,1.13E-14,sp|Q10901|EAA1_CAEEL,Q10901,6.26E-31
TRINITY_DN50002_c0_g1_i1,1,2,-4.799653889,5.21E-06,sp|P09398|STRG_STRGR,P09398,2.35E-24
TRINITY_DN15748_c0_g2_i1,1,2,-4.877113961,4.44E-04,sp|B4PZB4|RTEL1_DROYA,B4PZB4,4.68E-52
TRINITY_DN47479_c0_g1_i1,1,2,NA,NA,sp|Q91784|KIF4_XENLA,Q91784,6.76E-21
TRINITY_DN22192_c0_g1_i2,1,2,-7.951956059,4.39E-17,sp|Q9SCS2|CAMK5_ARATH,Q9SCS2,2.62E-22
TRINITY_DN22194_c0_g2_i1,1,2,-6.696087383,2.69E-12,sp|Q2GY21|LKHA4_CHAGB,Q2GY21,2.56E-83
TRINITY_DN6520_c0_g1_i11,1,2,-7.752106658,6.73E-16,sp|O06179|Y1533_MYCTU,O06179,8.96E-30
TRINITY_DN37625_c0_g1_i1,1,2,NA,NA,sp|P80007|CRA2_HOMGA,P80007,2.45E-22
TRINITY_DN12330_c0_g4_i2,1,2,-7.658164166,1.46E-16,sp|O80925|AGD7_ARATH,O80925,7.34E-29
TRINITY_DN19698_c0_g1_i1,1,2,NA,NA,sp|Q9P2R3|ANFY1_HUMAN,Q9P2R3,8.45E-25
TRINITY_DN11461_c0_g1_i3,1,2,NA,NA,sp|Q06730|ZN33A_HUMAN,Q06730,9.05E-26
TRINITY_DN58751_c0_g1_i1,1,2,-6.503507927,3.36E-09,sp|Q5ZI11|LRC45_CHICK,Q5ZI11,1.17E-21
TRINITY_DN25247_c0_g2_i1,1,2,-7.35686481,1.77E-14,sp|Q9UV51|HOG1_MAGO7,Q9UV51,1.50E-62
TRINITY_DN58867_c0_g1_i1,1,2,NA,NA,sp|Q9UNY4|TTF2_HUMAN,Q9UNY4,3.64E-27
TRINITY_DN50744_c0_g1_i1,1,2,NA,NA,sp|Q9VXY2|MADD_DROME,Q9VXY2,3.85E-46
TRINITY_DN23684_c0_g1_i1,1,2,-8.675069069,7.68E-21,sp|P51272|YCF42_PORPU,P51272,1.58E-51
TRINITY_DN4111_c1_g1_i2,1,2,NA,NA,sp|P35130|UBC2_MEDSA,P35130,5.69E-69
TRINITY_DN7212_c0_g1_i3,1,2,-5.900698741,1.80E-09,sp|Q9T042|PDI54_ARATH,Q9T042,3.55E-21
TRINITY_DN11193_c0_g1_i1,1,2,-7.780108028,2.88E-14,sp|Q91WU6|ZDHC7_MOUSE,Q91WU6,1.73E-36
TRINITY_DN59188_c0_g1_i1,1,2,-7.122915455,1.52E-14,sp|C0QQL8|RS12_PERMH,C0QQL8,1.50E-35
TRINITY_DN34983_c0_g1_i1,1,2,-8.450393469,2.92E-18,sp|Q9XTY1|GCY22_CAEEL,Q9XTY1,8.15E-27
TRINITY_DN60113_c0_g1_i1,1,2,NA,NA,sp|P97412|LYST_MOUSE,P97412,4.92E-31
TRINITY_DN18042_c0_g1_i1,1,2,-2.907648015,0.048471172,sp|Q28WQ1|KIF1A_DROPS,Q28WQ1,2.11E-36
TRINITY_DN24663_c0_g1_i2,1,2,-3.882337638,0.004578489,sp|Q55BJ6|PLBLB_DICDI,Q55BJ6,1.27E-34
TRINITY_DN21174_c0_g1_i4,1,2,NA,NA,sp|Q74GW7|TTCA_GEOSL,Q74GW7,2.79E-39
TRINITY_DN11384_c0_g1_i4,1,2,-6.377277556,4.74E-10,sp|Q93Y52|IPYR1_CHLRE,Q93Y52,1.24E-82
TRINITY_DN4684_c0_g1_i2,1,2,-6.006000139,4.15E-07,sp|Q0IIM2|ARL6_BOVIN,Q0IIM2,1.93E-63
TRINITY_DN18669_c0_g1_i5,1,2,NA,NA,sp|Q06730|ZN33A_HUMAN,Q06730,3.32E-24
TRINITY_DN10583_c0_g2_i2,1,2,NA,NA,sp|Q08ER8|ZN543_HUMAN,Q08ER8,2.16E-29
TRINITY_DN53659_c0_g1_i1,1,2,-5.21898383,5.48E-07,sp|O13864|IMB1_SCHPO,O13864,9.22E-36
TRINITY_DN35589_c0_g1_i1,1,2,-6.687022702,7.23E-12,sp|Q9NRH2|SNRK_HUMAN,Q9NRH2,3.30E-40
TRINITY_DN8791_c0_g1_i3,1,3,-6.249221465,1.02E-04,sp|Q10233|RPC2_SCHPO,Q10233,0
TRINITY_DN16335_c0_g1_i2,1,3,NA,NA,sp|P00765|TRYP_ASTAS,P00765,4.48E-26
TRINITY_DN33564_c0_g2_i1,1,3,NA,NA,sp|Q80YP6|ZIK1_MOUSE,Q80YP6,1.08E-37
TRINITY_DN35811_c0_g1_i1,1,3,-7.546141617,4.80E-18,sp|Q08C93|ABD12_DANRE,Q08C93,1.67E-26
TRINITY_DN10449_c0_g1_i1,1,3,-6.770876917,9.23E-10,sp|Q7ZV90|PIF1_DANRE,Q7ZV90,4.42E-84
TRINITY_DN10414_c0_g2_i2,1,3,-4.983657577,3.11E-08,sp|Q8C460|ERI3_MOUSE,Q8C460,2.46E-37
TRINITY_DN4535_c0_g1_i1,1,3,-8.367352388,4.01E-25,sp|O46043|PARG_DROME,O46043,2.62E-21
TRINITY_DN52048_c0_g1_i1,1,3,-6.90429258,7.40E-17,sp|Q502K2|SAMH1_DANRE,Q502K2,1.86E-88
TRINITY_DN9459_c0_g1_i3,1,3,-6.316778233,4.76E-07,sp|A6QLH5|ERI3_BOVIN,A6QLH5,1.07E-37
TRINITY_DN56909_c0_g1_i1,1,3,NA,NA,sp|Q62849|PCSK7_RAT,Q62849,1.26E-28
TRINITY_DN14338_c0_g1_i2,1,3,-6.73124807,1.88E-15,sp|O60447|EVI5_HUMAN,O60447,1.57E-57
TRINITY_DN37067_c0_g1_i2,1,3,-6.027619928,3.80E-12,sp|Q9FJD4|IMB1_ARATH,Q9FJD4,8.53E-58
TRINITY_DN5214_c0_g1_i8,1,3,-3.789593133,0.003627184,sp|Q2KIW9|KCY_BOVIN,Q2KIW9,1.54E-61
TRINITY_DN24881_c0_g1_i2,1,3,-6.604197001,2.46E-14,sp|Q9SBJ1|PDK_ARATH,Q9SBJ1,7.02E-45
TRINITY_DN24845_c0_g1_i1,1,3,-6.11953717,4.11E-11,sp|O48646|GPX6_ARATH,O48646,6.05E-56
TRINITY_DN8359_c0_g1_i3,1,3,-7.351645798,1.36E-17,sp|P27398|CAND_DROME,P27398,2.44E-48
TRINITY_DN10688_c0_g1_i2,1,3,-6.304232875,2.75E-13,sp|P48598|IF4E_DROME,P48598,1.52E-30
TRINITY_DN10679_c1_g2_i1,1,3,-8.011764607,3.45E-23,sp|Q6ZNF0|ACP7_HUMAN,Q6ZNF0,1.97E-27
TRINITY_DN6894_c0_g1_i1,1,3,-7.445388874,4.63E-14,sp|Q8R071|IP3KA_MOUSE,Q8R071,3.15E-46
TRINITY_DN9978_c0_g1_i2,1,3,-7.263409347,2.52E-17,sp|P0A962|ASPG1_ECOLI,P0A962,1.17E-86
TRINITY_DN12976_c0_g2_i2,1,3,-7.914584601,7.21E-23,sp|A7F045|ATG4_SCLS1,A7F045,8.56E-32
TRINITY_DN6371_c0_g1_i4,1,3,-7.681660277,2.79E-19,sp|P17970|KCNAB_DROME,P17970,1.09E-29
TRINITY_DN52966_c0_g1_i1,1,3,-3.228457972,0.001831158,sp|Q8IZQ1|WDFY3_HUMAN,Q8IZQ1,3.69E-35
TRINITY_DN59158_c0_g1_i1,1,3,NA,NA,sp|Q9C0H5|RHG39_HUMAN,Q9C0H5,3.58E-38
TRINITY_DN4811_c0_g1_i1,1,3,-8.556180263,6.34E-24,sp|O35594|IFT81_MOUSE,O35594,9.27E-81
TRINITY_DN14865_c0_g2_i1,1,3,-6.249960489,7.26E-13,sp|O48538|RBOHF_ARATH,O48538,4.79E-22
TRINITY_DN45859_c0_g1_i1,1,3,NA,NA,sp|Q28654|2A5E_RABIT,Q28654,3.84E-33
TRINITY_DN48886_c0_g1_i1,1,3,-3.328772896,0.01467184,sp|Q9H1B5|XYLT2_HUMAN,Q9H1B5,1.75E-23
TRINITY_DN12498_c0_g1_i4,1,4,-6.092001905,4.90E-10,sp|Q8S9J2|SYYC1_ARATH,Q8S9J2,7.07E-124
TRINITY_DN2975_c0_g2_i1,1,4,-7.74267629,7.03E-22,sp|Q9LR78|BSU1_ARATH,Q9LR78,1.12E-140
TRINITY_DN21038_c0_g1_i1,1,4,-4.400454114,3.18E-05,sp|P08799|MYS2_DICDI,P08799,2.23E-33
TRINITY_DN8276_c0_g1_i6,1,4,-4.872339244,0.014675951,sp|A6H730|PPAP_BOVIN,A6H730,2.93E-25
TRINITY_DN45687_c0_g1_i1,1,4,NA,NA,sp|D3ZXK7|RN123_RAT,D3ZXK7,1.64E-38
TRINITY_DN18512_c0_g1_i1,1,4,NA,NA,sp|Q8T5C6|RXR_BIOGL,Q8T5C6,2.83E-83
TRINITY_DN61049_c0_g1_i1,1,4,NA,NA,sp|Q6WV20|GALT1_DROME,Q6WV20,1.52E-47
TRINITY_DN10433_c0_g1_i1,1,4,-6.190439368,1.31E-04,sp|P41410|RAD54_SCHPO,P41410,4.35E-70
TRINITY_DN38973_c0_g1_i1,1,4,NA,NA,sp|P54276|MSH6_MOUSE,P54276,3.84E-33
TRINITY_DN3141_c0_g2_i3,1,4,-5.309163168,4.98E-04,sp|Q06827|CATR_SCHDU,Q06827,1.21E-59
TRINITY_DN8051_c0_g1_i3,1,4,-5.23586033,7.16E-07,sp|Q9SIC9|PP178_ARATH,Q9SIC9,8.25E-26
TRINITY_DN26397_c0_g2_i1,1,4,-5.194818028,5.00E-10,sp|P62343|CDPK1_PLAFK,P62343,3.82E-47
TRINITY_DN37669_c0_g1_i1,1,4,-6.490329479,3.54E-18,sp|Q9HB90|RRAGC_HUMAN,Q9HB90,3.77E-108
TRINITY_DN12290_c0_g1_i4,1,4,-7.332431587,9.00E-13,sp|O15865|CDPK2_PLAFK,O15865,4.01E-24
TRINITY_DN12335_c0_g2_i4,1,4,-6.104007716,1.92E-14,sp|Q54CS8|PEX6_DICDI,Q54CS8,2.18E-85
TRINITY_DN1931_c0_g1_i5,1,4,-7.709015105,4.40E-22,sp|A6W2P7|BETB_MARMS,A6W2P7,4.39E-154
TRINITY_DN50732_c0_g1_i1,1,4,NA,NA,sp|Q8VBW5|BBX_MOUSE,Q8VBW5,1.21E-24
TRINITY_DN39939_c0_g1_i1,1,4,NA,NA,sp|Q63151|ACSL3_RAT,Q63151,1.67E-45
TRINITY_DN13721_c0_g1_i1,1,4,-6.17964979,1.27E-15,sp|A7MHT9|RBN_CROS8,A7MHT9,4.56E-52
TRINITY_DN13798_c0_g2_i1,1,4,-7.456174723,1.22E-22,sp|Q54J73|PAP_DICDI,Q54J73,5.36E-126
TRINITY_DN9088_c0_g1_i4,1,4,-6.470500365,5.90E-11,sp|O74351|NFS1_SCHPO,O74351,0
TRINITY_DN28968_c0_g1_i3,1,4,NA,NA,sp|Q80YP6|ZIK1_MOUSE,Q80YP6,1.59E-37
TRINITY_DN9526_c0_g4_i3,1,4,NA,NA,sp|P91685|GRM_DROME,P91685,0
TRINITY_DN28838_c0_g1_i1,1,5,-5.820839466,1.75E-12,sp|O74633|RPA2_NEUCR,O74633,7.21E-49
TRINITY_DN2995_c0_g1_i8,1,5,-6.197937014,6.23E-14,sp|Q83A83|METC_COXBU,Q83A83,3.90E-86
TRINITY_DN60668_c0_g1_i1,1,5,-3.434913408,2.00E-04,sp|P54679|PMA1_DICDI,P54679,6.96E-32
TRINITY_DN30153_c0_g1_i2,1,5,-6.548045749,2.15E-16,sp|Q38900|CP19A_ARATH,Q38900,2.24E-74
TRINITY_DN8290_c0_g2_i2,1,5,-5.486681962,5.89E-04,sp|Q04960|DNJH_CUCSA,Q04960,1.77E-62
TRINITY_DN19390_c1_g2_i2,1,5,-7.678960573,6.23E-14,sp|Q2HJ97|PHB2_BOVIN,Q2HJ97,1.28E-105
TRINITY_DN26757_c0_g1_i1,1,5,-6.257218152,2.95E-09,sp|O04862|FOLM_PEA,O04862,9.21E-81
TRINITY_DN4598_c0_g1_i4,1,5,-5.291939499,3.67E-07,sp|Q2TAC6|KIF19_HUMAN,Q2TAC6,2.87E-21
TRINITY_DN37075_c0_g1_i1,1,5,NA,NA,sp|P35433|PUR1_RAT,P35433,1.84E-91
TRINITY_DN4340_c0_g1_i3,1,5,-7.198269732,3.68E-10,sp|Q49SH1|NCKX5_DANRE,Q49SH1,2.82E-22
TRINITY_DN15737_c0_g1_i1,1,5,-6.069624846,2.46E-13,sp|Q8H136|RH14_ARATH,Q8H136,2.65E-114
TRINITY_DN21379_c0_g2_i1,1,5,NA,NA,sp|Q99KI0|ACON_MOUSE,Q99KI0,1.92E-36
TRINITY_DN12334_c0_g1_i3,1,5,NA,NA,sp|P37116|NCPR_VIGRR,P37116,1.71E-44
TRINITY_DN59547_c0_g1_i1,1,5,-7.011303181,2.71E-24,sp|P0C872|JMJD7_MOUSE,P0C872,1.73E-44
TRINITY_DN12967_c0_g1_i1,1,5,-5.587314018,2.82E-13,sp|Q9Y5N5|HEMK2_HUMAN,Q9Y5N5,1.63E-29
TRINITY_DN7248_c1_g2_i1,1,5,-6.443766323,7.98E-20,sp|Q9UHL4|DPP2_HUMAN,Q9UHL4,5.90E-48
TRINITY_DN11198_c0_g3_i1,1,5,-6.679275899,4.91E-15,sp|Q9ZV15|CDPKK_ARATH,Q9ZV15,1.34E-74
TRINITY_DN23253_c0_g1_i1,1,5,-6.634140328,6.78E-15,sp|Q5QUN8|TDH_IDILO,Q5QUN8,0
TRINITY_DN45169_c0_g1_i1,1,5,-5.804199084,2.36E-13,sp|O43049|PPT1_SCHPO,O43049,3.80E-43
