Trinity_ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	V2	uniprot_acc_ID	V4	V5	V6	V7	V8.x	V9.x	V10.x	V11.x	V12	V13	V14	entry_name	review_status	protein_name	gene_name	organism	length	V8.y	V9.y	V10.y	V11.y	gene_ontology_IDs
TRINITY_DN10227_c0_g1_i1	253.5196509	9.915019112	1.480159756	6.69861417	2.1e-11	5.59e-09	sp	P0AE20	MAP1_ECO57	48.9	131	65	2	560	171	124	253	1.2e-28	127.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN10249_c0_g1_i1	69.72542884	7.108704254	1.317808098	5.394339481	6.88e-08	4.78e-06	sp	Q9XED7	R51A2_MAIZE	69.5	82	24	1	305	60	259	339	2.6e-25	115.9	R51A2_MAIZE	reviewed	DNA repair protein RAD51 homolog B (Rad51-like protein B) (RAD51B) (ZmRAD51b)	RAD51B	Zea mays (Maize)	340	double-strand break repair via homologous recombination [GO:0000724]; mitotic recombination-dependent replication fork processing [GO:1990426]	nucleus [GO:0005634]	ATP binding [GO:0005524]; DNA-dependent ATPase activity [GO:0008094]; double-stranded DNA binding [GO:0003690]; recombinase activity [GO:0000150]; single-stranded DNA binding [GO:0003697]	nucleus [GO:0005634]; ATP binding [GO:0005524]; DNA-dependent ATPase activity [GO:0008094]; double-stranded DNA binding [GO:0003690]; recombinase activity [GO:0000150]; single-stranded DNA binding [GO:0003697]; double-strand break repair via homologous recombination [GO:0000724]; mitotic recombination-dependent replication fork processing [GO:1990426]	GO:0000150; GO:0000724; GO:0003690; GO:0003697; GO:0005524; GO:0005634; GO:0008094; GO:1990426
TRINITY_DN10256_c0_g1_i1	115.2911026	7.82717477	1.252397592	6.24975233	4.11e-10	6.42e-08	sp	Q8VXQ2	ALDH_CRAPL	48.9	92	45	1	4	279	60	149	4.8e-18	91.7	ALDH_CRAPL	reviewed	Aldehyde dehydrogenase (EC 1.2.1.3) (Cp-ALDH)	ALDH	Craterostigma plantagineum (Blue gem) (Torenia plantagineum)	479	cellular aldehyde metabolic process [GO:0006081]	amyloplast [GO:0009501]; chloroplast [GO:0009507]	aldehyde dehydrogenase (NAD) activity [GO:0004029]; aldehyde dehydrogenase [NAD(P)+] activity [GO:0004030]	amyloplast [GO:0009501]; chloroplast [GO:0009507]; aldehyde dehydrogenase (NAD) activity [GO:0004029]; aldehyde dehydrogenase [NAD(P)+] activity [GO:0004030]; cellular aldehyde metabolic process [GO:0006081]	GO:0004029; GO:0004030; GO:0006081; GO:0009501; GO:0009507
TRINITY_DN10257_c0_g1_i1	22.88087203	7.867179416	1.98962947	3.954092727	7.68e-05	0.002551986	sp	Q12263	GIN4_YEAST	36.3	91	54	1	9	269	196	286	2.1e-10	66.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN10274_c0_g1_i1	26.09105965	8.055441725	1.960450583	4.108974637	3.97e-05	0.001393094	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN10285_c0_g1_i1	16.16714583	7.365760892	2.156188146	3.416103045	0.000635242	0.01800005	sp	O15439	MRP4_HUMAN	54.2	107	49	0	323	3	1113	1219	6e-28	124.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN103_c60_g1_i1	5127.779996	-1.288979779	0.3566209	-3.614425793	0.000301014	0.009023537	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1034_c0_g1_i12	17.18535143	7.452572744	2.212438371	3.36848829	0.000755816	0.021202743	sp	Q5R5P0	WASC5_PONAB	39.1	350	208	3	2	1051	807	1151	8.4e-70	265.8	WASC5_PONAB	reviewed	WASH complex subunit 5 (WASH complex subunit strumpellin)	WASHC5	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	1159	protein transport [GO:0015031]	cytosol [GO:0005829]; early endosome [GO:0005769]; endoplasmic reticulum [GO:0005783]; WASH complex [GO:0071203]		cytosol [GO:0005829]; early endosome [GO:0005769]; endoplasmic reticulum [GO:0005783]; WASH complex [GO:0071203]; protein transport [GO:0015031]	GO:0005769; GO:0005783; GO:0005829; GO:0015031; GO:0071203
TRINITY_DN1035_c0_g1_i1	105.289829	-2.41179266	0.695558597	-3.467418376	0.000525483	0.015129765	sp	Q5ZM57	HACD3_CHICK	39.1	363	216	3	316	1404	5	362	1.7e-70	268.5	HACD3_CHICK	reviewed	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase (EC 4.2.1.134) (3-hydroxyacyl-CoA dehydratase) (HACD) (Protein-tyrosine phosphatase-like A domain-containing protein 1)	HACD3 PTPLAD1 RCJMB04_3b6	Gallus gallus (Chicken)	362	fatty acid elongation [GO:0030497]; I-kappaB kinase/NF-kappaB signaling [GO:0007249]; JNK cascade [GO:0007254]; positive regulation by virus of viral protein levels in host cell [GO:0046726]; positive regulation of viral genome replication [GO:0045070]; Rho protein signal transduction [GO:0007266]; sphingolipid biosynthetic process [GO:0030148]; very long-chain fatty acid biosynthetic process [GO:0042761]	cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; focal adhesion [GO:0005925]; integral component of endoplasmic reticulum membrane [GO:0030176]; mitochondrion [GO:0005739]; nuclear membrane [GO:0031965]	3-hydroxyacyl-CoA dehydratase activity [GO:0018812]; 3-hydroxy-arachidoyl-CoA dehydratase activity [GO:0102343]; 3-hydroxy-behenoyl-CoA dehydratase activity [GO:0102344]; 3-hydroxy-lignoceroyl-CoA dehydratase activity [GO:0102345]; enzyme binding [GO:0019899]	cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; focal adhesion [GO:0005925]; integral component of endoplasmic reticulum membrane [GO:0030176]; mitochondrion [GO:0005739]; nuclear membrane [GO:0031965]; 3-hydroxy-arachidoyl-CoA dehydratase activity [GO:0102343]; 3-hydroxy-behenoyl-CoA dehydratase activity [GO:0102344]; 3-hydroxy-lignoceroyl-CoA dehydratase activity [GO:0102345]; 3-hydroxyacyl-CoA dehydratase activity [GO:0018812]; enzyme binding [GO:0019899]; fatty acid elongation [GO:0030497]; I-kappaB kinase/NF-kappaB signaling [GO:0007249]; JNK cascade [GO:0007254]; positive regulation by virus of viral protein levels in host cell [GO:0046726]; positive regulation of viral genome replication [GO:0045070]; Rho protein signal transduction [GO:0007266]; sphingolipid biosynthetic process [GO:0030148]; very long-chain fatty acid biosynthetic process [GO:0042761]	GO:0005739; GO:0005783; GO:0005829; GO:0005925; GO:0007249; GO:0007254; GO:0007266; GO:0018812; GO:0019899; GO:0030148; GO:0030176; GO:0030497; GO:0031965; GO:0042761; GO:0045070; GO:0046726; GO:0102343; GO:0102344; GO:0102345
TRINITY_DN10440_c0_g1_i1	185.0534548	4.959821354	1.24335308	3.989069102	6.63e-05	0.002229813	sp	D3ZU57	RIOX1_RAT	39.3	140	79	3	430	14	311	445	4e-19	95.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN10556_c0_g1_i1	104.6609987	10.06084288	1.653417366	6.084877957	1.17e-09	1.55e-07	sp	O55029	COPB2_MOUSE	43.1	116	66	0	356	9	662	777	3.3e-19	95.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN10594_c0_g1_i1	21.0916305	7.750302889	2.074499909	3.735986131	0.000186981	0.005836478	sp	P54260	GCST_SOLTU	60.3	63	25	0	190	2	344	406	3.2e-14	78.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1061_c2_g1_i6	46.24304043	7.410241763	1.660031109	4.463917407	8.05e-06	0.000329009	sp	A7MB10	RRP5_BOVIN	42.3	279	161	0	1082	1918	1589	1867	5.5e-63	243.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN10616_c0_g1_i1	97.31401667	9.955897909	1.672240537	5.953627894	2.62e-09	3.02e-07	sp	Q9VCA5	SYFB_DROME	63.9	252	90	1	828	76	35	286	7.6e-88	325.1	SYFB_DROME	reviewed	Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS)	beta-PheRS CG5706	Drosophila melanogaster (Fruit fly)	589	phenylalanyl-tRNA aminoacylation [GO:0006432]	cytoplasm [GO:0005737]; phenylalanine-tRNA ligase complex [GO:0009328]	aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; phenylalanine-tRNA ligase activity [GO:0004826]; RNA binding [GO:0003723]	cytoplasm [GO:0005737]; phenylalanine-tRNA ligase complex [GO:0009328]; aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; phenylalanine-tRNA ligase activity [GO:0004826]; RNA binding [GO:0003723]; phenylalanyl-tRNA aminoacylation [GO:0006432]	GO:0000287; GO:0002161; GO:0003723; GO:0004826; GO:0005524; GO:0005737; GO:0006432; GO:0009328
TRINITY_DN10667_c0_g1_i1	266.0234283	6.945739019	0.905671187	7.669161968	1.73e-14	1.95e-11	sp	Q9VD92	ARCH_DROME	50.7	140	67	2	546	133	17	156	3.2e-32	139.8	ARCH_DROME	reviewed	Protein archease-like	CG6353	Drosophila melanogaster (Fruit fly)	156	positive regulation of axon regeneration [GO:0048680]; tRNA splicing, via endonucleolytic cleavage and ligation [GO:0006388]	tRNA-splicing ligase complex [GO:0072669]	metal ion binding [GO:0046872]	tRNA-splicing ligase complex [GO:0072669]; metal ion binding [GO:0046872]; positive regulation of axon regeneration [GO:0048680]; tRNA splicing, via endonucleolytic cleavage and ligation [GO:0006388]	GO:0006388; GO:0046872; GO:0048680; GO:0072669
TRINITY_DN10698_c0_g1_i2	7547.850626	-1.224315416	0.352769437	-3.47058245	0.000519331	0.014996537	sp	Q3SZQ6	RL32_BOVIN	79.7	79	16	0	238	2	5	83	2.5e-31	135.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1070_c0_g1_i3	33.38694229	8.411442411	1.853785266	4.537441614	5.69e-06	0.000240288	sp	Q9EQ06	DHB11_MOUSE	36.7	259	160	2	883	107	6	260	3.8e-42	173.7	DHB11_MOUSE	reviewed	Estradiol 17-beta-dehydrogenase 11 (EC 1.1.1.62) (17-beta-hydroxysteroid dehydrogenase 11) (17-beta-HSD 11) (17bHSD11) (17betaHSD11) (17-beta-hydroxysteroid dehydrogenase XI) (17-beta-HSD XI) (17betaHSDXI) (Dehydrogenase/reductase SDR family member 8)	Hsd17b11 Dhrs8 Pan1b	Mus musculus (Mouse)	298	androgen catabolic process [GO:0006710]; steroid biosynthetic process [GO:0006694]	cytoplasm [GO:0005737]; extracellular region [GO:0005576]; lipid particle [GO:0005811]	estradiol 17-beta-dehydrogenase activity [GO:0004303]; steroid dehydrogenase activity [GO:0016229]	cytoplasm [GO:0005737]; extracellular region [GO:0005576]; lipid particle [GO:0005811]; estradiol 17-beta-dehydrogenase activity [GO:0004303]; steroid dehydrogenase activity [GO:0016229]; androgen catabolic process [GO:0006710]; steroid biosynthetic process [GO:0006694]	GO:0004303; GO:0005576; GO:0005737; GO:0005811; GO:0006694; GO:0006710; GO:0016229
TRINITY_DN10702_c0_g1_i1	105.4886322	7.132567803	1.132531864	6.29789592	3.02e-10	4.86e-08	sp	Q8GWT4	ANM15_ARATH	54.4	136	56	3	2	397	433	566	2e-33	143.3	ANM15_ARATH	reviewed	Protein arginine N-methyltransferase 1.5 (AtPMRT15) (AtPMRT5) (EC 2.1.1.319) (Shk1 kinase-binding protein 1 homolog)	PMRT15 PMRT5 SKB1 At4g31120 F6E21.40	Arabidopsis thaliana (Mouse-ear cress)	642	peptidyl-arginine methylation, to symmetrical-dimethyl arginine [GO:0019918]; positive regulation of vernalization response [GO:0010220]; regulation of flower development [GO:0009909]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]	cytosol [GO:0005829]; nucleus [GO:0005634]	histone-arginine N-methyltransferase activity [GO:0008469]; protein methyltransferase activity [GO:0008276]	cytosol [GO:0005829]; nucleus [GO:0005634]; histone-arginine N-methyltransferase activity [GO:0008469]; protein methyltransferase activity [GO:0008276]; peptidyl-arginine methylation, to symmetrical-dimethyl arginine [GO:0019918]; positive regulation of vernalization response [GO:0010220]; regulation of flower development [GO:0009909]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]	GO:0005634; GO:0005829; GO:0006351; GO:0006355; GO:0008276; GO:0008469; GO:0009909; GO:0010220; GO:0019918
TRINITY_DN10739_c0_g1_i1	167.8192051	6.449326451	0.975771989	6.609460535	3.86e-11	9.2e-09	sp	Q50KB1	SEP2_EMIHU	42.3	71	39	1	1	207	77	147	8.8e-09	60.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN10739_c0_g2_i1	88.45486232	9.81711145	1.658066531	5.920818777	3.2e-09	3.58e-07	sp	Q50KB1	SEP2_EMIHU	52.1	48	20	2	77	211	11	58	1.7e-07	56.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN10796_c0_g1_i1	56.30775754	6.248986807	1.313518089	4.757442521	1.96e-06	9.05e-05	sp	Q5M9P8	ARL6_DANRE	53.5	114	50	2	338	6	1	114	2.8e-28	125.9	ARL6_DANRE	reviewed	ADP-ribosylation factor-like protein 6	arl6 si:dkey-24h22.2 zgc:101762	Danio rerio (Zebrafish) (Brachydanio rerio)	186	cilium assembly [GO:0060271]; determination of left/right symmetry [GO:0007368]; gastrulation [GO:0007369]; Kupffer's vesicle development [GO:0070121]; melanosome transport [GO:0032402]; pectoral fin development [GO:0033339]; regulation of Notch signaling pathway [GO:0008593]; small GTPase mediated signal transduction [GO:0007264]; visual perception [GO:0007601]	ciliary membrane [GO:0060170]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]	GTP binding [GO:0005525]; metal ion binding [GO:0046872]	ciliary membrane [GO:0060170]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; GTP binding [GO:0005525]; metal ion binding [GO:0046872]; cilium assembly [GO:0060271]; determination of left/right symmetry [GO:0007368]; gastrulation [GO:0007369]; Kupffer's vesicle development [GO:0070121]; melanosome transport [GO:0032402]; pectoral fin development [GO:0033339]; regulation of Notch signaling pathway [GO:0008593]; small GTPase mediated signal transduction [GO:0007264]; visual perception [GO:0007601]	GO:0005525; GO:0005737; GO:0005856; GO:0007264; GO:0007368; GO:0007369; GO:0007601; GO:0008593; GO:0032402; GO:0033339; GO:0046872; GO:0060170; GO:0060271; GO:0070121
TRINITY_DN10798_c0_g1_i1	137.5275627	6.801526906	0.992069343	6.855898684	7.09e-12	2.43e-09	sp	A7E3S5	WDR4_BOVIN	38.7	124	68	3	394	47	115	238	4.5e-16	85.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN10882_c0_g1_i1	70.03429776	7.116015992	1.321704832	5.383967598	7.29e-08	5.01e-06	sp	A4RK80	PRP28_MAGO7	44.9	89	49	0	18	284	551	639	1.9e-18	93.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN10892_c0_g1_i1	103.7964087	8.628925645	1.54234127	5.594692829	2.21e-08	1.84e-06	sp	Q9LRZ5	PLDZ1_ARATH	42.1	164	72	5	552	109	814	970	1.5e-23	110.9	PLDZ1_ARATH	reviewed	Phospholipase D zeta 1 (PLDzeta1) (EC 3.1.4.4) (Phospholipase D p1) (AtPLDp1) (Phospholipase D1 PHOX and PX-containing domain protein)	PLDZETA1 PLDP1 At3g16785 K20I9.1 MGL6.26	Arabidopsis thaliana (Mouse-ear cress)	1096	lipid catabolic process [GO:0016042]; root development [GO:0048364]	cytoplasmic vesicle [GO:0031410]	N-acylphosphatidylethanolamine-specific phospholipase D activity [GO:0070290]; phosphatidylinositol binding [GO:0035091]; phospholipase D activity [GO:0004630]	cytoplasmic vesicle [GO:0031410]; N-acylphosphatidylethanolamine-specific phospholipase D activity [GO:0070290]; phosphatidylinositol binding [GO:0035091]; phospholipase D activity [GO:0004630]; lipid catabolic process [GO:0016042]; root development [GO:0048364]	GO:0004630; GO:0016042; GO:0031410; GO:0035091; GO:0048364; GO:0070290
TRINITY_DN1092_c1_g1_i2	14.1890248	7.177371082	2.233518088	3.213482408	0.001311358	0.034942901	sp	O70422	TF2H4_MOUSE	49	337	159	3	1826	819	15	339	2.6e-86	321.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN1092_c1_g1_i2	14.1890248	7.177371082	2.233518088	3.213482408	0.001311358	0.034942901	sp	O70422	TF2H4_MOUSE	52	123	59	0	813	445	338	460	1.4e-31	139.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRINITY_DN10957_c0_g1_i1	110.7048541	5.419941027	1.113446763	4.867714566	1.13e-06	5.68e-05	sp	Q55C77	FCL_DICDI	51.6	128	60	1	3	380	193	320	4.5e-33	142.9	FCL_DICDI	reviewed	GDP-L-fucose synthase (EC 1.1.1.271) (GDP-4-keto-6-deoxy-D-mannose-3,5-epimerase-4-reductase)	ger DDB_G0270184	Dictyostelium discoideum (Slime mold)	320	'de novo' GDP-L-fucose biosynthetic process [GO:0042351]		coenzyme binding [GO:0050662]; GDP-L-fucose synthase activity [GO:0050577]; isomerase activity [GO:0016853]	coenzyme binding [GO:0050662]; GDP-L-fucose synthase activity [GO:0050577]; isomerase activity [GO:0016853]; 'de novo' GDP-L-fucose biosynthetic process [GO:0042351]	GO:0016853; GO:0042351; GO:0050577; GO:0050662
TRINITY_DN10957_c0_g1_i2	161.2598344	7.73482787	1.066098933	7.255262744	4.01e-13	2.25e-10	sp	Q55C77	FCL_DICDI	51.6	128	60	1	3	380	193	320	2.3e-33	143.3	FCL_DICDI	reviewed	GDP-L-fucose synthase (EC 1.1.1.271) (GDP-4-keto-6-deoxy-D-mannose-3,5-epimerase-4-reductase)	ger DDB_G0270184	Dictyostelium discoideum (Slime mold)	320	'de novo' GDP-L-fucose biosynthetic process [GO:0042351]		coenzyme binding [GO:0050662]; GDP-L-fucose synthase activity [GO:0050577]; isomerase activity [GO:0016853]	coenzyme binding [GO:0050662]; GDP-L-fucose synthase activity [GO:0050577]; isomerase activity [GO:0016853]; 'de novo' GDP-L-fucose biosynthetic process [GO:0042351]	GO:0016853; GO:0042351; GO:0050577; GO:0050662
